Regiao;Data;Usuario;Primeira Visita;Total;Usuarios;DT
Lazio;20230908;1;0;1;1;08/09/2023
Lisbon;20230807;1;0;1;1;07/08/2023
Lisbon;20230813;1;0;1;1;13/08/2023
Lisbon;20230817;1;1;1;1;17/08/2023
Lisbon;20230819;1;0;2;1;19/08/2023
Lisbon;20230823;1;0;1;1;23/08/2023
Lisbon;20230824;1;0;1;1;24/08/2023
Lisbon;20230901;1;0;1;1;01/09/2023
Lisbon;20230911;1;0;1;1;11/09/2023
Lombardy;20230806;1;1;1;1;06/08/2023
Lombardy;20230828;1;0;1;1;28/08/2023
Lombardy;20230908;1;0;1;1;08/09/2023
Lombardy;20230911;1;0;1;1;11/09/2023
Lombardy;20230917;1;0;1;1;17/09/2023
Massachusetts;20230823;1;1;1;1;23/08/2023
Massachusetts;20230825;1;0;1;1;25/08/2023
Massachusetts;20230827;1;0;1;1;27/08/2023
Massachusetts;20230901;1;0;1;1;01/09/2023
Massachusetts;20230902;1;0;1;1;02/09/2023
Massachusetts;20230903;1;0;1;1;03/09/2023
Massachusetts;20230904;1;0;1;1;04/09/2023
Massachusetts;20230905;1;0;1;1;05/09/2023
Massachusetts;20230908;1;0;1;1;08/09/2023
Massachusetts;20230913;1;0;1;1;13/09/2023
Massachusetts;20230917;1;0;1;1;17/09/2023
Mexico City;20230824;1;0;1;1;24/08/2023
New York;20230916;1;1;1;1;16/09/2023
North Sumatra;20230828;1;0;1;1;28/08/2023
Nouvelle-Aquitaine;20230825;1;1;1;1;25/08/2023
Nouvelle-Aquitaine;20230908;1;1;1;1;08/09/2023
Nouvelle-Aquitaine;20230910;1;1;1;1;10/09/2023
Ontario;20230908;1;1;1;1;08/09/2023
Ontario;20230914;1;0;1;1;14/09/2023
Pichincha;20230904;1;1;1;1;04/09/2023
Porto District;20230816;1;0;1;1;16/08/2023
Porto District;20230904;1;1;1;1;04/09/2023
Porto District;20230906;1;1;2;2;06/09/2023
Porto District;20230907;1;0;1;1;07/09/2023
Porto District;20230908;1;0;1;1;08/09/2023
Porto District;20230914;1;0;1;1;14/09/2023
Republic of Bashkortostan;20230806;1;0;1;1;06/08/2023
Republic of Bashkortostan;20230807;1;0;1;1;07/08/2023
Santa Cruz Province;20230808;1;1;1;1;08/08/2023
Sardinia;20230908;1;0;1;1;08/09/2023
Acre;20230821;1;1;1;1;21/08/2023
Alagoas;20230812;1;1;1;1;12/08/2023
Alagoas;20230815;1;0;1;1;15/08/2023
Alagoas;20230816;1;0;1;1;16/08/2023
Alagoas;20230817;1;0;1;1;17/08/2023
Alagoas;20230818;1;0;1;1;18/08/2023
Alagoas;20230819;1;0;1;1;19/08/2023
Alagoas;20230820;1;0;1;1;20/08/2023
Alagoas;20230823;1;0;1;1;23/08/2023
Alagoas;20230825;1;0;1;1;25/08/2023
Alagoas;20230826;1;0;1;1;26/08/2023
Alagoas;20230830;1;0;1;1;30/08/2023
Alagoas;20230901;1;0;1;1;01/09/2023
Alagoas;20230903;1;1;2;2;03/09/2023
Alagoas;20230904;1;0;1;1;04/09/2023
Alagoas;20230907;1;1;2;2;07/09/2023
Alagoas;20230911;1;2;3;3;11/09/2023
Alagoas;20230912;1;0;1;1;12/09/2023
Amazonas;20230817;1;1;1;1;17/08/2023
Amazonas;20230825;1;1;1;1;25/08/2023
Amazonas;20230831;1;2;3;3;31/08/2023
Amazonas;20230903;1;1;1;1;03/09/2023
Amazonas;20230904;1;0;2;2;04/09/2023
Amazonas;20230912;1;1;3;3;12/09/2023
Amazonas;20230913;1;1;3;3;13/09/2023
Bahia;20230803;1;4;4;4;03/08/2023
Bahia;20230804;1;3;3;3;04/08/2023
Bahia;20230806;1;1;2;2;06/08/2023
Bahia;20230807;1;1;2;2;07/08/2023
Bahia;20230808;1;1;2;2;08/08/2023
Bahia;20230810;1;3;4;4;10/08/2023
Bahia;20230811;1;1;2;2;11/08/2023
Bahia;20230817;1;1;2;2;17/08/2023
Bahia;20230818;1;0;1;1;18/08/2023
Bahia;20230819;1;3;4;4;19/08/2023
Bahia;20230822;1;2;3;3;22/08/2023
Bahia;20230823;1;2;3;3;23/08/2023
Bahia;20230824;1;2;3;3;24/08/2023
Bahia;20230825;1;0;1;1;25/08/2023
Bahia;20230826;1;1;2;2;26/08/2023
Bahia;20230828;1;1;2;2;28/08/2023
Bahia;20230831;1;0;2;1;31/08/2023
Bahia;20230901;1;0;1;1;01/09/2023
Bahia;20230909;1;1;2;2;09/09/2023
Bahia;20230910;1;0;1;1;10/09/2023
Bahia;20230911;1;0;1;1;11/09/2023
Bahia;20230912;1;1;2;2;12/09/2023
Bahia;20230913;1;2;3;3;13/09/2023
Ceara;20230803;1;2;2;2;03/08/2023
Ceara;20230805;1;3;4;4;05/08/2023
Ceara;20230807;1;0;1;1;07/08/2023
Ceara;20230808;1;1;2;2;08/08/2023
Ceara;20230809;1;1;2;2;09/08/2023
Ceara;20230814;1;0;1;1;14/08/2023
Ceara;20230815;1;0;3;1;15/08/2023
Ceara;20230816;1;1;2;2;16/08/2023
Ceara;20230819;1;0;1;1;19/08/2023
Ceara;20230824;1;0;1;1;24/08/2023
Ceara;20230828;1;2;3;3;28/08/2023
Ceara;20230831;1;3;4;4;31/08/2023
Ceara;20230901;1;1;2;2;01/09/2023
Ceara;20230902;1;1;2;2;02/09/2023
Ceara;20230905;1;1;2;2;05/09/2023
Ceara;20230906;1;0;1;1;06/09/2023
Ceara;20230907;1;2;4;4;07/09/2023
Ceara;20230910;1;1;2;2;10/09/2023
Ceara;20230915;1;0;1;1;15/09/2023
Espirito Santo;20230806;1;0;1;1;06/08/2023
Espirito Santo;20230807;1;1;2;2;07/08/2023
Espirito Santo;20230811;1;1;2;2;11/08/2023
Espirito Santo;20230812;1;0;1;1;12/08/2023
Espirito Santo;20230813;1;0;1;1;13/08/2023
Espirito Santo;20230817;1;0;1;1;17/08/2023
Espirito Santo;20230821;1;1;2;2;21/08/2023
Espirito Santo;20230823;1;1;2;2;23/08/2023
Espirito Santo;20230826;1;3;4;4;26/08/2023
Espirito Santo;20230827;1;1;2;2;27/08/2023
Espirito Santo;20230829;1;0;1;1;29/08/2023
Espirito Santo;20230830;1;1;2;2;30/08/2023
Espirito Santo;20230831;1;2;3;3;31/08/2023
Espirito Santo;20230902;1;1;2;2;02/09/2023
Espirito Santo;20230904;1;1;2;2;04/09/2023
Espirito Santo;20230905;1;0;1;1;05/09/2023
Espirito Santo;20230915;1;3;3;3;15/09/2023
Espirito Santo;20230916;1;4;5;5;16/09/2023
Espirito Santo;20230917;1;0;2;1;17/09/2023
Goias;20230804;1;2;3;3;04/08/2023
Goias;20230810;1;0;1;1;10/08/2023
Goias;20230811;1;1;2;2;11/08/2023
Goias;20230813;1;0;1;1;13/08/2023
Goias;20230815;1;0;2;1;15/08/2023
Goias;20230817;1;1;2;2;17/08/2023
Goias;20230819;1;3;3;3;19/08/2023
Goias;20230820;1;0;1;1;20/08/2023
Goias;20230823;1;0;1;1;23/08/2023
Goias;20230826;1;0;1;1;26/08/2023
Goias;20230901;1;1;2;2;01/09/2023
Goias;20230902;1;1;2;2;02/09/2023
Goias;20230903;1;1;3;3;03/09/2023
Goias;20230904;1;1;2;2;04/09/2023
Goias;20230907;1;0;1;1;07/09/2023
Goias;20230911;1;0;1;1;11/09/2023
Goias;20230915;1;0;2;1;15/09/2023
Mato Grosso;20230907;1;1;1;1;07/09/2023
Mato Grosso;20230912;1;2;2;2;12/09/2023
Mato Grosso;20230913;1;1;2;2;13/09/2023
Mato Grosso do Sul;20230808;1;0;1;1;08/08/2023
Mato Grosso do Sul;20230811;1;0;1;1;11/08/2023
Mato Grosso do Sul;20230824;1;0;1;1;24/08/2023
Mato Grosso do Sul;20230826;1;0;1;1;26/08/2023
Mato Grosso do Sul;20230827;1;0;1;1;27/08/2023
Mato Grosso do Sul;20230830;1;0;1;1;30/08/2023
