Perguntas;Consulta;Grupo;Subgrupo;Codigo;Pagina;Pagina2;Visualizacao;Usuario
398;Maiores Públicos em campeonato;Especiais;Publico;680103000;consulta_placar;maiores_publicos2;0;0
399;Maiores Públicos em estádio;Especiais;Publico;680102000;consulta_placar;maiores_publicos2;0;0
400;Ano a ano;Especiais;Geral;10610600;generico_ano;mostra_especial_jogo;0;0
401;Menores públicos;Especiais;Publico;NAO;menores_publicos;N/A;0;0
402;Menores Públicos em estádio;Especiais;Publico;681102000;consulta_placar;maiores_publicos2;0;0
403;Públicos por ano como mandante;Especiais;Publico;68510600;generico_ano;publico_ano;0;0
404;Estatísticas gerais por data;Especiais;Geral;692000000;estatistica_data;mostra_estatistica;0;0
405;Estatísticas gerais por ano;Especiais;Geral;69310600;generico_ano;mostra_estatistica;0;0
406;Time Base;Especiais;Geral;69410600;generico_ano;time_base;0;0
407;Média de público em campeonato;Especiais;Publico;689103000;consulta_placar;media_publico;0;0
408;Média de público por período em campeonato;Especiais;Publico;694000000;consulta_placar;periodo_publico;0;0
409;Maior/Menor média de público em campeonato;Especiais;Publico;689107000;consulta_placar;media_publico;0;0
410;Média de público por adversário em estádio;Especiais;Publico;689100102;consulta_placar;media_publico;0;0
411;Média de público por adversário;Especiais;Publico;689100000;consulta_placar;media_publico;0;0
412;Média de público em estádio;Especiais;Publico;689102000;consulta_placar;media_publico;0;0
413;Cartões por ano;Especiais;Geral;842106000;generico_ano;cartao_ano;0;0
414;Números por ano;Especiais;Geral;843106000;generico_ano;gols_ano;0;0
415;Disputa de Penalty;Especiais;Geral;NAO;disputa_penalty;N/A;0;0
416;Finais em campeonato;Especiais;Campeonato;NAO;mostra_finais;N/A;0;0
417;Gols por minuto;Especiais;Gols;842108000;generico_ano;mostra_gols_minuto;0;0
418;Jogos sem estádio;Especiais;Estadio;102000000;sem_informacao;N/A;0;0
419;Jogos sem árbitro;Especiais;Arbitro;101000000;sem_informacao;N/A;0;0
420;Jogos sem jogador;Especiais;Jogador;104000000;sem_informacao;N/A;0;0
421;Jogos sem renda;Especiais;Geral;168000000;sem_informacao;N/A;0;0
422;Jogos sem público;Especiais;Publico;167000000;sem_informacao;N/A;0;0
423;Estatísticas por décadas;Especiais;Geral;179000000;estat_decadas;mostra_decada;0;0
424;Estatísticas por período;Especiais;Geral;183000000;estat_periodo;mostra_decada;0;0
425;Estatísticas por temporada;Especiais;Geral;451000000;numero_temporada;mostra_temporada;0;0
426;Consulta gol Número:;Especiais;Gols;342000000;quantidade_gols;cronologia_gols;0;0
427;Cronologia dos gols;Especiais;Gols;343000000;ordem_gols;cronologia_gols;0;0
428;Jogos Eliminatórios;Especiais;Jogo;344000000;duelo_eliminatorio;N/A;0;0
429;Jogos Eliminatórios por adversário;Especiais;Jogo;348000000;duelo_eliminatorio_adv;mostra_duelo_esp;0;0
430;Jogos Eliminatórios em campeonato;Especiais;Jogo;349000000;duelo_eliminatorio_adv;mostra_duelo_esp;0;0
431;Jogos Eliminatórios em estádio;Especiais;Jogo;342000000;duelo_eliminatorio_adv;mostra_duelo_arbest;0;0
432;Jogos Eliminatórios com árbitro;Especiais;Jogo;343000000;duelo_eliminatorio_adv;mostra_duelo_arbest;0;0
433;Penaltis por ano;Especiais;Geral;363000000;penalti_ano;mostra_penalti_ano;0;0
434;Maiores públicos por adversário em estádio;Especiais;Publico;100102492;consulta_especial;mostra_pubadvest;0;0
435;Média de Público por ano;Especiais;Publico;643106000;generico_ano;publico_ano2;0;0
436;Distância Percorrida por ano;Especiais;Geral;482106000;generico_ano;distancia_ano;0;0
437;Ranking de distâncias percorridas por ano;Especiais;Geral;NAO;ranking_distancia;N/A;0;0
