,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Perguntas,Consulta,Grupo,Subgrupo,Codigo,Pagina,Pagina2,Visualizacao,Usuario
94,94,94,94,94,94,94,94,98,Mais passagens como técnico,Gráfico,Tecnico,503,grafico_artilheiro,,13,11
95,95,95,95,95,95,95,95,99,Mais treinou em campeonato,Gráfico,Tecnico,403,grafico_campeonato,,20,17
96,96,96,96,96,96,96,96,100,Mais treinou em estádio,Gráfico,Tecnico,402,grafico_estadio,,9,9
97,97,97,97,97,97,97,97,101,Mais treinou contra adversario,Gráfico,Tecnico,400,grafico_adversario,,6,6
98,98,98,98,98,98,98,98,102,Quem mais atuou com técnico,Gráfico,Tecnico,305,grafico_tecnico,,12,11
99,99,99,99,99,99,99,99,103,Técnicos com mais participações em campeonato,Gráfico,Tecnico,516,grafico_campeonato,,7,7
100,100,100,100,100,100,100,100,104,Técnicos com melhor aproveitamento em campeonato,Gráfico,Tecnico,518,grafico_campeonato,,14,14
101,101,101,101,101,101,101,101,105,Técnico,Gráfico,Tecnico,105,grafico_tecnico,,19,18
102,102,102,102,102,102,102,102,107,Colocação em Campeonato,Gráfico,Campeonato,108,grafico_colocacao,,23,23
103,103,103,103,103,103,103,103,108,Posições por ano (Brasileirão),Gráfico,Campeonato,532,grafico_artilheiro,,25,24
104,104,104,104,104,104,104,104,109,Evolução de Pontos Brasileirão,Gráfico,Campeonato,595,grafico_artilheiro,,11,11
105,105,105,105,105,105,105,105,110,Pontos Brasileirão,Gráfico,Campeonato,596,grafico_artilheiro,,21,20
106,106,106,106,106,106,106,106,111,Posição Brasileirão,Gráfico,Campeonato,597,grafico_artilheiro,,13,11
107,107,107,107,107,107,107,107,112,Evolução de Posições Brasileirão,Gráfico,Campeonato,604,grafico_assistencia,,15,15
108,108,108,108,108,108,108,108,113,Campeonato,Gráfico,Campeonato,103,grafico_campeonato,,9,9
109,109,109,109,109,109,109,109,114,Estádio,Gráfico,Estadio,102,grafico_estadio,,21,21
110,110,110,110,110,110,110,110,115,Distâncias,Gráfico,Estadio,439,grafico_assistencia,,17,13
111,111,111,111,111,111,111,111,116,Posições Brasileiro Ano Inicio-Fim,Gráfico,Campeonato,625,grafico_artilheiro,,17,17
112,112,112,112,112,112,112,112,117,Posições Brasileiro Combinadas,Gráfico,Campeonato,627,grafico_artilheiro,,25,22
113,113,113,113,113,113,113,113,118,Evolução de Pontos Brasileirão Combinada,Gráfico,Campeonato,629,grafico_artilheiro,,16,15
114,114,114,114,114,114,114,114,120,Árbitro,Gráfico,Arbitro,101,grafico_arbitro,,14,14
115,115,115,115,115,115,115,115,121,Cartões por Árbitro - Waffle,Gráfico,Arbitro,612,grafico_arbitro,,8,8
116,116,116,116,116,116,116,116,122,Cartões por Árbitro - Barra,Gráfico,Arbitro,613,grafico_arbitro,,5,5
117,117,117,117,117,117,117,117,123,Resumo de Árbitro,Gráfico,Arbitro,614,grafico_arbitro,,6,6
118,118,118,118,118,118,118,118,124,Dashboard de Árbitro,Gráfico,Arbitro,619,grafico_arbitro,,8,7
119,119,119,119,119,119,119,119,126,Maiores Públicos,Gráfico,Publico,600,grafico_artilheiro,,36,35
120,120,120,120,120,120,120,120,127,Distribuição de público - Boxplot,Gráfico,Publico,602,grafico_assistencia,,15,15
121,121,121,121,121,121,121,121,128,Distribuição de público - Violinplot,Gráfico,Publico,603,grafico_assistencia,,10,10
122,122,122,122,122,122,122,122,129,Distribuição de público Mandante - Boxplot,Gráfico,Publico,615,grafico_assistencia,,9,9
123,123,123,123,123,123,123,123,130,Distribuição de público Mandante - Violinplot,Gráfico,Publico,616,grafico_assistencia,,8,8
124,124,124,124,124,124,124,124,131,Distribuição de público Visitante - Boxplot,Gráfico,Publico,617,grafico_assistencia,,3,3
125,125,125,125,125,125,125,125,132,Distribuição de público Visitante - Violinplot,Gráfico,Publico,618,grafico_artilheiro,,3,3
126,126,126,126,126,126,126,126,133,Distribuição de Público por ano,Gráfico,Publico,620,grafico_assistencia,,18,18
127,127,127,127,127,127,127,127,134,Distribuição de Público por ano - Violinplot,Gráfico,Publico,622,grafico_assistencia,,9,9
128,128,128,128,128,128,128,128,135,Distribuição de Público Histograma,Gráfico,Publico,621,grafico_assistencia,,16,16
129,129,129,129,129,129,129,129,137,Jogador,Gráfico,Jogador,104,grafico_jogador,,31,31
130,130,130,130,130,130,130,130,138,Geral,Gráfico,Geral,106,grafico_geral,,11,11
131,131,131,131,131,131,131,131,139,Fluminense ano a ano,Gráfico,Geral,513,grafico_artilheiro,,25,23
132,132,132,132,132,132,132,132,140,Fluminense ano a ano - Gols,Gráfico,Geral,514,grafico_artilheiro,,14,13
133,133,133,133,133,133,133,133,141,Heatmap de resultados por dia,Gráfico,Geral,588,grafico_heatmap,,16,15
134,134,134,134,134,134,134,134,142,Heatmap de resultados por mês,Gráfico,Geral,589,grafico_heatmap,,10,10
135,135,135,135,135,135,135,135,143,Heatmap de resultados por dia/mês,Gráfico,Geral,591,grafico_heatmap,,11,11
136,136,136,136,136,136,136,136,144,Heatmap de gols por dia,Gráfico,Geral,592,grafico_heatmap,,10,9
137,137,137,137,137,137,137,137,145,Heatmap de gols por mês,Gráfico,Geral,593,grafico_heatmap,,7,7
138,138,138,138,138,138,138,138,146,Heatmap de gols por dia/mês,Gráfico,Geral,594,grafico_heatmap,,11,11
139,139,139,139,139,139,139,139,151,Especiais,Especiais,Especiais,,consulta_especial,,0,0
140,140,140,140,140,140,140,140,153,Adversario x Arbitro,Especiais,Adversario,100101000,consulta_especial,mostra_especial,41,40
141,141,141,141,141,141,141,141,154,Adversario x Estádio,Especiais,Adversario,100102000,consulta_especial,mostra_especial,243,225
142,142,142,142,142,142,142,142,155,Adversário em campeonato,Especiais,Adversario,100103000,consulta_especial,mostra_especial,230,206
143,143,143,143,143,143,143,143,156,Adversário x Jogador,Especiais,Adversario,100104000,consulta_especial,mostra_especial,49,46
144,144,144,144,144,144,144,144,157,Adversário x Técnico,Especiais,Adversario,100105000,consulta_especial,mostra_especial,19,19
145,145,145,145,145,145,145,145,158,Adversário do mesmo país,Especiais,Adversario,200000000,consulta_espadv,mostra_espadv2,84,78
146,146,146,146,146,146,146,146,159,Adversário do mesmo estado,Especiais,Adversario,201000000,consulta_espadv,mostra_espadv2,27,26
147,147,147,147,147,147,147,147,160,Adversário do mesmo estado em campeonato,Especiais,Adversario,201103000,consulta_espadv,mostra_espadv2,21,20
148,148,148,148,148,148,148,148,161,Adversários Internacionais,Especiais,Adversario,202000000,mostra_espadv,,44,43
149,149,149,149,149,149,149,149,162,Adversário em campeonato x Estádio,Especiais,Adversario,100103102,consulta_especial,mostra_especial,65,62
150,150,150,150,150,150,150,150,163,Adversário por ano,Especiais,Adversario,106100000,consulta_espadv,mostra_espadv2,74,65
151,151,151,151,151,151,151,151,164,Adversários em vantagem,Especiais,Adversario,203000000,consulta_espadv,mostra_adversario,49,44
152,152,152,152,152,152,152,152,165,Principais Adversários,Especiais,Adversario,250000000,consulta_prinadv,mostra_prinadv,23,20
153,153,153,153,153,153,153,153,166,Principais Adversários em campeonato,Especiais,Adversario,250103000,consulta_prinadv,mostra_prinadv,25,21
154,154,154,154,154,154,154,154,167,Principais Adversários em estádio,Especiais,Adversario,250102000,consulta_prinadv,mostra_prinadv,12,10
155,155,155,155,155,155,155,155,168,Todos os jogos contra adversário,Especiais,Adversario,100999000,consulta_especial,mostra_todos,246,221
156,156,156,156,156,156,156,156,169,Lista de adversários por estado,Especiais,Adversario,201150000,consulta_espadv,mostra_espadv2,50,43
157,157,157,157,157,157,157,157,170,Lista de adversários por país,Especiais,Adversario,200150000,consulta_espadv,mostra_espadv2,94,87
158,158,158,158,158,158,158,158,171,Mais penalties contra o Fluminense,Especiais,Adversario,210000000,mostra_penalti,,34,30
159,159,159,159,159,159,159,159,172,Mais penalties a favor do Fluminense,Especiais,Adversario,211000000,mostra_penalti,,19,18
160,160,160,160,160,160,160,160,173,Mais penaties convertidos pelo Fluminense,Especiais,Adversario,212000000,mostra_penalti,,16,15
161,161,161,161,161,161,161,161,174,Mais penalties perdidos pelo Fluminense,Especiais,Adversario,213000000,mostra_penalti,,19,18
162,162,162,162,162,162,162,162,175,Disputa de penalty por adversário,Especiais,Adversario,100290000,consulta_disputa,mostra_disputa,13,12
163,163,163,163,163,163,163,163,176,Cartões contra adversário,Especiais,Adversario,100289000,consulta_cartao,,14,12
164,164,164,164,164,164,164,164,177,Consulta adversário em tempo determinado,Especiais,Adversario,100450000,consulta_especial,mostra_advtempo,32,26
165,165,165,165,165,165,165,165,178,Últimos jogos - Adversário,Especiais,Adversario,100451000,consulta_especial,mostra_especial,11,11
166,166,166,166,166,166,166,166,179,Adversários do mesmo país em campeonato,Especiais,Adversario,NAO,consulta_paiscamp,mostra_paiscamp,49,45
167,167,167,167,167,167,167,167,180,Data dos jogos de adversário por ano,Especiais,Adversario,100452000,consulta_especial,mostra_especial,10,9
168,168,168,168,168,168,168,168,181,Adversários que mais jogamos,Especiais,Adversario,NAO,mostra_advmais,,130,123
169,169,169,169,169,169,169,169,182,Todos os jogos contra adversário em campeonato,Especiais,Adversario,100103999,consulta_especial,mostra_especial,49,46
170,170,170,170,170,170,170,170,183,Mascotes,Especiais,Adversario,NAO,consulta_mascote,mostra_mascote,13,12
171,171,171,171,171,171,171,171,184,Adversários em campeonato como mandante,Especiais,Adversario,100153000,consulta_especial,mostra_especial,16,15
172,172,172,172,172,172,172,172,185,Adversários em campeonato como visitante,Especiais,Adversario,100163000,consulta_especial,mostra_especial,7,7
173,173,173,173,173,173,173,173,186,Adversários - Quantidade de cores,Especiais,Adversario,720001000,consulta_cores,mostra_cor,11,10
174,174,174,174,174,174,174,174,187,Adversários por cor,Especiais,Adversario,720002000,consulta_cores,mostra_cor,16,14
175,175,175,175,175,175,175,175,188,Adversários por cor - período,Especiais,Adversario,720003000,consulta_cores,mostra_cor,5,5
176,176,176,176,176,176,176,176,189,Evolução por adversário,Especiais,Adversario,100358000,consulta_especial,evolucao_adversario,50,48
177,177,177,177,177,177,177,177,392,Saldo de placar contra adversário,Especiais,Adversario,915100000,generico_adversario,saldo_placar,41,40
178,178,178,178,178,178,178,178,191,Árbitro x Adversário,Especiais,Arbitro,101100000,consulta_especial,mostra_especial,18,18
179,179,179,179,179,179,179,179,192,Árbitro x Estádio,Especiais,Arbitro,101102000,consulta_especial,mostra_especial,12,12
180,180,180,180,180,180,180,180,193,Árbitro em campeonato,Especiais,Arbitro,101103000,consulta_especial,mostra_especial,10,10
181,181,181,181,181,181,181,181,194,Árbitro x Jogador,Especiais,Arbitro,101104000,consulta_especial,mostra_especial,4,4
182,182,182,182,182,182,182,182,195,Árbitro x Técnico,Especiais,Arbitro,101105000,consulta_especial,mostra_especial,3,3
183,183,183,183,183,183,183,183,196,Últimos jogos Árbitro,Especiais,Arbitro,101451000,consulta_especial,arbitro_todos,10,9
184,184,184,184,184,184,184,184,197,Jogos de Árbitro por ano,Especiais,Arbitro,101452000,consulta_especial,mostra_especial,3,3
185,185,185,185,185,185,185,185,198,Árbitros do mesmo país,Especiais,Arbitro,210000000,consulta_espadv,mostra_espadv2,5,5
186,186,186,186,186,186,186,186,199,Árbitros que mais apitaram,Especiais,Arbitro,NAO,mostra_arbitromais,,25,25
187,187,187,187,187,187,187,187,200,Todos os jogos de Árbitro,Especiais,Arbitro,101999000,consulta_especial,arbitro_todos,29,29
188,188,188,188,188,188,188,188,201,Árbitros por ano,Especiais,Arbitro,106101000,consulta_espadv,mostra_espadv2,2,2
189,189,189,189,189,189,189,189,202,Lista de árbitros do mesmo país,Especiais,Arbitro,210150000,consulta_espadv,mostra_espadv2,8,8
190,190,190,190,190,190,190,190,203,Média de cartão por árbitro,Especiais,Arbitro,NAO,mostra_arbcartao,,15,14
191,191,191,191,191,191,191,191,204,Melhor/Pior aproveitamento por árbitro,Especiais,Arbitro,NAO,mostra_arbapr,,34,30
192,192,192,192,192,192,192,192,205,Consulta árbitro em tempo determinado,Especiais,Arbitro,101528000,consulta_tempo,mostra_tempodet,6,6
193,193,193,193,193,193,193,193,207,Estádio x Adversário,Especiais,Estadio,102100000,consulta_especial,mostra_especial,76,74
194,194,194,194,194,194,194,194,208,Estádio x Árbitro,Especiais,Estadio,102101000,consulta_especial,mostra_especial,7,7
195,195,195,195,195,195,195,195,209,Estádio em campeonato,Especiais,Estadio,102103000,consulta_especial,mostra_especial,108,98
196,196,196,196,196,196,196,196,210,Estádio x Jogador,Especiais,Estadio,102104000,consulta_especial,mostra_especial,11,11
197,197,197,197,197,197,197,197,211,Estádio x Técnico,Especiais,Estadio,102105000,consulta_especial,mostra_especial,6,6
198,198,198,198,198,198,198,198,212,Últimos jogos em estádio,Especiais,Estadio,102451000,consulta_estadio,estadio_todos,30,30
199,199,199,199,199,199,199,199,213,Estádio em que mais jogamos,Especiais,Estadio,NAO,mostra_estadiomais,,82,80
200,200,200,200,200,200,200,200,214,Todos os jogos em estádio,Especiais,Estadio,102999000,consulta_estadio,estadio_todos,101,93
201,201,201,201,201,201,201,201,215,Jogos em estádio por ano,Especiais,Estadio,102452000,consulta_estadio,estadio_todos,52,48
202,202,202,202,202,202,202,202,216,Consulta estádio em tempo determinado,Especiais,Estadio,102528000,consulta_tempo,mostra_tempodet,43,42
203,203,203,203,203,203,203,203,217,Geolocalização dos estádios,Especiais,Estadio,102010000,geolocalizacao,,0,0
204,204,204,204,204,204,204,204,218,Curiosidades dos estádios,Especiais,Estadio,NAO,estadio_curiosidade,,39,39
205,205,205,205,205,205,205,205,562,Saldo de placar em estádio,Especiais,Estadio,102472000,consulta_campeonato,saldo_placar_est,0,0
206,206,206,206,206,206,206,206,220,Campeonato x Adversário,Especiais,Campeonato,103100000,consulta_especial,mostra_especial,53,47
207,207,207,207,207,207,207,207,221,Campeonato x Árbitro,Especiais,Campeonato,103101000,consulta_especial,mostra_especial,8,8
208,208,208,208,208,208,208,208,222,Campeonato x Estádio,Especiais,Campeonato,103102000,consulta_especial,mostra_especial,32,31
209,209,209,209,209,209,209,209,223,Campeonato x Jogador,Especiais,Campeonato,103104000,consulta_especial,mostra_especial,48,43
210,210,210,210,210,210,210,210,224,Campeonato x Técnico,Especiais,Campeonato,103105000,consulta_especial,mostra_especial,19,19
211,211,211,211,211,211,211,211,225,Últimos jogos em campeonato,Especiais,Campeonato,103451000,consulta_campeonato,estadio_todos,19,19
212,212,212,212,212,212,212,212,226,Consulta Apelido campeonato(subcampeonato),Especiais,Campeonato,NAO,consulta_subcampeonato,mostra_subcampeonato,7,7
213,213,213,213,213,213,213,213,227,Melhor/Pior Defesa/Ataque em campeonato,Especiais,Campeonato,103700000,consulta_campeonato,ataque_defesa,13,13
214,214,214,214,214,214,214,214,228,Estréia em campeonato,Especiais,Campeonato,103701000,consulta_campeonato,lista_camp,38,37
215,215,215,215,215,215,215,215,229,Títulos por campeonato,Especiais,Campeonato,103702000,consulta_campeonato,lista_camp,52,47
216,216,216,216,216,216,216,216,230,Títulos por ano,Especiais,Campeonato,106710000,consulta_campano,lista_camp,29,25
217,217,217,217,217,217,217,217,231,Campeonatos por ano,Especiais,Campeonato,106720000,consulta_campano,lista_camp,61,56
218,218,218,218,218,218,218,218,232,Todos os jogos em campeonato,Especiais,Campeonato,103999000,consulta_campeonato,estadio_todos,241,218
219,219,219,219,219,219,219,219,233,Cartões em campeonato,Especiais,Campeonato,103550000,consulta_campeonato,campeonato_cartao,15,15
220,220,220,220,220,220,220,220,234,Estados de árbitro em campeonato,Especiais,Campeonato,103590000,consulta_campeonato,campeonato_arbestado,7,7
221,221,221,221,221,221,221,221,235,Gols por minuto em campeonato,Especiais,Campeonato,103777000,consulta_campeonato,mostra_gols_minuto_camp,15,15
222,222,222,222,222,222,222,222,236,Gols em campeonato,Especiais,Campeonato,103877000,consulta_campeonato,golscamp,48,48
223,223,223,223,223,223,223,223,237,Consulta Campeonato em tempo determinado,Especiais,Campeonato,103528000,consulta_tempo,mostra_tempodet,30,30
224,224,224,224,224,224,224,224,238,Var em campeonatos,Especiais,Campeonato,902000000000,generico_campeonato,var_campeonato,2,2
225,225,225,225,225,225,225,225,561,Saldo de placar em campeonato,Especiais,Campeonato,103897000,consulta_campeonato,saldo_placar_camp,18,17
226,226,226,226,226,226,226,226,241,Artiheiros,Especiais,Artilheiros,900000000000,mostra_ranking,,87,82
227,227,227,227,227,227,227,227,242,Artiheiros contra adversário,Especiais,Artilheiros,900100000000,consulta_ranking,mostra_rkg,38,34
