res_flu;res_adv;cod_jogo;adversario;data;agrupado
3;2;5218;Madureira;27/06/1943;Fluminense 3 X 2 Madureira - 
1;0;5219;Botafogo;04/07/1943;Fluminense 1 X 0 Botafogo - 
3;2;5220;São Paulo;08/07/1943;Fluminense 3 X 2 São Paulo - 
0;2;5221;América;18/07/1943;Fluminense 0 X 2 América - 
2;1;5222;Canto do Rio;25/07/1943;Fluminense 2 X 1 Canto do Rio - 
3;1;5224;São Cristovão;01/08/1943;Fluminense 3 X 1 São Cristovão - 
2;1;5225;Bonsucesso;08/08/1943;Fluminense 2 X 1 Bonsucesso - 
3;5;5226;Bangu;22/08/1943;Fluminense 3 X 5 Bangu - 
5;2;5227;Madureira;29/08/1943;Fluminense 5 X 2 Madureira - 
5;3;5228;Botafogo;04/09/1943;Fluminense 5 X 3 Botafogo - 
2;1;5229;América;18/09/1943;Fluminense 2 X 1 América - 
2;1;5230;Canto do Rio;26/09/1943;Fluminense 2 X 1 Canto do Rio - 
1;3;5231;São Cristovão;03/10/1943;Fluminense 1 X 3 São Cristovão - 
6;1;5232;Bonsucesso;10/10/1943;Fluminense 6 X 1 Bonsucesso - 
2;0;5233;Juiz de Fora;13/10/1943;Fluminense 2 X 0 Juiz de Fora - 
1;4;5234;Corinthians;17/10/1943;Fluminense 1 X 4 Corinthians - 
4;1;5235;Luiz Queiroz;20/10/1943;Fluminense 4 X 1 Luiz Queiroz - 
1;1;5236;Santos;24/10/1943;Fluminense 1 X 1 Santos - 
1;6;5237;Vasco;06/11/1943;Fluminense 1 X 6 Vasco - 
2;0;5238;Botafogo;23/09/2007;Fluminense 2 X 0 Botafogo - 
1;2;5239;América;02/02/1944;Fluminense 1 X 2 América - 
0;2;5240;São Paulo;12/02/1944;Fluminense 0 X 2 São Paulo - 
3;3;5241;Juventus;17/02/1944;Fluminense 3 X 3 Juventus - 
1;2;5242;América;08/03/1944;Fluminense 1 X 2 América - 
0;2;5244;Botafogo;18/03/1944;Fluminense 0 X 2 Botafogo - 
1;3;5245;Vasco;02/04/1944;Fluminense 1 X 3 Vasco - 
1;1;5246;Madureira;09/04/1944;Fluminense 1 X 1 Madureira - 
1;3;5247;América;16/04/1944;Fluminense 1 X 3 América - 
4;2;5248;Botafogo;29/04/1944;Fluminense 4 X 2 Botafogo - 
3;1;5249;São Cristovão;28/05/1944;Fluminense 3 X 1 São Cristovão - 
1;4;5250;Bangu;04/06/1944;Fluminense 1 X 4 Bangu - 
1;0;5251;Bonsucesso;09/06/1944;Fluminense 1 X 0 Bonsucesso - 
1;1;5252;Canto do Rio;25/06/1944;Fluminense 1 X 1 Canto do Rio - 
7;1;5253;Madureira;08/07/1944;Fluminense 7 X 1 Madureira - 
3;0;5254;América;15/07/1944;Fluminense 3 X 0 América - 
1;0;5255;Botafogo;22/07/1944;Fluminense 1 X 0 Botafogo - 
5;2;5256;São Cristovão;30/07/1944;Fluminense 5 X 2 São Cristovão - 
1;0;5257;Bangu;06/08/1944;Fluminense 1 X 0 Bangu - 
3;1;5258;Bonsucesso;15/08/1944;Fluminense 3 X 1 Bonsucesso - 
2;2;5259;Canto do Rio;27/08/1944;Fluminense 2 X 2 Canto do Rio - 
3;1;5260;Madureira;10/09/1944;Fluminense 3 X 1 Madureira - 
1;2;5261;América;16/09/1944;Fluminense 1 X 2 América - 
1;1;5262;Botafogo;24/09/1944;Fluminense 1 X 1 Botafogo - 
0;2;5263;São Cristovão;30/09/1944;Fluminense 0 X 2 São Cristovão - 
2;3;5264;Bangu;08/10/1944;Fluminense 2 X 3 Bangu - 
6;1;5265;Bonsucesso;15/10/1944;Fluminense 6 X 1 Bonsucesso - 
4;1;5266;Canto do Rio;28/10/1944;Fluminense 4 X 1 Canto do Rio - 
1;4;5267;Penharol;20/12/1944;Fluminense 1 X 4 Penharol - 
2;4;5268;Nacional Uruguai;23/12/1944;Fluminense 2 X 4 Nacional Uruguai - 
2;3;5269;São Paulo;18/02/1945;Fluminense 2 X 3 São Paulo - 
1;1;5270;Galícia;25/02/1945;Fluminense 1 X 1 Galícia - 
6;2;5271;Vitória BA;01/03/1945;Fluminense 6 X 2 Vitória BA - 
2;1;5272;Bahia;04/03/1945;Fluminense 2 X 1 Bahia - 
2;1;5273;São Paulo;18/03/1945;Fluminense 2 X 1 São Paulo - 
1;1;5274;América;01/04/1945;Fluminense 1 X 1 América - 
0;2;5276;São Cristovão;04/04/1945;Fluminense 0 X 2 São Cristovão - 
2;2;5277;Botafogo;15/04/1945;Fluminense 2 X 2 Botafogo - 
1;1;5278;América;29/04/1945;Fluminense 1 X 1 América - 
1;0;5279;Canto do Rio;06/05/1945;Fluminense 1 X 0 Canto do Rio - 
6;3;5280;Bangu;13/05/1945;Fluminense 6 X 3 Bangu - 
2;2;5281;Botafogo;20/05/1945;Fluminense 2 X 2 Botafogo - 
4;0;5282;Bonsucesso;27/05/1945;Fluminense 4 X 0 Bonsucesso - 
2;0;5283;Madureira;03/06/1945;Fluminense 2 X 0 Madureira - 
4;0;5284;São Cristovão;24/06/1945;Fluminense 4 X 0 São Cristovão - 
2;2;5286;São Cristovão;08/07/1945;Fluminense 2 X 2 São Cristovão - 
5;1;5287;Bonsucesso;15/07/1945;Fluminense 5 X 1 Bonsucesso - 
1;1;5288;Botafogo;22/07/1945;Fluminense 1 X 1 Botafogo - 
2;1;5289;América;05/08/1945;Fluminense 2 X 1 América - 
2;1;5290;Bangu;12/08/1945;Fluminense 2 X 1 Bangu - 
3;2;5291;Tupinambás;19/08/1945;Fluminense 3 X 2 Tupinambás - 
3;2;5292;Madureira;26/08/1945;Fluminense 3 X 2 Madureira - 
1;3;5293;Canto do Rio;16/09/1945;Fluminense 1 X 3 Canto do Rio - 
0;1;5294;São Cristovão;23/09/1945;Fluminense 0 X 1 São Cristovão - 
5;2;5295;Bonsucesso;29/09/1945;Fluminense 5 X 2 Bonsucesso - 
0;1;5296;Botafogo;07/10/1945;Fluminense 0 X 1 Botafogo - 
2;1;5297;América;13/10/1945;Fluminense 2 X 1 América - 
5;0;5298;Bangu;20/10/1945;Fluminense 5 X 0 Bangu - 
2;2;5299;Madureira;28/10/1945;Fluminense 2 X 2 Madureira - 
3;1;5300;Canto do Rio;17/11/1945;Fluminense 3 X 1 Canto do Rio - 
1;3;5301;Cruzeiro;09/12/1945;Fluminense 1 X 3 Cruzeiro - 
3;1;5302;Canto do Rio;16/12/1945;Fluminense 3 X 1 Canto do Rio - 
1;3;5303;Paraná;30/09/2007;Fluminense 1 X 3 Paraná - 
3;3;5304;Madureira;06/01/1946;Fluminense 3 X 3 Madureira - 
0;0;5305;Tuna Luso;10/01/1946;Fluminense 0 X 0 Tuna Luso - 
2;1;5306;Paysandu;13/01/1946;Fluminense 2 X 1 Paysandu - 
1;2;5307;Seleção Belém;17/01/1946;Fluminense 1 X 2 Seleção Belém - 
4;0;5308;Remo;20/01/1946;Fluminense 4 X 0 Remo - 
2;2;5309;Remo;27/01/1946;Fluminense 2 X 2 Remo - 
7;1;5310;Sampaio Corrêa;31/01/1946;Fluminense 7 X 1 Sampaio Corrêa - 
6;4;5311;Moto Club;03/02/1946;Fluminense 6 X 4 Moto Club - 
2;0;5312;Maranhão;07/02/1946;Fluminense 2 X 0 Maranhão - 
0;1;5313;Combinado Recife;14/02/1946;Fluminense 0 X 1 Combinado Recife - 
1;1;5314;Santa Cruz;17/02/1946;Fluminense 1 X 1 Santa Cruz - 
4;2;5315;Treze;18/02/1946;Fluminense 4 X 2 Treze - 
0;5;5316;Ypiranga BA;21/02/1946;Fluminense 0 X 5 Ypiranga BA - 
3;0;5317;Bahia;24/02/1946;Fluminense 3 X 0 Bahia - 
5;0;5318;Vitória BA;27/02/1946;Fluminense 5 X 0 Vitória BA - 
3;1;5320;São Cristovão;23/03/1946;Fluminense 3 X 1 São Cristovão - 
5;2;5321;Juiz de Fora;27/03/1946;Fluminense 5 X 2 Juiz de Fora - 
2;1;5322;América;03/04/1946;Fluminense 2 X 1 América - 
2;0;5323;Corinthians;10/04/1946;Fluminense 2 X 0 Corinthians - 
6;3;5324;Guarani;14/04/1946;Fluminense 6 X 3 Guarani - 
9;1;5325;Bonsucesso;20/04/1946;Fluminense 9 X 1 Bonsucesso - 
2;1;5326;São Paulo;23/04/1946;Fluminense 2 X 1 São Paulo - 
1;2;5327;Palmeiras;26/04/1946;Fluminense 1 X 2 Palmeiras - 
1;1;5328;Corinthians;03/10/2007;Fluminense 1 X 1 Corinthians - 
7;2;5329;A. A. Palmeiras;26/04/1914;Fluminense 7 X 2 A. A. Palmeiras - 
2;2;5330;A. A. Palmeiras;30/04/1916;Fluminense 2 X 2 A. A. Palmeiras - 
3;3;5332;São Cristovão;03/05/1916;Fluminense 3 X 3 São Cristovão - 
1;2;5333;Paulistano;11/06/1916;Fluminense 1 X 2 Paulistano - 
1;2;5334;Andaraí;06/08/1916;Fluminense 1 X 2 Andaraí - 
2;1;5335;São Cristovão;10/09/1916;Fluminense 2 X 1 São Cristovão - 
3;3;5336;Botafogo;26/11/1916;Fluminense 3 X 3 Botafogo - 
0;0;5337;Andaraí;03/12/1916;Fluminense 0 X 0 Andaraí - 
1;0;5339;Canto do Rio;01/05/1946;Fluminense 1 X 0 Canto do Rio - 
5;2;5340;Bangu;05/05/1946;Fluminense 5 X 2 Bangu - 
2;1;5341;Botafogo;12/05/1946;Fluminense 2 X 1 Botafogo - 
6;3;5342;Madureira;18/05/1946;Fluminense 6 X 3 Madureira - 
3;0;5344;São Cristovão;26/05/1946;Fluminense 3 X 0 São Cristovão - 
1;2;5345;América;02/06/1946;Fluminense 1 X 2 América - 
4;1;5346;Vasco;19/06/1946;Fluminense 4 X 1 Vasco - 
0;2;5347;Vasco;23/06/1946;Fluminense 0 X 2 Vasco - 
2;2;5348;Palmeiras;10/07/1946;Fluminense 2 X 2 Palmeiras - 
1;3;5350;São Paulo;29/12/1946;Fluminense 1 X 3 São Paulo - 
2;0;5351;Flamengo;07/10/2007;Fluminense 2 X 0 Flamengo - 
6;2;5352;Seleção Fluminense;09/01/1947;Fluminense 6 X 2 Seleção Fluminense - 
5;1;5353;Ferroviário PR;23/01/1947;Fluminense 5 X 1 Ferroviário PR - 
4;0;5354;Athletico PR;26/01/1947;Fluminense 4 X 0 Athletico PR - 
2;2;5355;Guarany BA;02/02/1947;Fluminense 2 X 2 Guarany BA - 
2;3;5357;Ypiranga BA;05/02/1947;Fluminense 2 X 3 Ypiranga BA - 
3;1;5358;Bahia;09/02/1947;Fluminense 3 X 1 Bahia - 
