Cidade;Data;Usuarios;Novos usuarios;Total;DT
Vitoria;20231024;1;0;1;24/10/2023
Vitoria;20231026;1;0;2;26/10/2023
Vitoria;20231028;1;0;1;28/10/2023
Vitoria da Conquista;20231027;1;1;1;27/10/2023
Vitoria da Conquista;20231028;1;0;1;28/10/2023
Waterloo;20231023;1;0;1;23/10/2023
Natal;20231029;0;1;0;29/10/2023
Rio de Janeiro;20231104;58;36;50;04/11/2023
Rio de Janeiro;20231105;50;33;42;05/11/2023
Rio de Janeiro;20231030;40;16;40;30/10/2023
Rio de Janeiro;20231031;38;22;40;31/10/2023
Rio de Janeiro;20231101;30;16;34;01/11/2023
Rio de Janeiro;20231103;29;15;27;03/11/2023
Rio de Janeiro;20231102;23;9;27;02/11/2023
(not set);20231104;18;18;11;04/11/2023
Sao Paulo;20231105;16;7;13;05/11/2023
Sao Paulo;20231104;13;12;8;04/11/2023
(not set);20231105;12;8;12;05/11/2023
(not set);20231103;8;7;5;03/11/2023
Sao Paulo;20231031;8;5;7;31/10/2023
Belem;20231104;7;6;7;04/11/2023
Niteroi;20231105;7;5;7;05/11/2023
Brasilia;20231031;6;3;7;31/10/2023
Manaus;20231105;6;6;5;05/11/2023
(not set);20231030;5;3;3;30/10/2023
(not set);20231031;5;3;4;31/10/2023
(not set);20231101;5;3;5;01/11/2023
Brasilia;20231104;5;4;3;04/11/2023
Natal;20231104;5;5;3;04/11/2023
Natal;20231105;5;4;4;05/11/2023
Sao Paulo;20231102;5;4;3;02/11/2023
Fortaleza;20231105;4;3;3;05/11/2023
Juiz de Fora;20231102;4;3;3;02/11/2023
Juiz de Fora;20231104;4;3;2;04/11/2023
Niteroi;20231031;4;1;5;31/10/2023
Niteroi;20231104;4;2;5;04/11/2023
Sao Paulo;20231030;4;2;5;30/10/2023
Belem;20231102;3;2;2;02/11/2023
Belem;20231103;3;3;3;03/11/2023
Brasilia;20231103;3;3;4;03/11/2023
Brasilia;20231105;3;1;3;05/11/2023
Fortaleza;20231030;3;3;2;30/10/2023
Petropolis;20231104;3;2;2;04/11/2023
Sao Bernardo do Campo;20231105;3;2;2;05/11/2023
Sao Goncalo;20231105;3;1;1;05/11/2023
Sao Jose dos Campos;20231104;3;2;2;04/11/2023
Sao Paulo;20231101;3;3;2;01/11/2023
Sao Paulo;20231103;3;2;3;03/11/2023
Vila Velha;20231105;3;1;1;05/11/2023
(not set);20231102;2;0;2;02/11/2023
Belo Horizonte;20231103;2;2;2;03/11/2023
Belo Horizonte;20231104;2;2;1;04/11/2023
Belo Horizonte;20231105;2;1;2;05/11/2023
Boa Vista;20231104;2;2;2;04/11/2023
Brasilia;20231030;2;2;2;30/10/2023
Brasilia;20231101;2;0;3;01/11/2023
Brasilia;20231102;2;2;3;02/11/2023
Campo Grande;20231104;2;2;2;04/11/2023
Cidade Ocidental;20231104;2;2;2;04/11/2023
Curitiba;20231031;2;2;1;31/10/2023
Curitiba;20231105;2;1;3;05/11/2023
Duque de Caxias;20231031;2;1;2;31/10/2023
Duque de Caxias;20231102;2;2;2;02/11/2023
Duque de Caxias;20231103;2;1;2;03/11/2023
Duque de Caxias;20231104;2;1;2;04/11/2023
Duque de Caxias;20231105;2;1;2;05/11/2023
Feira de Santana;20231105;2;2;2;05/11/2023
Goiania;20231104;2;2;2;04/11/2023
Goiania;20231105;2;1;2;05/11/2023
Joao Pessoa;20231104;2;2;1;04/11/2023
Jose Bonifacio;20231104;2;2;1;04/11/2023
Juiz de Fora;20231101;2;0;1;01/11/2023
Juiz de Fora;20231103;2;1;1;03/11/2023
Maceio;20231031;2;0;2;31/10/2023
Manaus;20231031;2;0;2;31/10/2023
Manaus;20231104;2;2;1;04/11/2023
Mossoro;20231105;2;1;2;05/11/2023
Niteroi;20231101;2;0;2;01/11/2023
Nova Friburgo;20231102;2;2;1;02/11/2023
Nova Friburgo;20231105;2;2;2;05/11/2023
Nova Iguacu;20231104;2;2;2;04/11/2023
Recife;20231104;2;2;2;04/11/2023
Ribeirao Preto;20231104;2;2;2;04/11/2023
Salvador;20231030;2;1;2;30/10/2023
Salvador;20231104;2;1;1;04/11/2023
Santo Andre;20231104;2;2;1;04/11/2023
Sao Goncalo;20231104;2;2;2;04/11/2023
Sao Lourenco;20231104;2;2;2;04/11/2023
Vila Velha;20231104;2;2;0;04/11/2023
Vitoria;20231101;2;1;4;01/11/2023
5551;20231105;1;0;1;05/11/2023
92364;20231103;1;0;1;03/11/2023
Abaetetuba;20231102;1;1;0;02/11/2023
Alegrete;20231104;1;1;0;04/11/2023
Amadora;20231101;1;0;1;01/11/2023
Amadora;20231105;1;0;1;05/11/2023
Americo Brasiliense;20231104;1;0;1;04/11/2023
Aracaju;20231030;1;1;1;30/10/2023
Aracaju;20231102;1;1;1;02/11/2023
Aracaju;20231104;1;1;1;04/11/2023
Arapiraca;20231104;1;1;1;04/11/2023
Araras;20231102;1;1;1;02/11/2023
Araruama;20231104;1;1;1;04/11/2023
Barcelona;20231102;1;0;1;02/11/2023
Barra Mansa;20231031;1;1;1;31/10/2023
Barra Mansa;20231105;1;1;1;05/11/2023
Barueri;20231031;1;1;1;31/10/2023
Bauru;20231104;1;1;1;04/11/2023
Belem;20231105;1;1;1;05/11/2023
Belford Roxo;20231031;1;1;1;31/10/2023
Betim;20231101;1;1;1;01/11/2023
Blumenau;20231104;1;1;1;04/11/2023
Blumenau;20231105;1;1;1;05/11/2023
Bonito;20231031;1;1;1;31/10/2023
Braco do Norte;20231105;1;1;1;05/11/2023
Braga;20231105;1;1;1;05/11/2023
Buenos Aires;20231104;1;0;1;04/11/2023
Cachoeiras de Macacu;20231031;1;1;1;31/10/2023
Cachoeiro de Itapemirim;20231104;1;1;1;04/11/2023
