# ----------------------------------------;;;;;;;
# Exportacao do CSV de relatorio;;;;;;;
# Conta: Rodrigo_fluzao;;;;;;;
# Propriedade: RodrigoFlu;;;;;;;
# ----------------------------------------;;;;;;;
# ;;;;;;;
# Todos os usuarios;;;;;;;
# Data de inicio: 20240429;;;;;;;
# Data de termino: 20240505;;;;;;;
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
Jogo;20240502;13;9;0;18.846.153.846.153.800;0;0
Jogo;20240503;13;9;0;5.861.538.461.538.460;0;0
Sampaio Correa 0 X 2 Fluminense;20240502;13;10;0;6.230.769.230.769.230;0;0
Terceira 2021;20240501;13;13;13;0;0;0
Especiais Jogadores;20240430;12;7;0;71.25;0;0
Fluminense x Sao Raimundo-AM;20240501;12;12;12;34.5;0;0
Kleber Andrade;20240501;12;12;0;58.916.666.666.666.600;0;0
Kleber Andrade;20240503;12;9;0;31.166.666.666.666.600;0;0
Campeonatos;20240503;11;9;0;16.727.272.727.272.700;0;0
Especiais Jogadores;20240429;11;7;0;5.281.818.181.818.180;0;0
Estadios;20240501;11;11;0;3.463.636.363.636.360;0;0
Jogador;20240505;11;11;2;4.018.181.818.181.810;0;0
Arbitros;20240503;11;10;0;6.909.090.909.090.900;0;0
Especiais Adversarios;20240504;10;9;0;48.7;0;0
Fluminense 2 X 2 Atletico MG;20240504;10;9;1;16.5;0;0
Kleber Andrade;20240502;10;8;0;26.3;0;0
Sampaio Correa 2 X 1 Fluminense;20240501;10;10;9;25.1;0;0
Especiais Jogadores;20240502;9;8;0;46.888.888.888.888.800;0;0
Espinelli 1945;20240502;9;8;6;2.977.777.777.777.770;0;0
Informacoes Gerais;20240501;9;8;0;16.555.555.555.555.500;0;0
Jogo;20240430;9;6;1;6.722.222.222.222.220;0;0
Jogo;20240505;9;9;0;4.277.777.777.777.770;0;0
Kleber Andrade;20240504;9;9;0;33.111.111.111.111.100;0;0
Sampaio Correa 0 X 2 Fluminense;20240504;9;9;0;56.111.111.111.111.100;0;0
40 Maiores idolos;20240430;8;2;0;7.25;0;0
Campeonatos;20240504;8;8;0;8.5;0;0
Estadios;20240504;8;8;0;10.875;0;0
Informacoes Gerais;20240504;8;8;0;17;0;0
Maiores Artilheiros;20240503;8;4;0;62.5;0;0
Sampaio Correa 0 X 2 Fluminense;20240501;8;6;0;17.25;0;0
Arbitros;20240430;8;8;1;9.125;0;0
Adversarios;20240505;7;7;0;38.714.285.714.285.700;0;0
Campeonatos;20240429;7;6;0;15.285.714.285.714.200;0;0
Campeonatos;20240501;7;7;0;11.428.571.428.571.400;0;0
Estadios;20240502;7;6;0;28;0;0
Fluminense x Atletico MG-MG;20240502;7;6;0;10.285.714.285.714.200;0;0
German Cano 2024;20240502;7;7;6;5.557.142.857.142.850;0;0
Informacoes Gerais;20240429;7;6;0;63.285.714.285.714.200;0;0
Jhon Arias 2024;20240501;7;6;0;6.428.571.428.571.420;0;0
Lima 2024;20240501;7;6;0;24.571.428.571.428.500;0;0
Passagem de Tecnico;20240430;7;3;0;8.142.857.142.857.140;0;0
Raphael Claus;20240503;7;6;0;8.928.571.428.571.420;0;0
Sampaio Correa 2 X 1 Fluminense;20240430;7;7;6;35.714.285.714.285.700;0;0
Todos os Jogos apitados por Raphael Claus;20240504;7;6;2;28.857.142.857.142.800;0;0
Tecnico;20240430;7;5;0;6.857.142.857.142.850;0;0
Anderson Daronco;20240504;6;6;0;21.5;0;0
Especiais Tecnico;20240502;6;6;0;23.166.666.666.666.600;0;0
Estadios;20240503;6;6;0;16;0;0
Fluminense 2 X 2 Atletico MG;20240505;6;5;2;24.333.333.333.333.300;0;0
Fluminense 5 X 1 Sampaio Correa;20240430;6;6;0;50.166.666.666.666.600;0;0
Fluminense x Corinthians-SP;20240429;6;6;0;46.166.666.666.666.600;0;0
Fluminense x Sampaio Correa-MA;20240429;6;6;0;50;0;0
Fluminense x Sao Raimundo-AM;20240430;6;4;3;25.5;0;0
Kleber Andrade;20240430;6;6;0;7.533.333.333.333.330;0;0
Tec - Fernando Diniz;20240501;6;4;0;32;0;0
Thiago Silva 2008;20240504;6;5;0;9.766.666.666.666.660;0;0
Todos os Jogos contra Atletico MG-MG;20240503;6;4;0;41;0;0
Tecnico;20240504;6;4;0;6;0;0
Italo Del Cima;20240503;6;2;1;10.166.666.666.666.600;0;0
Bilulu 1943;20240503;5;5;4;37.8;0;0
Camisa;20240503;5;5;0;10.4;0;0
Especiais Campeonatos;20240429;5;5;0;29;0;0
Especiais Historicos;20240502;5;4;0;53;0;0
Especiais Jogadores;20240505;5;4;0;22.2;0;0
Estadios;20240430;5;5;0;10.2;0;0
Fluminense x Internazionale-Italia;20240505;5;2;2;8.4;0;0
Graficos;20240503;5;4;0;13.4;0;0
Informacoes Gerais;20240503;5;3;0;5.6;0;0
Jhon Arias 2024;20240502;5;5;0;29.6;0;0
Luiz Flavio de Oliveira;20240504;5;3;0;14.2;0;0
Maiores Artilheiros;20240504;5;5;0;72.8;0;0
Tec - Fernando Diniz;20240430;5;3;0;9.2;0;0
Terans 2024;20240501;5;4;0;16.4;0;0
Treinador com mais jogos;20240502;5;5;0;28.8;0;0
Tecnico;20240501;5;5;0;14.4;0;0
Wilmar Roldan;20240503;5;4;0;25.6;0;0
Arbitros;20240501;5;4;0;38.2;0;0
Adversario x Jogador;20240504;4;3;0;24.75;0;0
Botafogo SP 1 X 1 Fluminense;20240503;4;3;3;54.75;0;0
Campeonatos;20240430;4;4;0;8.25;0;0
Corinthians 3 X 0 Fluminense;20240429;4;4;0;169;0;0
Curiosidades e Titulos;20240504;4;3;1;4;0;0
Diogo Barbosa 2024;20240501;4;3;0;9.75;0;0
Especiais Adversarios;20240502;4;3;0;21.75;0;0
Especiais Estadios;20240430;4;3;0;3.5;0;0
Especiais Estadios;20240502;4;3;0;8.5;0;0
Especiais Estadios;20240504;4;4;1;4.25;0;0
Especiais Tecnico;20240501;4;4;0;2.75;0;0
Especiais Tecnico;20240504;4;4;0;11.5;0;0
Estadios;20240505;4;3;0;16;0;0
Fluminense 1 X 0 Bayern de Munique;20240501;4;4;3;50;0;0
Fluminense x Atletico MG-MG;20240505;4;4;0;29.5;0;0
Fluminense x Sampaio Correa-MA;20240502;4;4;0;29.5;0;0
Fabio 2024;20240504;4;4;0;51.5;0;0
Geolocalizacao dos Estadios;20240430;4;2;0;6.25;0;0
German Cano 2024;20240503;4;2;0;16.75;0;0
Goleiros com mais jogos;20240502;4;4;0;14.75;0;0
Gremio 2 X 0 Fluminense;20240502;4;1;0;13.75;0;0
Madureira 0 X 1 Fluminense;20240504;4;2;0;8.25;0;0
Maior Artilheiro em Campeonato;20240429;4;3;0;57.25;0;0
Mais jogos sem levar gol;20240502;4;3;0;8.5;0;0
Paulo Cesar 2009;20240429;4;2;0;9.75;0;0
Raphael Claus;20240430;4;4;0;27.25;0;0
Raphael Claus;20240501;4;2;0;36;0;0
Raphael Claus;20240505;4;2;0;3;0;0
Tecnico;20240429;4;4;0;68.25;0;0
West Ham United 5 X 4 Fluminense;20240429;4;4;0;26.5;0;0
(not set);20240430;3;2;0;33;0;0
(not set);20240501;3;2;0;19.333.333.333.333.300;0;0
