# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240314
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/campeonato;20240221;8;7;0;31;875;0;0
/campeonato;20240222;10;8;0;85;9;0;0
/campeonato;20240223;8;6;0;24;375;0;0
/campeonato;20240224;6;6;0;16;833333333333332;0;0
/campeonato;20240225;3;3;1;26;0;0
/campeonato;20240226;2;2;0;69;5;0;0
/campeonato;20240227;5;5;0;15;0;0
/campeonato;20240228;6;6;0;41;666666666666664;0;0
/campeonato;20240229;7;7;1;13;571428571428571;0;0
/campeonato_arbestado;20240229;1;1;0;3;0;0
/campeonato_cartao;20240229;1;1;0;2;0;0
/campeonato;20240301;10;9;0;22;0;0
/campeonato;20240302;7;6;0;24;142857142857142;0;0
/campeonato;20240303;10;8;0;56;2;0;0
/campeonato;20240304;7;6;0;13;428571428571429;0;0
/campeonato;20240305;5;5;0;7;4;0;0
/campeonato;20240306;6;6;0;35;666666666666664;0;0
/campeonato;20240307;4;4;0;8;5;0;0
/campeonato;20240308;4;4;0;84;0;0
/campeonato;20240309;6;6;0;27;666666666666668;0;0
/campeonato;20240310;2;2;0;31;5;0;0
/campeonato;20240311;5;5;0;72;4;0;0
/campeonato;20240312;4;4;0;44;75;0;0
/campeonato;20240313;2;2;0;63;5;0;0
/campeonato;20240314;5;4;0;58;8;0;0
