# ----------------------------------------;;;;;;;
# Exportacao do CSV de relatorio;;;;;;;
# Conta: Rodrigo_fluzao;;;;;;;
# Propriedade: RodrigoFlu;;;;;;;
# ----------------------------------------;;;;;;;
# ;;;;;;;
# Todos os usuarios;;;;;;;
# Data de inicio: 20240205;;;;;;;
# Data de termino: 20240215;;;;;;;
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/grafico_assistencia/601;20240210;3;1;0;34.666.666.666.666.600;0;0
/jogador;20240215;3;2;0;7.666.666.666.666.660;0;0
/link_adversario/35;20240209;3;3;0;8.666.666.666.666.660;0;0
/link_adversario/510;20240207;3;2;2;20;0;0
/link_adversario/511;20240205;3;3;3;19.666.666.666.666.600;0;0
/link_adversario/62;20240213;3;3;1;5.666.666.666.666.660;0;0
/link_jogador/2421;20240214;3;3;2;22.333.333.333.333.300;0;0
/link_jogador/2503;20240209;3;3;0;8.666.666.666.666.660;0;0
/link_jogador/776;20240206;3;3;1;19.333.333.333.333.300;0;0
/link_jogo/6730;20240211;3;1;0;0;0;0
/link_jogo/7261;20240206;3;2;2;12;0;0
/link_jogo/8683;20240214;3;3;0;11.666.666.666.666.600;0;0
/link_jogo/8694;20240213;3;3;3;0;0;0
/link_jogo/8733;20240210;3;3;0;9.666.666.666.666.660;0;0
/link_jogo/98;20240211;3;1;0;0.3333333333333333;0;0
/link_todos/57/100;20240210;3;1;0;24;0;0
/mostra_adversario;20240212;3;3;0;60.333.333.333.333.300;0;0
/mostra_campeonato;20240212;3;2;0;31.333.333.333.333.300;0;0
/mostra_especial/;20240209;3;2;0;14.933.333.333.333.300;0;0
/mostra_especial/;20240211;3;3;0;59.666.666.666.666.600;0;0
/mostra_estadio;20240206;3;3;0;228;0;0
/mostra_estadio;20240214;3;3;0;29.666.666.666.666.600;0;0
/mostra_ranking/800000000000;20240212;3;2;0;29.333.333.333.333.300;0;0
/mostra_ranking/900000000000;20240207;3;3;0;57;0;0
/mostra_ranking/900000000000;20240210;3;1;0;8.666.666.666.666.660;0;0
/mostra_ranking/900000000000;20240214;3;3;0;73;0;0
/mostra_rkg/;20240206;3;3;0;45.666.666.666.666.600;0;0
/mostra_rkg/;20240210;3;2;0;34.333.333.333.333.300;0;0
/mostra_rkg/;20240211;3;2;0;17.366.666.666.666.600;0;0
/mostra_tecnico;20240207;3;3;0;29;0;0
/mostra_tecnico;20240209;3;3;0;13;0;0
/tecnico;20240205;3;3;0;7;0;0
/tecnico;20240206;3;3;0;21;0;0
/tecnico;20240207;3;3;0;22;0;0
/arbitro;20240212;2;2;0;10.5;0;0
/camisa;20240205;2;2;0;25.5;0;0
/camisa;20240210;2;1;0;9.5;0;0
/camisa;20240214;2;2;0;8;0;0
/campeonato;20240211;2;2;0;4.5;0;0
/campeonato;20240214;2;2;0;1.5;0;0
/compara_campeonato;20240208;2;1;0;358;0;0
/comparacao_adv;20240207;2;1;0;115;0;0
/comparacao_arbitro;20240208;2;1;0;23.5;0;0
/comparacao_jogador;20240207;2;1;0;512.5;0;0
/comparacao_tecnico;20240208;2;1;0;9.5;0;0
/comparacao_tecnico_adv;20240208;2;1;0;10;0;0
/consulta_adversario;20240207;2;1;0;5;0;0
/consulta_arbitro;20240208;2;1;0;13.5;0;0
/consulta_especial/100999000;20240209;2;2;0;65.5;0;0
/consulta_especial/100999000;20240214;2;2;0;16.5;0;0
/consulta_especial/103100000;20240209;2;2;0;9.5;0;0
/consulta_especial_adversario;20240205;2;2;0;32;0;0
/consulta_especial_adversario;20240206;2;2;0;25.5;0;0
/consulta_especial_adversario;20240211;2;2;0;13.5;0;0
/consulta_especial_adversario;20240212;2;2;0;15;0;0
/consulta_especial_arbitro;20240208;2;1;0;4.5;0;0
/consulta_especial_campeonato;20240205;2;1;0;7.5;0;0
/consulta_especial_estadio;20240211;2;2;0;11.5;0;0
/consulta_especial_estadio;20240214;2;2;0;7;0;0
/consulta_especial_gerais;20240205;2;2;0;133.5;0;0
/consulta_especial_gerais;20240209;2;2;0;5.5;0;0
/consulta_especial_gerais;20240210;2;2;0;9.5;0;0
/consulta_especial_jogador;20240215;2;1;0;5.5;0;0
/consulta_especial_jogos;20240210;2;2;0;26;0;0
/consulta_especial_resultados;20240208;2;2;0;11.5;0;0
/consulta_especial_tecadv;20240208;2;1;0;1;0;0
/consulta_especial_tecnico;20240212;2;2;0;28.5;0;0
/consulta_estadio/102999000;20240209;2;2;0;15.5;0;0
/consulta_hattrick/750000000000;20240206;2;1;0;36;0;0
/consulta_jogador/104732000;20240209;2;2;0;15;0;0
/consulta_jogador/268100000;20240206;2;2;0;22;0;0
/consulta_jogador/268102000;20240209;2;2;0;6;0;0
/consulta_jogador/268106000;20240209;2;2;0;11;0;0
/consulta_jogador2;20240207;2;1;0;36.5;0;0
/consulta_jogador2;20240208;2;2;0;6;0;0
/consulta_ranking/290206000000;20240211;2;1;0;13.5;0;0
/consulta_ranking/900102000000;20240206;2;1;0;19.5;0;0
/consulta_ranking/900102000000;20240207;2;1;0;40;0;0
/consulta_tecadv;20240208;2;1;0;6.5;0;0
/consulta_tecnico;20240206;2;1;0;15;0;0
/consulta_tecnico;20240208;2;1;0;8;0;0
/curiosidade;20240206;2;2;0;7.5;0;0
/curiosidade;20240208;2;2;0;14;0;0
/curiosidade;20240212;2;1;0;4;0;0
/curiosidade;20240214;2;1;0;2;0;0
/duelo_eliminatorio_adv/349000000;20240206;2;1;0;0.5;0;0
/estadio;20240205;2;2;0;64.5;0;0
/estadio;20240209;2;2;0;25;0;0
/estadio;20240210;2;2;0;21;0;0
/estadio;20240214;2;2;0;43.5;0;0
/estadio_todos;20240209;2;2;0;5;0;0
/evolucao_adversario;20240209;2;2;0;115;0;0
/generico_campeonato/500344000;20240209;2;2;0;6;0;0
/generico_tecnico/105732000;20240209;2;2;0;19.5;0;0
/geral;20240207;2;2;0;11.5;0;0
/geral;20240213;2;2;0;7.5;0;0
/grafico;20240205;2;2;0;18;0;0
/grafico;20240206;2;2;0;5;0;0
/grafico;20240207;2;2;0;9;0;0
/grafico;20240213;2;2;0;60;0;0
/grafico_adversario/200;20240213;2;2;0;114.5;0;0
/grafico_ano/107;20240210;2;1;0;18;0;0
/grafico_artilheiro/500;20240209;2;2;0;39;0;0
/grafico_artilheiro/500;20240211;2;2;0;65;0;0
/grafico_artilheiro/563;20240210;2;1;0;32.5;0;0
/grafico_evolucao/587;20240210;2;1;0;0;0;0
/idades/662000000000;20240207;2;2;0;35;0;0
/inicio_ano;20240209;2;2;0;98.5;0;0
/link_adversario/115;20240211;2;2;0;1;0;0
/link_adversario/147;20240214;2;2;2;34.5;0;0
/link_adversario/310;20240214;2;2;2;98.5;0;0
/link_adversario/35;20240210;2;2;0;12.5;0;0
/link_adversario/49;20240205;2;2;0;28.5;0;0
/link_adversario/49;20240208;2;2;0;11;0;0
/link_adversario/62;20240206;2;2;0;14.5;0;0
/link_adversario/62;20240209;2;2;0;12;0;0
/link_adversario/62;20240212;2;1;0;7;0;0
/link_adversario/748;20240211;2;2;0;9;0;0
/link_adversario/797;20240209;2;2;0;20.5;0;0
/link_arbitro/491;20240208;2;2;2;8.5;0;0
/link_camisa/106;20240207;2;1;0;6.5;0;0
/link_camisa/114;20240214;2;1;0;21;0;0
/link_campeonato/291;20240205;2;1;1;27.5;0;0
/link_campeonato/291;20240209;2;2;2;82;0;0
/link_campeonato/427;20240207;2;2;2;19;0;0
/link_campeonato/445;20240206;2;2;1;36;0;0
/link_campeonato/51;20240214;2;2;2;15;0;0
/link_estadio/203;20240206;2;1;0;6.5;0;0
/link_estadio/46;20240207;2;2;1;76;0;0
/link_estadio/55;20240208;2;2;0;14;0;0
/link_gol/2216;20240206;2;1;0;2;0;0
/link_gol/2363;20240205;2;2;0;41;0;0
/link_jogador/1069;20240205;2;2;1;15;0;0
/link_jogador/1105;20240210;2;2;2;3;0;0
/link_jogador/179;20240205;2;1;0;0;0;0
/link_jogador/2015;20240213;2;2;0;11;0;0
/link_jogador/2189;20240206;2;1;0;2;0;0
/link_jogador/2363;20240206;2;2;0;7.5;0;0
/link_jogador/2421;20240208;2;2;1;44;0;0
/link_jogador/2488;20240208;2;2;1;26;0;0
/link_jogador/2494;20240212;2;1;0;7;0;0
/link_jogador/2500;20240209;2;2;0;22.5;0;0
/link_jogador/576;20240213;2;1;1;7;0;0
/link_jogador/820;20240211;2;1;0;4;0;0
/link_jogo/2634;20240213;2;1;0;0.5;0;0
/link_jogo/2651;20240212;2;2;2;9.5;0;0
/link_jogo/2894;20240210;2;2;2;0;0;0
/link_jogo/2934;20240208;2;1;1;8.5;0;0
/link_jogo/2934;20240213;2;2;2;9;0;0
/link_jogo/2934;20240214;2;2;2;88.5;0;0
/link_jogo/2957;20240207;2;2;2;4.5;0;0
/link_jogo/3039;20240207;2;2;2;7;0;0
/link_jogo/4621;20240208;2;2;0;20;0;0
/link_jogo/4850;20240207;2;2;1;23.5;0;0
/link_jogo/4990;20240206;2;2;2;6.5;0;0
/link_jogo/4990;20240210;2;2;2;9.5;0;0
/link_jogo/4990;20240214;2;2;2;30;0;0
/link_jogo/6319;20240209;2;2;0;7;0;0
/link_jogo/6629;20240210;2;2;1;34.5;0;0
/link_jogo/6755;20240211;2;1;0;1;0;0
/link_jogo/6756;20240211;2;1;0;3;0;0
/link_jogo/6758;20240211;2;1;0;0;0;0
/link_jogo/6759;20240212;2;1;0;10.5;0;0
/link_jogo/6767;20240212;2;1;0;1.5;0;0
/link_jogo/6781;20240212;2;1;0;0;0;0
/link_jogo/7940;20240206;2;1;0;2.5;0;0
/link_jogo/8178;20240206;2;2;0;2.5;0;0
/link_jogo/8231;20240206;2;1;0;5.5;0;0
/link_jogo/8236;20240206;2;1;0;20.5;0;0
/link_jogo/8485;20240210;2;2;0;36;0;0
/link_jogo/8487;20240205;2;2;0;7;0;0
/link_jogo/8683;20240206;2;2;0;44.5;0;0
/link_jogo/8683;20240209;2;2;0;15;0;0
/link_jogo/8686;20240210;2;2;0;2.5;0;0
/link_jogo/8694;20240208;2;2;2;0;0;0
/link_jogo/8694;20240211;2;2;2;0;0;0
/link_jogo/8694;20240214;2;2;2;0;0;0
/link_jogo/8703;20240210;2;2;0;4;0;0
/link_jogo/8739;20240213;2;2;0;26;0;0
/link_jogo/8751;20240206;2;1;0;1;0;0
/link_jogo/8763;20240206;2;2;0;8.5;0;0
/link_jogo/8763;20240207;2;2;0;4.5;0;0
/link_jogo/8765;20240208;2;2;0;34;0;0
/link_jogo/8765;20240211;2;2;0;84.5;0;0
/link_jogo/94;20240206;2;1;0;99;0;0
/link_jogo/98;20240210;2;1;0;2;0;0
/link_passagem/21/157;20240205;2;1;0;5;0;0
/link_penalti_ano/2023;20240205;2;1;0;0;0;0
/link_posicao/3;20240211;2;1;0;0;0;0
/link_posicao/3;20240213;2;1;0;0;0;0
/link_todos/115/100;20240205;2;2;0;62.5;0;0
/link_todos/203/200;20240206;2;1;0;7;0;0
/link_todos/210/200;20240205;2;1;0;0;0;0
/link_todos/23/200;20240211;2;1;0;3;0;0
/link_todos/35/100;20240208;2;1;0;0;0;0
/link_todos/35/100;20240209;2;1;0;0;0;0
/link_todos/55/200;20240208;2;2;0;31;0;0
/link_todos/597/100;20240205;2;1;0;6;0;0
/link_todos/62/100;20240214;2;2;0;87.5;0;0
/link_todos/89/100;20240209;2;1;0;6;0;0
/listadv_jogador;20240209;2;2;0;31.5;0;0
/listadv_tecnico;20240209;2;2;0;60;0;0
/maiores_publicos2;20240208;2;1;0;4;0;0
/maiores_publicos_classicos;20240210;2;2;2;59.5;0;0
/maiores_publicos_classicos;20240212;2;1;0;356;0;0
/mostra_advmais;20240214;2;2;0;29;0;0
/mostra_arbitro;20240209;2;2;0;51.5;0;0
/mostra_arbitro;20240210;2;1;0;0;0;0
/mostra_arbitro;20240212;2;2;0;10.5;0;0
/mostra_campeonato;20240207;2;2;0;11;0;0
/mostra_duelo_esp;20240206;2;1;0;26;0;0
/mostra_especial/;20240208;2;2;0;29.5;0;0
/mostra_especial_jogo;20240208;2;2;0;6;0;0
/mostra_especial_jogo;20240210;2;2;0;6;0;0
/mostra_estadio;20240205;2;2;0;70.5;0;0
/mostra_estadio;20240207;2;2;0;18.5;0;0
/mostra_estadio;20240210;2;2;0;47.5;0;0
/mostra_estadio;20240211;2;2;0;35.5;0;0
/mostra_jogador;20240215;2;2;0;66.5;0;0
/mostra_jogador_gols;20240206;2;2;0;13;0;0
/mostra_jogador_gols;20240213;2;1;0;0;0;0
/mostra_numeracao;20240208;2;1;0;25.5;0;0
/mostra_penalti_ano;20240205;2;2;0;12;0;0
/mostra_ranking/290000000;20240207;2;2;0;8;0;0
/mostra_ranking/800000000000;20240208;2;2;1;20.5;0;0
/mostra_ranking/800800000000;20240209;2;2;0;15.5;0;0
/mostra_ranking/800801000000;20240209;2;2;0;8.5;0;0
/mostra_ranking/800801000000;20240211;2;1;0;0;0;0
/mostra_ranking/800805000000;20240209;2;2;0;27.5;0;0
/mostra_ranking/801000000000;20240206;2;1;0;39;0;0
/mostra_ranking/801000000000;20240207;2;2;0;141.5;0;0
/mostra_ranking/801000000000;20240208;2;2;0;64.5;0;0
/mostra_ranking/801000000000;20240209;2;2;0;74;0;0
/mostra_ranking/867000000000;20240212;2;2;0;115;0;0
/mostra_ranking/900000000000;20240206;2;2;0;53.5;0;0
/mostra_ranking/900000000000;20240208;2;2;0;8;0;0
/mostra_rkg/;20240208;2;2;0;99;0;0
/mostra_rkg/;20240213;2;2;0;7.5;0;0
/mostra_rkg/;20240214;2;2;0;48.5;0;0
/mostra_sequencia2;20240209;2;2;0;736;0;0
/mostra_tecnico;20240205;2;2;0;29;0;0
/mostra_tecnico;20240206;2;2;0;61.5;0;0
/mostra_tecnico;20240214;2;2;0;10.5;0;0
/mostra_todos;20240209;2;2;0;21.5;0;0
/mostra_todos;20240214;2;2;0;44;0;0
/mostra_todos_jogador;20240207;2;1;0;0.5;0;0
/penalti_ano/363000000;20240205;2;2;0;3;0;0
/pontos_campeonato;20240207;2;1;0;0;0;0
/proximos_jogos;20240207;2;2;0;33;0;0
/ranking_contra/;20240210;2;1;0;57;0;0
/tecnico;20240214;2;2;0;6;0;0
/arbitro;20240208;1;1;0;27;0;0
/arbitro;20240210;1;1;0;6;0;0
/arbitro;20240213;1;1;0;4;0;0
/arbitro;20240215;1;1;0;6;0;0
/arbitro_todos;20240214;1;1;0;5;0;0
/avaliacao;20240210;1;1;0;3;0;0
/camisa;20240206;1;1;0;7;0;0
/camisa;20240208;1;1;0;2;0;0
/campeonato_cartao;20240206;1;1;0;75;0;0
/cartao_ano;20240206;1;1;0;52;0;0
/compara_ano/178000000;20240206;1;1;0;7;0;0
/comparacao_adv;20240206;1;1;0;2;0;0
/comparacao_ano;20240206;1;1;0;34;0;0
/comparacao_campeonato;20240208;1;1;0;340;0;0
/comparacao_estadio;20240214;1;1;0;3;0;0
/comparacao_jogador;20240208;1;1;0;34;0;0
/comparacao_tecnico;20240206;1;1;0;422;0;0
/comparacao_tecnico_adv;20240206;1;1;0;124;0;0
/consulta_adversario;20240206;1;1;0;20;0;0
/consulta_camisa/400001000;20240207;1;1;0;7;0;0
/consulta_camisa/400100000;20240214;1;1;0;43;0;0
/consulta_camisa/400103000;20240214;1;1;0;48;0;0
/consulta_camisa/400104000;20240210;1;1;0;18;0;0
/consulta_camisa/400104000;20240214;1;1;0;33;0;0
/consulta_camisa/400201000;20240205;1;1;0;11;0;0
/consulta_camisa/400201000;20240214;1;1;0;12;0;0
/consulta_camisa/400300000;20240205;1;1;0;19;0;0
/consulta_camisa/400345000;20240214;1;1;0;15;0;0
/consulta_campeonato/103550000;20240206;1;1;0;8;0;0
/consulta_campeonato/103877000;20240210;1;1;0;6;0;0
/consulta_campeonato/103897000;20240209;1;1;0;31;0;0
/consulta_campeonato/103999000;20240208;1;1;0;3;0;0
/consulta_espadv/106100000;20240209;1;1;0;15;0;0
/consulta_espadv/106100000;20240212;1;1;0;12;0;0
/consulta_espadv/201103000;20240205;1;1;0;13;0;0
/consulta_espadv/201103000;20240213;1;1;0;26;0;0
/consulta_espadv/201103000;20240214;1;1;0;17;0;0
/consulta_especial/100102000;20240208;1;1;0;0;0;0
/consulta_especial/100102000;20240211;1;1;0;10;0;0
/consulta_especial/100103000;20240208;1;1;0;34;0;0
/consulta_especial/100103000;20240211;1;1;0;123;0;0
/consulta_especial/100103000;20240213;1;1;0;17;0;0
/consulta_especial/100103102;20240212;1;1;0;17;0;0
/consulta_especial/100105000;20240205;1;1;0;30;0;0
/consulta_especial/100358000;20240209;1;1;0;5;0;0
