# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240513
# Data de termino: 20240519
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
/link_jogo/4894;20240516;3;3;1;16;0;0
/link_jogo/4990;20240516;3;3;3;6;0;0
/link_jogo/7328;20240517;3;3;3;25.666666666666668;0;0
/link_jogo/7328;20240519;3;3;3;19.333333333333332;0;0
/link_jogo/804;20240518;3;1;0;2;0;0
/link_jogo/8298;20240513;3;3;0;11.333333333333334;0;0
/link_jogo/8781;20240515;3;2;0;5.333333333333333;0;0
/link_jogo/8783;20240515;3;3;0;20;0;0
/melhores_jogadores/482000000000;20240519;3;3;1;104;0;0
/mostra_advmais;20240516;3;2;0;140.33333333333334;0;0
/mostra_espadv2;20240514;3;2;0;74.66666666666667;0;0
/mostra_especial/;20240514;3;3;0;235.66666666666666;0;0
/mostra_especial/;20240515;3;2;0;15.333333333333334;0;0
/mostra_especial/;20240516;3;3;0;18.333333333333332;0;0
/mostra_especial_jogo;20240514;3;3;0;25.333333333333332;0;0
/mostra_especial_jogo;20240519;3;2;0;15.666666666666666;0;0
/mostra_estadio;20240516;3;3;0;40.333333333333336;0;0
/mostra_jogador_gols;20240517;3;3;0;16.666666666666668;0;0
/mostra_penalti/210000000;20240516;3;2;0;112.33333333333333;0;0
/mostra_ranking/800000000000;20240518;3;2;0;83.66666666666667;0;0
/mostra_ranking/800800000000;20240517;3;2;0;19.333333333333332;0;0
/mostra_rkg/;20240518;3;3;0;100.66666666666667;0;0
/mostra_todos_jogador;20240515;3;2;0;23;0;0
/posicao_ano;20240518;3;2;0;31.333333333333332;0;0
/susp_mch_ano;20240514;3;1;0;607.3333333333334;0;0
/todas_camisas/400000000;20240514;3;3;0;31.666666666666668;0;0
/vitoria_turno;20240518;3;2;0;49;0;0
/consolida_turno;20240518;2;1;0;305;0;0
/consulta_adversario;20240516;2;2;0;13;0;0
/consulta_campeonato/103999000;20240515;2;2;0;4;0;0
/consulta_campeonato/103999000;20240518;2;2;0;10.5;0;0
/consulta_cores/720002000;20240516;2;2;0;2;0;0
/consulta_espadv/106100000;20240516;2;2;0;20;0;0
/consulta_espadv/200000000;20240514;2;1;0;6;0;0
/consulta_espadv/200000000;20240517;2;2;0;6;0;0
/consulta_espadv/200150000;20240514;2;1;0;10;0;0
/consulta_especial/100102000;20240513;2;2;0;31.5;0;0
/consulta_especial/100103000;20240515;2;2;0;18.5;0;0
/consulta_especial_arbitro;20240517;2;1;0;37;0;0
/consulta_especial_brasileiro;20240515;2;2;0;52.5;0;0
/consulta_especial_brasileiro;20240516;2;2;0;2.5;0;0
/consulta_especial_brasileiro;20240517;2;2;0;80;0;0
/consulta_especial_campeonato;20240514;2;2;0;30;0;0
/consulta_especial_campeonato;20240516;2;2;0;11;0;0
/consulta_especial_classico;20240517;2;2;0;6.5;0;0
/consulta_especial_classico;20240518;2;2;0;6.5;0;0
/consulta_especial_estadio;20240516;2;2;0;8.5;0;0
/consulta_especial_gerais;20240513;2;2;0;13.5;0;0
/consulta_especial_gerais;20240518;2;1;0;10.5;0;0
/consulta_especial_jogos;20240519;2;2;0;9.5;0;0
/consulta_especial_sequencia;20240519;2;2;0;10;0;0
/consulta_especial_tecnico;20240518;2;2;0;14.5;0;0
/consulta_fornecedor/400125000;20240519;2;2;0;4;0;0
/consulta_jogador/104999000;20240514;2;2;0;10.5;0;0
/consulta_jogador/104999000;20240515;2;2;0;11.5;0;0
/consulta_jogador/104999000;20240519;2;1;0;32.5;0;0
/consulta_jogador/268103000;20240517;2;2;0;18.5;0;0
/consulta_jogo/654000000;20240513;2;2;0;4.5;0;0
/consulta_jogo/655000000;20240514;2;2;0;15.5;0;0
/consulta_jogo/655000000;20240519;2;1;0;16.5;0;0
/consulta_jogo/660000000;20240513;2;2;0;2.5;0;0
/consulta_paiscamp;20240516;2;2;0;44;0;0
/consulta_prinadv/250103000;20240516;2;2;0;5.5;0;0
/consulta_ranking/296306000000;20240517;2;1;0;3;0;0
/consulta_ranking/298106000000;20240517;2;2;0;4.5;0;0
/consulta_ranking/299106000000;20240515;2;2;0;22.5;0;0
/consulta_ranking/800103000000;20240519;2;2;0;11;0;0
/consulta_ranking/900100000000;20240515;2;2;0;9;0;0
/consulta_ranking/900126000000;20240515;2;2;0;26.5;0;0
/consulta_rodada/816000000;20240518;2;1;0;7;0;0
/contato;20240516;2;2;0;83;0;0
/credito;20240516;2;2;0;62.5;0;0
/curiosidade;20240516;2;2;0;39;0;0
/curiosidade;20240518;2;2;0;191.5;0;0
/estadio;20240513;2;1;0;4;0;0
/estadio;20240515;2;2;0;2;0;0
/estadio;20240516;2;2;0;4;0;0
/estadio;20240517;2;2;0;7;0;0
/estadio_todos;20240514;2;1;0;0;0;0
/estadio_todos;20240515;2;2;0;34;0;0
/estadio_todos;20240517;2;2;0;85;0;0
/generico_campeonato/867103000000;20240518;2;2;0;9.5;0;0
/grafico;20240518;2;2;0;11;0;0
/grafico_assistencia/598;20240516;2;1;0;5.5;0;0
/grafico_jogador/104;20240515;2;2;0;16;0;0
/link_adversario/125;20240517;2;2;2;5;0;0
/link_adversario/146;20240517;2;2;0;154;0;0
/link_adversario/180;20240517;2;2;0;52;0;0
/link_adversario/224;20240514;2;1;0;3;0;0
/link_adversario/315;20240515;2;2;0;20;0;0
/link_adversario/370;20240515;2;1;0;0.5;0;0
/link_adversario/401;20240514;2;1;0;4.5;0;0
/link_adversario/471;20240518;2;1;1;4.5;0;0
/link_adversario/49;20240518;2;2;0;15.5;0;0
/link_adversario/526;20240518;2;2;2;30;0;0
/link_adversario/597;20240514;2;1;0;4.5;0;0
/link_adversario/656;20240514;2;1;0;6;0;0
/link_amarelo/49;20240517;2;1;0;46;0;0
/link_arbitro/1209;20240516;2;2;0;13;0;0
/link_arbitro/186;20240517;2;1;0;1.5;0;0
/link_arbitro/455;20240517;2;1;0;1.5;0;0
/link_camisa/1;20240514;2;2;0;5.5;0;0
/link_campeonato/408;20240519;2;2;2;21;0;0
/link_campeonato/806;20240516;2;2;0;10;0;0
/link_estadio/445;20240517;2;1;1;3.5;0;0
