# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240701
# Data de termino: 20240707
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
/link_campeonato/445;20240702;2;2;2;60.5;0;0;0
/link_estadio/55;20240703;2;2;0;6.5;0;0;0
/link_gol/1218;20240702;2;2;0;6;0;0;0
/link_jogador/1006;20240702;2;2;2;0;0;0;0
/link_jogador/1245;20240707;2;1;1;0;0;0;0
/link_jogador/1299;20240704;2;2;0;24;0;0;0
/link_jogador/2350;20240702;2;2;1;23.5;0;0;0
/link_jogador/2350;20240705;2;2;0;19.5;0;0;0
/link_jogador/2421;20240701;2;2;2;16;0;0;0
/link_jogador/2421;20240703;2;2;2;2;0;0;0
/link_jogador/2499;20240705;2;1;1;0;0;0;0
/link_jogador/2504;20240707;2;1;0;22.5;0;0;0
/link_jogador/442;20240701;2;2;2;97;0;0;0
/link_jogador/810;20240703;2;2;2;8;0;0;0
/link_jogador/921;20240707;2;2;2;27;0;0;0
/link_jogador/950;20240704;2;1;0;16.5;0;0;0
/link_jogo/104;20240707;2;1;0;0;0;0;0
/link_jogo/2517;20240701;2;2;2;34;0;0;0
/link_jogo/2906;20240707;2;1;0;57;0;0;0
/link_jogo/2934;20240703;2;2;1;11;0;0;0
/link_jogo/2957;20240707;2;2;2;0;0;0;0
/link_jogo/3039;20240707;2;2;2;49.5;0;0;0
/link_jogo/3138;20240704;2;1;0;4;0;0;0
/link_jogo/3777;20240704;2;2;2;59.5;0;0;0
/link_jogo/3829;20240704;2;1;0;36.5;0;0;0
/link_jogo/3845;20240707;2;1;0;0;0;0;0
/link_jogo/4174;20240703;2;1;0;0.5;0;0;0
/link_jogo/4529;20240701;2;1;0;0;0;0;0
/link_jogo/4758;20240703;2;2;2;28.5;0;0;0
/link_jogo/4990;20240701;2;2;2;65;0;0;0
/link_jogo/4990;20240702;2;2;2;22;0;0;0
/link_jogo/4994;20240702;2;2;1;6;0;0;0
/link_jogo/4994;20240704;2;2;1;10.5;0;0;0
/link_jogo/4999;20240704;2;2;0;52.5;0;0;0
/link_jogo/5443;20240706;2;2;2;45;0;0;0
/link_jogo/7114;20240706;2;2;1;24;0;0;0
/link_jogo/7703;20240701;2;1;0;0;0;0;0
/link_jogo/7858;20240707;2;1;0;10.5;0;0;0
/link_jogo/7891;20240701;2;2;2;3;0;0;0
/link_jogo/8751;20240704;2;1;0;1.5;0;0;0
/link_jogo/8793;20240705;2;2;0;3;0;0;0
/link_jogo/8794;20240705;2;2;0;7.5;0;0;0
/link_jogo/8795;20240705;2;2;0;5;0;0;0
/link_jogo/8796;20240704;2;2;0;26.5;0;0;0
/link_jogo/8797;20240707;2;2;0;44;0;0;0
/link_mascote/166;20240701;2;1;1;8;0;0;0
/link_passagem/112/140;20240702;2;2;0;23.5;0;0;0
/link_todos/168/100;20240706;2;2;0;34.5;0;0;0
/link_todos/168/100;20240707;2;2;0;4.5;0;0;0
/link_todos/514/100;20240706;2;1;0;47;0;0;0
/link_todos/94/200;20240701;2;1;1;0;0;0;0
/mostra_camisa;20240706;2;1;0;61;0;0;0
/mostra_campeonato;20240702;2;1;0;44;0;0;0
/mostra_campeonato;20240707;2;2;0;29.5;0;0;0
/mostra_especial_jogo;20240701;2;2;0;65;0;0;0
/mostra_especial_jogo;20240706;2;1;0;51.5;0;0;0
/mostra_estadio;20240703;2;1;0;0;0;0;0
/mostra_estadio;20240704;2;2;0;116.5;0;0;0
/mostra_jogador_gols;20240702;2;2;0;13;0;0;0
/mostra_jogo;20240707;2;2;0;2.5;0;0;0
/mostra_ranking/800805000000;20240705;2;2;0;34.5;0;0;0
/mostra_ranking/801000000000;20240703;2;0;0;0;0;0;0
/mostra_ranking/801000000000;20240707;2;1;0;55;0;0;0
/mostra_ranking/900000000000;20240704;2;2;0;23;0;0;0
/mostra_ranking/900000000000;20240707;2;2;0;31.5;0;0;0
/mostra_ranking/903000000000;20240704;2;2;0;8;0;0;0
/mostra_rkg/;20240702;2;2;0;41;0;0;0
/mostra_sequencia/500000000;20240707;2;1;0;41;0;0;0
/mostra_sequencia2;20240705;2;2;0;39;0;0;0
/mostra_sequencia2;20240707;2;1;0;62.5;0;0;0
/mostra_sequencia_qtd;20240707;2;1;0;159.5;0;0;0
/mostra_tecnico;20240701;2;2;0;38.5;0;0;0
/mostra_tecnico;20240704;2;2;0;35.5;0;0;0
/mostra_todos_jogador;20240701;2;2;0;380;0;0;0
/mostra_todos_jogador;20240705;2;2;0;8.5;0;0;0
/proximos_jogos;20240704;2;2;0;60.5;0;0;0
/proximos_jogos;20240705;2;1;0;19.5;0;0;0
/proximos_jogos;20240706;2;2;0;8;0;0;0
/ranking_tecadv/114000000;20240701;2;2;0;16;0;0;0
/sequencia_qtd/500487000;20240707;2;1;0;31;0;0;0
/tecnico;20240707;2;2;0;12;0;0;0
/timeline_tec;20240702;2;2;0;137.5;0;0;0
/arbitro;20240701;1;1;0;5;0;0;0
/camisa;20240701;1;1;0;1;0;0;0
/camisa;20240705;1;1;0;13;0;0;0
/camisa;20240707;1;1;0;1;0;0;0
/campeonato;20240702;1;1;0;12;0;0;0
/compara_ano/178000000;20240701;1;1;0;15;0;0;0
/compara_campanha/492000000;20240704;1;1;0;4;0;0;0
/comparacao_ano;20240701;1;1;0;68;0;0;0
/comparacao_tecnico_adv;20240702;1;1;0;27;0;0;0
/consulta_campano/106720000;20240701;1;1;0;4;0;0;0
/consulta_campeonato/103999000;20240704;1;1;0;8;0;0;0
/consulta_campeonato/103999000;20240705;1;1;0;3;0;0;0
/consulta_campeonato/103999000;20240707;1;1;0;7;0;0;0
/consulta_espadv/200150000;20240704;1;1;0;6;0;0;0
/consulta_espadv/203000000;20240706;1;1;0;2;0;0;0
/consulta_especial/100101000;20240702;1;1;0;17;0;0;0
/consulta_especial/100102000;20240702;1;1;0;10;0;0;0
/consulta_especial/100102000;20240703;1;1;0;13;0;0;0
/consulta_especial/100102000;20240705;1;1;0;33;0;0;0
/consulta_especial/100103102;20240702;1;1;0;10;0;0;0
/consulta_especial/100103999;20240704;1;1;0;29;0;0;0
/consulta_especial/100639000;20240701;1;1;0;6;0;0;0
/consulta_especial/100639000;20240702;1;1;0;2;0;0;0
/consulta_especial/100639000;20240703;1;1;0;2;0;0;0
/consulta_especial/100999000;20240703;1;1;0;31;0;0;0
/consulta_especial/100999000;20240704;1;1;0;24;0;0;0
/consulta_especial/101382000;20240707;1;1;1;2;0;0;0
/consulta_especial/102100000;20240703;1;1;0;9;0;0;0
/consulta_especial/102100000;20240707;1;1;0;12;0;0;0
/consulta_especial_adversario;20240702;1;1;0;17;0;0;0
/consulta_especial_adversario;20240706;1;1;0;38;0;0;0
/consulta_especial_brasileiro;20240703;1;1;0;7;0;0;0
/consulta_especial_brasileiro;20240704;1;1;0;10;0;0;0
/consulta_especial_brasileiro;20240705;1;1;0;24;0;0;0
/consulta_especial_campeonato;20240701;1;1;0;4;0;0;0
/consulta_especial_campeonato;20240704;1;1;0;17;0;0;0
/consulta_especial_campeonato;20240707;1;1;0;5;0;0;0
/consulta_especial_classico;20240703;1;1;0;10;0;0;0
/consulta_especial_eliminatorio;20240704;1;1;0;3;0;0;0
/consulta_especial_eliminatorio;20240705;1;1;1;20;0;0;0
/consulta_especial_estadio;20240703;1;1;0;2;0;0;0
/consulta_especial_estadio;20240704;1;1;0;4;0;0;0
/consulta_especial_estadio;20240706;1;1;0;3;0;0;0
/consulta_especial_estadio;20240707;1;1;0;15;0;0;0
/consulta_especial_gerais;20240702;1;1;0;17;0;0;0
/consulta_especial_gerais;20240703;1;1;0;3;0;0;0
/consulta_especial_gols;20240701;1;1;0;47;0;0;0
/consulta_especial_gols;20240703;1;1;0;26;0;0;0
/consulta_especial_gols;20240704;1;1;0;40;0;0;0
/consulta_especial_jogador;20240703;1;1;0;12;0;0;0
/consulta_especial_jogos;20240702;1;1;0;10;0;0;0
/consulta_especial_jogos;20240703;1;1;0;16;0;0;0
/consulta_especial_jogos;20240704;1;1;0;30;0;0;0
/consulta_especial_resultados;20240702;1;1;0;2;0;0;0
/consulta_especial_resultados;20240703;1;1;0;14;0;0;0
/consulta_especial_sequencia;20240704;1;1;0;28;0;0;0
/consulta_especial_sequencia;20240706;1;1;0;59;0;0;0
/consulta_especial_tecadv;20240703;1;1;0;11;0;0;0
/consulta_especial_tecadv;20240707;1;1;0;8;0;0;0
/consulta_especial_tecnico;20240701;1;1;0;2;0;0;0
/consulta_especial_tecnico;20240707;1;1;0;2;0;0;0
/consulta_estadio/102451000;20240704;1;1;0;22;0;0;0
/consulta_hattrick/750000000000;20240705;1;1;0;151;0;0;0
/consulta_importante/515000000;20240705;1;1;0;1;0;0;0
/consulta_jogador/104999000;20240702;1;1;0;19;0;0;0
/consulta_jogador/104999000;20240706;1;1;0;9;0;0;0
/consulta_jogador/268103000;20240704;1;1;0;50;0;0;0
/consulta_jogador/268106000;20240702;1;1;0;13;0;0;0
/consulta_jogador/268106000;20240704;1;1;0;62;0;0;0
/consulta_jogador/571571000;20240705;1;1;0;2;0;0;0
/consulta_jogo/654000000;20240702;1;1;0;10;0;0;0
/consulta_jogo/654106000;20240702;1;1;0;4;0;0;0
/consulta_jogo/655000000;20240702;1;1;0;17;0;0;0
/consulta_jogo/655000000;20240706;1;1;0;37;0;0;0
/consulta_placar/680103000;20240706;1;1;0;6;0;0;0
/consulta_placar/689103000;20240706;1;1;0;6;0;0;0
/consulta_ranking/290100000000;20240705;1;1;0;18;0;0;0
/consulta_ranking/290206000000;20240702;1;1;0;1;0;0;0
/consulta_ranking/290206000000;20240704;1;1;0;3;0;0;0
/consulta_ranking/296306000000;20240707;1;1;0;3;0;0;0
/consulta_ranking/800103000000;20240705;1;1;0;10;0;0;0
/consulta_ranking/801106000000;20240702;1;1;0;8;0;0;0
/consulta_ranking/900100000000;20240704;1;1;0;53;0;0;0
/consulta_ranking/900103000000;20240704;1;1;0;5;0;0;0
/consulta_ranking/900126000000;20240702;1;1;0;2;0;0;0
/consulta_ranking/900126000000;20240704;1;1;0;2;0;0;0
/consulta_tecadv;20240702;1;1;0;27;0;0;0
/consulta_tecadv/113000000;20240702;1;1;0;3;0;0;0
/consulta_tecadv/113000000;20240703;1;1;0;9;0;0;0
/consulta_tecadv/113000000;20240707;1;1;0;18;0;0;0
/consulta_turno;20240704;1;1;0;19;0;0;0
/curiosidade;20240702;1;1;0;28;0;0;0
/curiosidade;20240705;1;1;0;13;0;0;0
