# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240314
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/adversario;20231231;6;2;0;1;3333333333333333;0;0
/adversario;20240101;4;4;0;26;5;0;0
/adversario;20240102;10;10;0;80;2;0;0
/adversario;20240103;3;2;0;11;0;0
/adversario;20240104;12;12;0;14;0;0
/adversario;20240105;4;4;0;19;0;0
/adversario;20240106;9;9;1;10;0;0
/adversario;20240107;12;8;0;27;916666666666668;0;0
/adversario;20240108;14;13;1;19;857142857142858;0;0
/adversario;20240109;12;10;0;21;833333333333332;0;0
/adversario;20240110;8;7;0;48;25;0;0
/adversario;20240111;17;17;0;18;11764705882353;0;0
/adversario;20240112;6;6;0;8;666666666666666;0;0
/adversario;20240113;12;9;0;33;75;0;0
/adversario;20240114;4;4;0;83;0;0
/adversario;20240115;7;7;0;31;0;0
/adversario;20240116;14;12;0;142;64285714285714;0;0
/adversario;20240117;14;13;0;104;21428571428571;0;0
/adversario;20240118;22;20;0;43;5;0;0
/adversario;20240119;10;9;0;13;6;0;0
/adversario;20240120;10;9;0;27;7;0;0
/adversario;20240121;31;28;2;52;54838709677419;0;0
/adversario;20240122;12;11;1;83;41666666666667;0;0
/adversario;20240123;6;6;0;58;833333333333336;0;0
/adversario;20240124;14;14;0;23;571428571428573;0;0
/adversario;20240125;20;19;0;22;3;0;0
/adversario;20240126;20;16;0;68;4;0;0
/adversario;20240127;5;5;0;12;6;0;0
/adversario;20240128;6;6;0;75;5;0;0
/adversario;20240129;1;1;0;68;0;0
/adversario;20240130;19;16;0;36;21052631578947;0;0
/adversario;20240131;19;14;0;47;421052631578945;0;0
/adversario;20240201;28;21;1;32;67857142857143;0;0
/adversario;20240202;26;23;1;25;76923076923077;0;0
/adversario;20240203;14;11;0;46;285714285714285;0;0
/adversario_turno;20240203;1;1;0;17;0;0
/adversario;20240204;29;21;0;49;86206896551724;0;0
/adversario;20240205;17;12;0;62;64705882352941;0;0
/adversario;20240206;22;18;0;14;363636363636363;0;0
/adversario;20240207;16;13;0;29;3125;0;0
/adversario;20240208;26;20;1;22;307692307692307;0;0
/adversario;20240209;29;21;0;31;482758620689655;0;0
/adversario;20240210;21;15;0;47;57142857142857;0;0
/adversario;20240211;11;7;0;7;818181818181818;0;0
/adversario;20240212;9;5;0;8;555555555555555;0;0
/adversario;20240213;13;8;0;35;15384615384615;0;0
/adversario;20240214;12;10;0;60;0;0
/adversario;20240215;13;13;0;20;307692307692307;0;0
/adversario;20240216;18;14;0;86;38888888888889;0;0
/adversario;20240217;16;11;0;48;3125;0;0
/adversario;20240218;7;6;0;59;285714285714285;0;0
/adversario;20240219;15;15;0;19;266666666666666;0;0
/adversario;20240220;11;10;0;87;0909090909091;0;0
/adversario;20240221;21;17;1;19;142857142857142;0;0
/adversario;20240222;20;19;0;89;15;0;0
/adversario;20240223;20;14;0;76;4;0;0
/adversario;20240224;9;8;0;38;333333333333336;0;0
/adversario;20240225;14;14;0;21;285714285714285;0;0
/adversario;20240226;10;9;0;37;1;0;0
/adversario;20240227;20;14;2;56;1;0;0
/adversario;20240228;20;19;1;30;4;0;0
/adversario;20240229;12;11;0;16;333333333333332;0;0
/adversario;20240301;27;24;1;25;62962962962963;0;0
/adversario;20240302;12;10;0;89;16666666666667;0;0
/adversario;20240303;19;17;0;42;31578947368421;0;0
/adversario;20240304;25;23;0;31;08;0;0
/adversario;20240305;5;4;0;51;0;0
/adversario;20240306;11;10;0;50;63636363636363;0;0
/adversario;20240307;7;7;0;47;142857142857146;0;0
/adversario;20240308;11;10;0;65;18181818181819;0;0
/adversario;20240309;14;12;0;28;857142857142858;0;0
/adversario;20240310;9;8;0;67;55555555555556;0;0
/adversario;20240311;4;4;0;57;0;0
/adversario;20240312;8;8;0;111;0;0
/adversario;20240313;5;5;0;47;0;0
/adversario;20240314;11;10;1;33;09090909090909;0;0
