# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240610
# Data de termino: 20240616
Titulo da pagina e nome da tela;Data e hora (AAAAMMDDHH);Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total;Taxa de eventos principais da sessao
(not set);2024061314;2;1;0;1.5;0;0;0
Adversarios;2024061011;2;2;0;21;0;0;0
Adversarios;2024061014;2;2;0;14;0;0;0
Adversarios;2024061019;2;2;0;13.5;0;0;0
Adversarios;2024061108;2;2;0;27;0;0;0
Adversarios;2024061111;2;2;0;37;0;0;0
Adversarios;2024061115;2;2;0;95;0;0;0
Adversarios;2024061117;2;2;0;85;0;0;0
Adversarios;2024061121;2;2;0;6.5;0;0;0
Adversarios;2024061210;2;2;0;20;0;0;0
Adversarios;2024061216;2;2;0;17.5;0;0;0
Adversarios;2024061316;2;2;0;15;0;0;0
Adversarios;2024061411;2;2;0;14.5;0;0;0
Adversarios;2024061414;2;2;0;8.5;0;0;0
Adversarios;2024061420;2;2;0;4.5;0;0;0
Adversarios;2024061513;2;1;0;15;0;0;0
Adversarios;2024061520;2;2;0;25.5;0;0;0
Adversarios do mesmo pais em campeonato;2024061309;2;2;0;25.5;0;0;0
Aproveitamento Tecnicos no;2024061613;2;2;1;0.5;0;0;0
Botafogo 1 X 0 Fluminense;2024061210;2;2;0;10.5;0;0;0
Brasileiro 2023 - Fernando Diniz;2024061414;2;2;0;3.5;0;0;0
Brasileiro 2024 - Alexsander 2024;2024061416;2;2;0;7.5;0;0;0
Brasileiro Serie B 1998;2024061010;2;2;1;21;0;0;0
Campeonato x Jogador;2024061413;2;2;0;17.5;0;0;0
Campeonato x Jogador;2024061414;2;2;0;7;0;0;0
Campeonato x Tecnico;2024061414;2;2;0;12;0;0;0
Campeonatos;2024061013;2;2;0;54.5;0;0;0
Campeonatos;2024061016;2;2;0;13;0;0;0
Campeonatos;2024061122;2;2;0;17.5;0;0;0
Campeonatos;2024061210;2;2;0;14;0;0;0
Campeonatos;2024061211;2;2;0;7.5;0;0;0
Campeonatos;2024061410;2;2;0;26;0;0;0
Campeonatos;2024061620;2;2;0;8;0;0;0
Copa do Brasil 2020;2024061419;2;1;0;2;0;0;0
Curiosidades e Titulos;2024061016;2;2;0;115;0;0;0
Edwin Cox 1910;2024061319;2;1;1;36.5;0;0;0
Engenhao;2024061119;2;2;0;10;0;0;0
Especiais Adversarios;2024061309;2;2;0;15;0;0;0
Especiais Adversarios;2024061313;2;2;0;38.5;0;0;0
Especiais Adversarios;2024061314;2;2;0;45;0;0;0
Especiais Adversarios;2024061316;2;2;0;18;0;0;0
Especiais Adversarios;2024061409;2;2;0;10;0;0;0
Especiais Adversarios;2024061410;2;2;0;19;0;0;0
Especiais Campeonatos;2024061107;2;2;0;5;0;0;0
Especiais Campeonatos;2024061413;2;2;0;8;0;0;0
Especiais Campeonatos;2024061414;2;2;0;533.5;0;0;0
Especiais Estadios;2024061118;2;2;0;10.5;0;0;0
Especiais Jogadores;2024061016;2;2;0;18;0;0;0
Especiais Jogadores;2024061216;2;2;0;25.5;0;0;0
Especiais Jogos;2024061216;2;2;0;7;0;0;0
Especiais Sequencias;2024061122;2;2;0;11.5;0;0;0
Estatisticas Fluminense - Principal;2024061021;2;2;0;10.5;0;0;0
Estatisticas Fluminense - Principal;2024061200;2;2;0;111;0;0;0
Estatisticas Fluminense - Principal;2024061201;2;2;2;3;0;0;0
Estatisticas Fluminense - Principal;2024061202;2;2;0;33;0;0;0
Estatisticas Fluminense - Principal;2024061206;2;2;0;43;0;0;0
Estatisticas Fluminense - Principal;2024061207;2;2;2;2;0;0;0
Estatisticas Fluminense - Principal;2024061208;2;2;1;10.5;0;0;0
Estatisticas Fluminense - Principal;2024061212;2;2;1;226.5;0;0;0
Estatisticas Fluminense - Principal;2024061215;2;2;2;4.5;0;0;0
Estatisticas Fluminense - Principal;2024061220;2;2;1;31.5;0;0;0
Estatisticas Fluminense - Principal;2024061221;2;2;1;35;0;0;0
Estatisticas Fluminense - Principal;2024061222;2;1;0;2;0;0;0
Estatisticas Fluminense - Principal;2024061308;2;2;1;12.5;0;0;0
Estatisticas Fluminense - Principal;2024061312;2;2;0;8.5;0;0;0
Estatisticas Fluminense - Principal;2024061320;2;2;1;39;0;0;0
Estatisticas Fluminense - Principal;2024061401;2;2;1;3.5;0;0;0
Estatisticas Fluminense - Principal;2024061422;2;1;0;6.5;0;0;0
Estatisticas Fluminense - Principal;2024061502;2;2;0;32.5;0;0;0
Estatisticas Fluminense - Principal;2024061503;2;2;0;21;0;0;0
Estatisticas Fluminense - Principal;2024061508;2;2;0;11;0;0;0
Estatisticas Fluminense - Principal;2024061509;2;2;2;27;0;0;0
Estatisticas Fluminense - Principal;2024061510;2;2;0;7.5;0;0;0
Estatisticas Fluminense - Principal;2024061516;2;2;0;0;0;0;0
Estatisticas Fluminense - Principal;2024061601;2;2;0;18;0;0;0
Estatisticas Fluminense - Principal;2024061611;2;1;0;10.5;0;0;0
Estatisticas Fluminense - Principal;2024061616;2;2;0;17;0;0;0
Estatisticas Fluminense - Principal;2024061622;2;2;0;36;0;0;0
Flavio Rodrigues de Souza;2024061114;2;2;0;76;0;0;0
Fluminense 1 X 0 Botafogo;2024061116;2;2;0;13;0;0;0
Fluminense 11 X 0 Riachuelo;2024061313;2;1;0;2.5;0;0;0
Fluminense 2 X 3 ABC;2024061322;2;2;2;21;0;0;0
Fluminense 2 X 3 ABC;2024061423;2;2;2;25;0;0;0
Fluminense 2 X 4 Botafogo;2024061012;2;1;0;0;0;0;0
Fluminense 7 X 2 Botafogo;2024061113;2;2;1;275;0;0;0
Fluminense ano a ano;2024061208;2;1;0;1.5;0;0;0
Fluminense x Atletico GO-GO;2024061319;2;2;0;0;0;0;0
Fluminense x Atletico GO-GO;2024061409;2;2;0;56;0;0;0
Fluminense x Atletico GO-GO;2024061413;2;2;0;13.5;0;0;0
Fluminense x Atletico GO-GO;2024061414;2;2;0;12.5;0;0;0
Fluminense x Atletico GO-GO;2024061419;2;2;0;1.5;0;0;0
Fluminense x Atletico GO-GO;2024061422;2;2;0;0;0;0;0
Fluminense x Atletico GO-GO;2024061515;2;2;0;19.5;0;0;0
Fluminense x Atletico GO-GO;2024061519;2;2;0;6.5;0;0;0
Fluminense x Atletico GO-GO;2024061600;2;2;0;0;0;0;0
Fluminense x Botafogo-RJ;2024061011;2;2;0;118;0;0;0
Fluminense x Botafogo-RJ;2024061012;2;2;0;13.5;0;0;0
Fluminense x Botafogo-RJ;2024061013;2;2;0;28.5;0;0;0
Fluminense x Botafogo-RJ;2024061017;2;2;0;7.5;0;0;0
Fluminense x Botafogo-RJ;2024061112;2;1;0;3;0;0;0
Fluminense x Botafogo-RJ;2024061115;2;2;0;56;0;0;0
Fluminense x Botafogo-RJ;2024061116;2;2;0;4.5;0;0;0
Fluminense x Botafogo-RJ;2024061121;2;2;0;0;0;0;0
Fluminense x Botafogo-RJ;2024061200;2;1;0;57.5;0;0;0
Fluminense x Botafogo-RJ;2024061207;2;1;0;22;0;0;0
