# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20240506
# Data de termino: 20240512
Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Eventos principais;Receita total
Raphael Claus;20240509;3;2;0;3.6666666666666665;0;0
Rio Cricket 1 X 4 Fluminense;20240510;3;1;0;0;0;0
Silveira 1975;20240509;3;2;0;6;0;0
Thiago Neves 2013;20240507;3;2;0;20;0;0
Thiago Silva 2008;20240509;3;3;0;44;0;0
Thiago Silva 2008;20240510;3;3;0;14.333333333333334;0;0
Todos os Jogos do Thiago Silva;20240507;3;2;0;4;0;0
Todos os jogos em campeonato;20240509;3;3;0;6;0;0
Todos os jogos no(a) Libertadores da America;20240509;3;3;0;163.66666666666666;0;0
Tecnico;20240507;3;3;0;4.333333333333333;0;0
Universidad Catolica 2 X 0 Fluminense;20240509;3;3;0;11.666666666666666;0;0
Vasco 0 X 1 Fluminense;20240509;3;2;0;54.333333333333336;0;0
Arbitros;20240506;3;3;0;46.666666666666664;0;0
Arbitros;20240507;3;3;1;23.666666666666668;0;0
Arbitros;20240511;3;3;0;6;0;0
12º Jogador - Fernando Diniz na 2ª passagem;20240510;2;2;0;28.5;0;0
30 Adversarios que mais jogamos;20240512;2;2;0;34;0;0
30 Arbitros que mais apitaram;20240510;2;2;0;9.5;0;0
Adversario x Campeonato x Estadio;20240510;2;2;0;14;0;0
Adversario x Estadio;20240510;2;2;0;32.5;0;0
Adversario x Estadio;20240511;2;1;0;66;0;0
Adversarios Chile;20240508;2;2;0;38;0;0
Adversarios Chile;20240510;2;2;0;23.5;0;0
Adversarios Internacionais;20240509;2;2;0;34;0;0
Adversarios por tempo determinado;20240512;2;1;0;11.5;0;0
Alexsander 2024;20240510;2;2;0;14.5;0;0
Ambrois 1955;20240511;2;1;0;0;0;0
America 1 X 1 Fluminense;20240508;2;1;0;11.5;0;0
Antonio Carlos 2024;20240510;2;2;0;5.5;0;0
Argentinos Juniors 1 X 1 Fluminense;20240508;2;1;0;84;0;0
Artilheiros no(a) Libertadores da America;20240508;2;1;0;0;0;0
Assis 1975;20240509;2;1;0;4.5;0;0
Assistencias do Marcelo;20240510;2;2;0;7;0;0
Athletico PR 2 X 2 Fluminense;20240506;2;1;0;13;0;0
Atis 1956;20240511;2;1;0;0;0;0
Atletico MG 2 X 1 Fluminense;20240509;2;1;0;1;0;0
Bangu 0 X 1 Fluminense;20240511;2;2;0;103;0;0
Bangu 0 X 2 Fluminense;20240508;2;1;0;99.5;0;0
Bangu 0 X 2 Fluminense;20240509;2;2;0;87;0;0
Bangu 1 X 0 Fluminense;20240509;2;1;0;6.5;0;0
Bangu 1 X 3 Fluminense;20240511;2;1;0;27.5;0;0
