# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230803
# Data de termino: 20240314
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/jogador;20240218;19;15;0;85;3157894736842;0;0
/jogador;20240219;20;17;0;164;25;0;0
/jogador;20240220;16;14;0;22;0625;0;0
/jogador;20240221;9;9;0;36;0;0
/jogador;20240222;26;19;0;99;8076923076923;0;0
/jogador;20240223;10;7;0;46;2;0;0
/jogador;20240224;10;10;0;108;1;0;0
/jogador;20240225;20;15;0;61;25;0;0
/jogador;20240226;12;10;0;101;66666666666667;0;0
/jogador;20240227;20;12;1;51;25;0;0
/jogador;20240228;8;6;0;7;0;0
/jogador;20240229;17;16;1;28;294117647058822;0;0
/jogador_batedor/672240000000;20240229;1;1;0;3;0;0
/jogador;20240301;33;26;0;21;78787878787879;0;0
/jogador;20240302;27;23;1;48;925925925925924;0;0
/jogador;20240303;18;17;1;30;055555555555557;0;0
/jogador;20240304;15;15;0;32;666666666666664;0;0
/jogador;20240305;15;12;1;31;0;0
/jogador;20240306;13;13;0;36;61538461538461;0;0
/jogador;20240307;14;12;0;18;071428571428573;0;0
/jogador;20240308;6;6;0;23;166666666666668;0;0
/jogador;20240309;15;15;0;20;533333333333335;0;0
/jogador_cartao/671240000000;20240309;1;1;0;4;0;0
/jogador;20240310;11;10;0;21;272727272727273;0;0
/jogador;20240311;17;14;0;52;0;0
/jogador_cartao/670240000000;20240311;1;1;0;1;0;0
/jogador;20240312;10;9;1;70;9;0;0
/jogador;20240313;10;8;0;50;0;0
/jogador;20240314;7;6;0;155;71428571428572;0;0
