Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios
Andre Costa 1999;20230920;1;1;0
Andre Lima 2010;20230920;1;1;0
Andre Luis 2011;20230920;1;1;0
Andre Luis 2011;20230921;1;1;0
Andre Luiz 2004;20230920;1;1;0
Andre Miquimba 1997;20230920;1;1;0
Andre Miquimba 1997;20230921;1;1;0
Andre Moritz 2007;20230920;1;1;0
Aniversariantes do dia;20230918;1;1;0
Aniversariantes do dia;20230919;1;1;0
Aniversariantes em 18 / 09;20230918;1;1;0
Aniversariantes em 19 / 09;20230918;1;1;0
Aniversariantes em 19 / 09;20230919;1;1;0
Ano 1936;20230923;1;1;0
Ano 1937;20230923;1;1;0
Ano 1938;20230923;1;1;0
Ano 1939;20230923;1;1;0
Ano 1940;20230923;1;1;0
Ano 1941;20230923;1;1;0
Ano 2003;20230922;1;1;0
Ano 2023;20230921;1;1;0
Ano a ano;20230921;1;1;0
Ano a ano;20230922;1;1;0
Ano a ano;20230923;1;1;0
Antoninho 1958;20230918;1;1;0
Antonio Garcia;20230922;1;1;1
Antonio Carlos 2015;20230920;1;1;0
Antonio Miranda;20230924;1;1;0
Aproveitamento Tecnicos;20230921;1;1;0
Aproveitamento Tecnicos no Libertadores da America;20230922;1;1;0
Aproveitamento de Tecnico em Campeonato;20230922;1;1;0
Aproveitamento Arbitros;20230922;1;1;0
Araujo 2012;20230918;1;1;0
Araujo 2012;20230921;1;1;0
Aracatuba 2 X 1 Fluminense;20230921;1;1;0
Arena Barueri;20230921;1;1;0
Argentinos Juniors 1 X 1 Fluminense;20230918;1;1;0
Argentinos Juniors 1 X 1 Fluminense;20230921;1;1;0
Argentinos Juniors 1 X 1 Fluminense;20230923;1;1;0
Arinelson 1999;20230919;1;1;1
Armindo Motta 1914;20230921;1;1;0
Arminio Motta 1913;20230918;1;1;0
Arminio Motta 1913;20230921;1;1;0
Arnaldo 1911;20230918;1;1;0
Arnaldo Cesar Coelho;20230921;1;1;0
Arnaldo Cesar Coelho;20230922;1;1;0
Arnaldo Cesar Coelho;20230923;1;1;0
Arsenal de Sarandi 1 X 2 Fluminense;20230922;1;1;0
Arthur 2023;20230923;1;1;0
Artilharia com Tecnico;20230921;1;1;0
Artilharia com Tecnico;20230922;1;1;0
Artilheiros Estrangeiros;20230918;1;1;0
Artilheiros Estrangeiros;20230923;1;1;0
Artilheiros com Fernando Diniz;20230921;1;1;0
Artilheiros com Fernando Diniz;20230922;1;1;0
Artilheiros contra Americano - Carioca - Godofredo Cruz;20230921;1;1;0
Artilheiros contra Cruzeiro;20230919;1;1;0
Artilheiros em 2009;20230921;1;1;0
Artilheiros em 2010;20230921;1;1;0
Artilheiros em 2011;20230921;1;1;0
Artilheiros em 2012;20230921;1;1;0
Artilheiros em 2013;20230921;1;1;0
Artilheiros em 2014;20230921;1;1;0
Artilheiros em 2015;20230921;1;1;0
Artilheiros em 2016;20230921;1;1;0
Artilheiros em 2017;20230921;1;1;0
Artilheiros em 2018;20230921;1;1;0
Artilheiros em 2019;20230921;1;1;0
Artilheiros em 2021;20230921;1;1;0
Artilheiros em 2022;20230921;1;1;0
Artilheiros em Campeonato;20230922;1;1;0
Artilheiros mais novos;20230918;1;1;0
Artilheiros no(a) Brasileiro 1975;20230918;1;1;0
Artilheiros no(a) Brasileiro 1976;20230918;1;1;0
Artilheiros no(a) Brasileiro 1977;20230918;1;1;0
Artilheiros no(a) Brasileiro 1978;20230918;1;1;0
Artilheiros no(a) Brasileiro 2007;20230918;1;1;0
Artilheiros no(a) Brasileiro 2008;20230918;1;1;0
Artilheiros no(a) Brasileiro 2011;20230918;1;1;0
Artilheiros no(a) Brasileiro 2012;20230918;1;1;0
Artilheiros no(a) Brasileiro 2022;20230918;1;1;0
Artilheiros no(a) Carioca 1947;20230918;1;1;0
Artilheiros no(a) Carioca 1948;20230918;1;1;0
Artilheiros no(a) Carioca 1972;20230918;1;1;0
Artilheiros no(a) Carioca 1977;20230918;1;1;0
Artilheiros no(a) Carioca 1978;20230918;1;1;0
Artilheiros no(a) Carioca 1979;20230918;1;1;0
Artilheiros no(a) Engenhao;20230918;1;1;0
Artilheiros no(a) Libertadores da America;20230919;1;1;0
Artilheiros por Adversario;20230922;1;1;0
Arturo Martino;20230921;1;1;0
Asprilla 2001;20230923;1;1;0
Assistencias;20230918;1;1;0
Assistencias;20230919;1;1;0
Assistencias;20230922;1;1;0
Assistencias do Alexsander;20230923;1;1;0
Assistencias do Eduardo;20230921;1;1;0
Assistencias do Fernando Henrique;20230924;1;1;0
Assistencias do German Cano;20230922;1;1;0
Assistencias do Isaac;20230922;1;1;0
Assistencias do Keno;20230922;1;1;0
Assistencias do Leo Fernandez;20230922;1;1;0
Assistencias do Mariano;20230918;1;1;0
Athletico PR 0 X 1 Fluminense;20230921;1;1;0
Athletico PR 1 X 0 Fluminense;20230921;1;1;0
Athletico PR 2 X 0 Fluminense;20230924;1;1;0
Athletico PR 2 X 2 Fluminense;20230918;1;1;0
Atis 1956;20230918;1;1;0
Atletic Club 0 X 4 Fluminense;20230918;1;1;0
Atletico GO 2 X 1 Fluminense;20230923;1;1;0
Atletico GO 3 X 2 Fluminense;20230921;1;1;0
Atletico MG 0 X 0 Fluminense;20230920;1;1;0
Atletico MG 1 X 0 Fluminense;20230921;1;1;0
Atletico MG 2 X 0 Fluminense;20230918;1;1;0
Atletico MG 2 X 0 Fluminense;20230921;1;1;0
Atletico MG 2 X 0 Fluminense;20230922;1;1;0
Atletico MG 2 X 1 Fluminense;20230921;1;1;0
Avai 0 X 3 Fluminense;20230921;1;1;0
Avenida da Graca;20230920;1;1;0
Bahia 1 X 0 Fluminense;20230918;1;1;0
Bahia 2 X 0 Fluminense;20230921;1;1;0
Bahia 2 X 0 Fluminense;20230924;1;1;0
Bahia 3 X 3 Fluminense;20230918;1;1;1
Bangu 0 X 0 Fluminense;20230921;1;1;0
Bangu 0 X 1 Fluminense;20230923;1;1;0
Bangu 0 X 1 Fluminense;20230924;1;1;0
Bangu 0 X 2 Fluminense;20230922;1;1;0
Bangu 0 X 2 Fluminense;20230924;1;1;0
Bangu 0 X 3 Fluminense;20230918;1;1;0
Bangu 0 X 3 Fluminense;20230919;1;0;0
Bangu 0 X 3 Fluminense;20230923;1;1;0
Bangu 0 X 4 Fluminense;20230918;1;0;0
Bangu 0 X 4 Fluminense;20230921;1;1;0
Bangu 0 X 5 Fluminense;20230921;1;1;0
Bangu 0 X 5 Fluminense;20230923;1;1;0
Bangu 1 X 0 Fluminense;20230918;1;1;0
Bangu 1 X 1 Fluminense;20230923;1;1;0
Bangu 1 X 4 Fluminense;20230921;1;1;0
Bangu 1 X 5 Fluminense;20230918;1;1;0
Bangu 1 X 5 Fluminense;20230919;1;1;0
Bangu 1 X 6 Fluminense;20230921;1;1;0
Bangu 2 X 1 Fluminense;20230921;1;1;0
Bangu 2 X 1 Fluminense;20230923;1;1;0
Bangu 2 X 10 Fluminense;20230922;1;1;0
Bangu 5 X 0 Fluminense;20230920;1;1;0
Barcelona Guaiaquil 3 X 1 Fluminense;20230918;1;1;0
Barroso 3 X 9 Fluminense;20230921;1;1;0
Basel 2 X 4 Fluminense;20230918;1;1;0
Bassu 1957;20230918;1;1;0
Batatais 1957;20230918;1;1;0
Bauru 2 X 1 Fluminense;20230920;1;1;0
Behrmann 1912;20230918;1;1;0
Beletti 2010;20230921;1;1;0
Bene 1956;20230918;1;1;0
Besiktas 2 X 1 Fluminense;20230918;1;1;0
Betinho 1999;20230921;1;1;0
Beto 2002;20230920;1;1;0
Boavista 3 X 1 Fluminense;20230918;1;1;0
Boca Juniors 1 X 0 Fluminense;20230923;1;1;0
Boca Juniors 1 X 2 Fluminense;20230922;1;1;0
Boca do Jacare;20230922;1;1;1
Bonsucesso 0 X 0 Fluminense;20230923;1;1;0
Bonsucesso 0 X 0 Fluminense;20230924;1;1;0
Bonsucesso 0 X 2 Fluminense;20230922;1;1;0
Bonsucesso 0 X 2 Fluminense;20230924;1;1;0
Bonsucesso 0 X 3 Fluminense;20230921;1;1;0
Bonsucesso 0 X 3 Fluminense;20230922;1;1;0
Bonsucesso 0 X 4 Fluminense;20230923;1;1;0
Bonsucesso 0 X 8 Fluminense;20230921;1;1;0
Bonsucesso 1 X 5 Fluminense;20230922;1;1;0
Bonsucesso 1 X 9 Fluminense;20230923;1;1;0
Bonsucesso 2 X 3 Fluminense;20230924;1;1;0
Bonsucesso 2 X 8 Fluminense;20230923;1;1;0
Bonsucesso 3 X 0 Fluminense;20230923;1;1;0
Borgerth 1911;20230918;1;1;0
Botafogo 0 X 0 Fluminense;20230923;1;1;0
Botafogo 0 X 1 Fluminense;20230921;1;1;0
Botafogo 0 X 1 Fluminense;20230922;1;1;0
Botafogo 0 X 1 Fluminense;20230924;1;1;0
Botafogo 0 X 2 Fluminense;20230919;1;1;0
Botafogo 0 X 2 Fluminense;20230922;1;1;0
Botafogo 0 X 2 Fluminense;20230924;1;1;0
Botafogo 1 X 0 Fluminense;20230918;1;1;0
Botafogo 1 X 0 Fluminense;20230921;1;1;0
Botafogo 1 X 0 Fluminense;20230923;1;1;0
Botafogo 1 X 1 Fluminense;20230921;1;1;0
Botafogo 1 X 1 Fluminense;20230922;1;1;0
Botafogo 1 X 1 Fluminense;20230923;1;1;0
Botafogo 2 X 0 Fluminense;20230923;1;1;0
Botafogo 2 X 2 Fluminense;20230924;1;1;0
Botafogo 3 X 1 Fluminense;20230918;1;1;0
Botafogo 3 X 1 Fluminense;20230919;1;1;0
Botafogo 3 X 1 Fluminense;20230920;1;1;0
Botafogo 3 X 1 Fluminense;20230923;1;1;0
Botafogo 3 X 2 Fluminense;20230921;1;1;0
Botafogo 3 X 5 Fluminense;20230921;1;1;0
Botafogo 4 X 1 Fluminense;20230923;1;1;0
Botafogo SP 1 X 1 Fluminense;20230921;1;1;1
Botafogo SP 1 X 1 Fluminense;20230922;1;1;1
Bragantino 0 X 1 Fluminense;20230921;1;1;0
Branca 1998;20230918;1;1;0
Branca 2023;20230918;1;1;0
Branco 1998;20230921;1;1;0
Brant 1941;20230924;1;1;0
Brasileiro;20230919;1;1;0
Brasileiro;20230923;1;1;0
Brasileiro - 2º Turno 2022;20230921;1;1;0
Brasileiro 1971;20230918;1;1;0
Brasileiro 1972;20230918;1;1;0
Brasileiro 1973;20230920;1;1;1
Brasileiro 1976;20230920;1;1;0
Brasileiro 1977;20230918;1;1;0
Brasileiro 1977;20230919;1;1;0
Brasileiro 1984;20230923;1;1;0
Brasileiro 1986;20230919;1;1;0
Brasileiro 2001;20230920;1;1;1
Brasileiro 2008;20230921;1;1;0
Brasileiro 2016;20230921;1;1;0
Brasileiro 2023;20230920;1;1;0
Brasileiro Serie B 1998;20230919;1;1;1
Brasileiro Serie B 1998;20230921;1;1;1
Brasileiro Serie B 1998;20230923;1;1;1
Brasileiro Serie C 1999;20230919;1;1;0
Brasileiro Serie C 1999;20230920;1;1;0
Braulio da Silva Machado;20230919;1;1;0
Braulio da Silva Machado;20230924;1;1;1
Brunel 1975;20230919;1;1;1
Bruno 2006;20230920;1;1;0
Bruno Arleu de Araujo;20230921;1;1;1
Braulio Zanotto;20230924;1;1;1
C. Robinson 1907;20230918;1;1;0
CSA 1 X 2 Fluminense;20230918;1;1;0
Cabofriense 1 X 4 Fluminense;20230924;1;1;0
Cafuringa 1977;20230918;1;1;0
Cafuringa 1977;20230919;1;1;0
Caio Martins;20230919;1;1;1
Caio Paulista 2023;20230923;1;1;0
Calegari 2023;20230923;1;1;0
Calmon 1917;20230919;1;1;0
Camanho 1951;20230920;1;1;0
Camisa;20230924;1;1;0
Camisa ano a ano;20230919;1;1;0
Camisa ano a ano;20230924;1;1;0
Camisas em 0;20230919;1;1;0
Camisas em 1902;20230923;1;1;0
Camisas em 1904;20230924;1;1;0
Camisas em 1907;20230923;1;1;0
Camisas em 1942;20230924;1;1;0
Camisas em 2006;20230923;1;1;0
Camisas em 2007;20230923;1;1;0
Camisas em 2008;20230923;1;1;0
Camisas em 2014;20230919;1;1;0
Camisas em 2023;20230919;1;1;0
Camisas por ano;20230919;1;1;0
Camisas por ano;20230923;1;1;0
Camisas x Adversario;20230919;1;1;0
Camisas x Jogador;20230923;1;1;0
Campeonato x Estadio;20230919;1;1;0
Campo Grande 2 X 0 Fluminense;20230918;1;1;0
Campos Sales;20230919;1;1;0
Canto do Rio 0 X 3 Fluminense;20230920;1;1;0
Canto do Rio 2 X 5 Fluminense;20230922;1;1;0
Canto do Rio 3 X 8 Fluminense;20230922;1;1;0
Careca 1983;20230920;1;1;0
Carioca 0 X 4 Fluminense;20230924;1;1;0
Carioca 1919;20230924;1;1;0
Carioca 1934;20230921;1;1;1
Carioca 1936;20230924;1;1;0
Carioca 1937;20230924;1;1;0
Carioca 1939;20230923;1;1;0
Carioca 1941;20230921;1;1;0
Carioca 1968;20230923;1;1;0
Carioca 1973;20230923;1;1;1
Carioca 1978;20230921;1;1;1
Carioca 1983;20230919;1;1;0
Carioca 1983;20230924;1;1;0
Carioca 1984;20230924;1;1;0
Carioca 1993;20230924;1;1;0
Carioca 1995;20230920;1;1;1
Carioca 1995;20230921;1;1;1
Carioca 1995;20230923;1;1;1
Carioca 2023;20230921;1;1;0
Carioca 2023;20230924;1;1;0
Carioca 3 X 2 Fluminense;20230924;1;1;0
Carioca Extra;20230923;1;1;0
Carl Weymar 1911;20230918;1;1;0
Carl Weymar 1911;20230923;1;1;0
Carlos Alberto 2007;20230919;1;1;0
Carlos Alberto 2007;20230923;1;1;0
Carlos Alberto Torres 1976;20230924;1;1;0
Carlos Calheiros;20230919;1;1;0
Carlos Eugenio Simon;20230922;1;1;0
Carlos Macedo 1906;20230918;1;1;0
Carlos Ramalho Trovao;20230919;1;1;1
Carreiro 1943;20230924;1;1;0
Casagrande 1974;20230923;1;1;0
Casemiro Santa Maria;20230921;1;1;0
Castilho 1965;20230921;1;1;0
Ceara 0 X 1 Fluminense;20230921;1;1;0
Ceara 1 X 0 Fluminense;20230921;1;1;0
Celso 1923;20230919;1;1;0
Celso 1923;20230921;1;1;0
Cesar Paranhos 1909;20230918;1;1;0
Chapecoense 1 X 2 Fluminense;20230921;1;1;0
Charles Miller;20230924;1;1;0
Chiquinho 1951;20230920;1;1;0
Ciel 2008;20230918;1;1;0
Clyto Portella 1906;20230918;1;1;0
Clyto Portella 1906;20230921;1;1;0
Classicos - Brasileiro 2023;20230919;1;1;0
Classicos Regionais;20230919;1;1;0
Classicos Regionais;20230921;1;1;0
Classicos em Campeonato;20230919;1;1;0
Claudio 1959;20230923;1;1;0
Claudio Pitbul 2006;20230921;1;1;0
Claudio Pitbul 2006;20230923;1;1;0
Colorado 0 X 1 Fluminense;20230924;1;1;0
Colosso do Trevo;20230921;1;1;0
Combinado Baiano 5 X 4 Fluminense;20230920;1;1;0
Conca 2015;20230920;1;1;0
Confianca 1 X 0 Fluminense;20230918;1;1;0
Conmebol;20230921;1;1;0
Conselheiro Galvao;20230922;1;1;0
Consulta Turno;20230921;1;1;0
Copa Kirim;20230919;1;1;0
Copa Sul Americana 2017;20230922;1;1;0
Copa do Brasil 2000;20230920;1;1;1
Copa do Brasil 2003;20230918;1;1;0
Corinthians 0 X 1 Fluminense;20230923;1;1;0
Corinthians 0 X 1 Fluminense;20230924;1;1;0
Corinthians 0 X 2 Fluminense;20230921;1;1;0
Corinthians 0 X 2 Fluminense;20230923;1;1;0
Corinthians 1 X 0 Fluminense;20230921;1;1;0
Corinthians 1 X 2 Fluminense;20230918;1;1;0
Corinthians 2 X 0 Fluminense;20230918;1;1;0
Corinthians 2 X 0 Fluminense;20230923;1;1;0
Corinthians 2 X 2 Fluminense;20230924;1;1;0
Corinthians 3 X 0 Fluminense;20230921;1;1;0
Corintians Presid. 2 X 0 Fluminense;20230920;1;1;0
Coritiba 0 X 2 Fluminense;20230924;1;1;0
Coritiba 1 X 0 Fluminense;20230924;1;1;0
Coritiba 2 X 0 Fluminense;20230921;1;1;0
Coritiba 2 X 0 Fluminense;20230923;1;1;0
Coritiba 3 X 2 Fluminense;20230921;1;1;0
Coroados 1 X 5 Fluminense;20230918;1;1;0
Costa Santos 1911;20230918;1;1;0
Costa Santos 1911;20230923;1;1;0
Couto 1917;20230919;1;1;0
Couto 1917;20230921;1;1;0
Criciuma 2 X 1 Fluminense;20230921;1;1;0
Cronologia dos Gols;20230921;1;1;0
Cronologia dos Gols;20230923;1;1;0
Cruickshank 1905;20230918;1;1;0
Cruzador Pelosus 1 X 3 Fluminense;20230921;1;1;0
Cruzeiro - Brasileiro - Maracana;20230918;1;1;0
Cruzeiro - Laranjeiras;20230921;1;1;0
Cruzeiro - Maracana;20230921;1;1;0
Cruzeiro 0 X 2 Fluminense;20230918;1;1;0
Cruzeiro 0 X 2 Fluminense;20230923;1;1;0
Cruzeiro 0 X 3 Fluminense;20230919;1;1;0
Cruzeiro 0 X 3 Fluminense;20230921;1;1;0
Cruzeiro 0 X 5 Fluminense;20230920;1;1;0
Cruzeiro 1 X 2 Fluminense;20230919;1;1;0
Cruzeiro 1 X 2 Fluminense;20230920;1;1;1
Cruzeiro 2 X 3 Fluminense;20230921;1;1;0
Cruzeiro 2 X 6 Fluminense;20230920;1;1;0
Cruzeiro 2 X 6 Fluminense;20230921;1;1;0
Cruzeiro 5 X 2 Fluminense;20230922;1;1;0
Cruzeiro nos turnos;20230920;1;1;0
Creditos;20230919;1;1;0
Cuiaba 0 X 1 Fluminense;20230921;1;1;0
Cuiaba 2 X 2 Fluminense;20230921;1;1;0
Curiosidades e Titulos;20230918;1;1;0
Curiosidades e Titulos;20230921;1;1;0
Curiosidades e Titulos;20230922;1;1;0
Cesar 1998;20230920;1;1;0
Cesar 1998;20230922;1;1;1
Cesar 2003;20230919;1;1;0
Cesar 2003;20230924;1;1;0
Cicero 1932;20230919;1;1;0
Cicero 1993;20230918;1;1;1
Cicero 1993;20230919;1;1;1
Cicero 1993;20230920;1;1;1
Cicero 2016;20230919;1;1;0
Cicero 2016;20230921;1;1;0
Danielzinho 2023;20230922;1;1;0
Danielzinho 2023;20230923;1;1;0
David 2008;20230921;1;1;0
David Braz 2023;20230923;1;1;0
Deportivo Galicia 1 X 3 Fluminense;20230922;1;1;0
Deportivo Italia 0 X 6 Fluminense;20230921;1;1;0
Desportiva 0 X 5 Fluminense;20230918;1;1;0
Detalhamento dos gols - Barriga;20230921;1;1;0
Detalhamento dos gols - Bicicleta;20230922;1;1;0
Detalhamento dos gols - Falta;20230922;1;1;0
Detalhamento dos gols - Normal;20230922;1;1;0
Detalhamento dos gols - Penalti;20230922;1;1;0
Detinho 1952;20230920;1;1;0
Devair 1992;20230920;1;1;0
Dewson Fernando Freitas;20230921;1;1;0
Didi 1956;20230923;1;1;0
Didi 1973;20230921;1;1;0
Diego Cavalieri 2017;20230918;1;1;0
Diego Souza 2016;20230921;1;1;0
Diogo Barbosa 2023;20230920;1;1;0
Distribuicao de Gols;20230918;1;1;0
Distribuicao de Gols;20230922;1;1;0
Djair 2003;20230920;1;1;0
Dodo 2008;20230918;1;1;0
Dona Castorina;20230924;1;1;0
Dukla 1 X 4 Fluminense;20230924;1;1;0
Duque 1956;20230918;1;1;0
Edinho 1989;20230918;1;1;0
Edson Borracha 1966;20230920;1;0;0
Eduardo 2016;20230921;1;1;0
Egidio 2021;20230921;1;1;0
Elenco de jogadores em 2019;20230923;1;1;0
Elenco de jogadores em 2020;20230923;1;1;0
Elenco de jogadores em 2021;20230920;1;1;0
Elenco de jogadores em 2021;20230921;1;1;0
Elenco de jogadores em 2022;20230921;1;1;0
Elenco de jogadores em 2023;20230921;1;1;0
Elenco de jogadores em 2023;20230922;1;1;0
Elenco de jogadores em 2023;20230923;1;1;0
Elenco por em Ano;20230921;1;1;0
Elenco por em Ano;20230922;1;1;0
Elfsborg/horrby 2 X 4 Fluminense;20230920;1;1;0
Elvecio Zequetto;20230921;1;1;0
Emilson 1955;20230918;1;1;0
Emidio Marques Mesquita;20230923;1;1;0
Encouracado M Gerais 0 X 7 Fluminense;20230923;1;1;0
Engenhao;20230918;1;1;0
Eppingen 2 X 2 Fluminense;20230924;1;1;0
Equi Gonzales 2010;20230921;1;1;0
Ernesto 1939;20230920;1;1;0
Especiais Adversarios;20230923;1;1;0
Especiais Brasileirao;20230920;1;1;0
Especiais Brasileirao;20230921;1;1;0
Especiais Campeonatos;20230918;1;1;0
Especiais Campeonatos;20230919;1;1;0
Especiais Campeonatos;20230920;1;1;0
Especiais Campeonatos;20230924;1;1;0
Especiais Classicos;20230918;1;1;0
Especiais Classicos;20230919;1;1;0
Especiais Classicos;20230921;1;1;0
Especiais Estadios;20230918;1;1;0
Especiais Gerais;20230922;1;1;0
Especiais Jogos;20230918;1;1;0
Especiais Jogos;20230919;1;1;0
Especiais Jogos;20230922;1;1;0
Especiais Jogos;20230924;1;1;0
Especiais Numeracao Fixa;20230921;1;1;0
Especiais Resultados;20230924;1;1;0
Especiais Sequencias;20230923;1;1;0
Especiais Substituicoes;20230918;1;1;0
Especiais Substituicoes;20230919;1;1;0
Especiais Tecnico;20230922;1;1;0
Especiais Arbitros;20230918;1;1;0
Especiais Arbitros;20230921;1;1;0
Especiais Arbitros;20230922;1;1;0
Especiais Arbitros;20230924;1;1;0
Esquerdinha 2005;20230921;1;1;0
Esquerdinha 2023;20230923;1;1;0
Estatisticas Gerais por data;20230921;1;1;0
Estatisticas Gerais por data;20230923;1;1;0
Esteban Ostojich;20230923;1;1;0
Estrangeiros com mais jogos;20230918;1;1;0
Estrangeiros com mais jogos;20230922;1;1;0
Estadio por tempo determinado;20230921;1;1;0
Estadio x Campeonato;20230920;1;1;0
Estadios;20230922;1;1;0
Estadios;20230924;1;1;0
Etelvino Rodrigues;20230922;1;1;0
Eunapio de Queiros;20230918;1;1;0
Eurico de Moraes 1904;20230922;1;1;0
Evando 2006;20230921;1;1;0
Evolucao de Adversario;20230918;1;1;0
Fabiano Goncalves;20230921;1;1;0
Fabinho 2002;20230919;1;1;0
Fabio 1992;20230920;1;1;0
Fanta 1983;20230920;1;1;0
Felipe 2013;20230921;1;1;0
Felipe Andrade 2023;20230923;1;1;0
Felipe Garcia 2014 - Gols sofridos por Estadio;20230922;1;1;0
Felippe Cardoso 2021;20230919;1;1;0
Fenerbache 0 X 1 Fluminense;20230918;1;1;0
Fernando Diniz - Beira Rio;20230922;1;1;0
Fernando Diniz - Eduardo Souza;20230922;1;1;0
Fernando Diniz - Maracana;20230921;1;1;0
Fernando Diniz 2003;20230919;1;1;0
Fernando Diniz 2003;20230921;1;1;0
Fernando Henrique 2010;20230924;1;1;0
Fernando Henrique 2010 - Gols sofridos por Estadio;20230922;1;1;0
Feyenoord 0 X 2 Fluminense;20230924;1;1;0
Figueirense 2 X 2 Fluminense;20230924;1;1;0
Filhos de Iguassu 0 X 4 Fluminense;20230923;1;1;0
Fiorentina 1 X 3 Fluminense;20230918;1;1;0
Flamengo 0 X 0 Fluminense;20230923;1;1;0
Flamengo 0 X 1 Fluminense;20230918;1;1;0
Flamengo 0 X 1 Fluminense;20230921;1;1;0
Flamengo 0 X 2 Fluminense;20230919;1;1;0
Flamengo 0 X 2 Fluminense;20230924;1;1;1
Flamengo 0 X 3 Fluminense;20230921;1;1;0
Flamengo 1 X 0 Fluminense;20230924;1;1;0
Flamengo 1 X 1 Fluminense;20230918;1;1;0
Flamengo 1 X 1 Fluminense;20230922;1;1;0
Flamengo 1 X 1 Fluminense;20230923;1;1;0
Flamengo 1 X 1 Fluminense;20230924;1;1;0
Flamengo 1 X 2 Fluminense;20230921;1;1;0
Flamengo 1 X 3 Fluminense;20230924;1;1;0
Flamengo 2 X 0 Fluminense;20230921;1;1;0
Flamengo 2 X 0 Fluminense;20230922;1;1;0
Flamengo 2 X 0 Fluminense;20230923;1;1;0
Flamengo 2 X 0 Fluminense;20230924;1;1;0
Flamengo 2 X 1 Fluminense;20230918;1;1;0
Flamengo 2 X 1 Fluminense;20230919;1;1;0
Flamengo 2 X 1 Fluminense;20230923;1;1;0
Flamengo 2 X 1 Fluminense;20230924;1;1;0
Flamengo 2 X 2 Fluminense;20230921;1;1;0
Flamengo 2 X 3 Fluminense;20230918;1;1;0
Flamengo 3 X 0 Fluminense;20230924;1;1;0
Flamengo 4 X 2 Fluminense;20230923;1;1;0
Flamengo 5 X 2 Fluminense;20230920;1;1;0
Flamengo 5 X 2 Fluminense;20230921;1;1;0
Flavio Rodrigues de Souza;20230919;1;1;0
Fluminense 0 X 0 America;20230918;1;1;0
Fluminense 0 X 0 America MG;20230918;1;1;0
Fluminense 0 X 0 Atletico GO;20230921;1;1;0
Fluminense 0 X 0 Atletico MG;20230924;1;1;0
Fluminense 0 X 0 Bangu;20230921;1;1;0
Fluminense 0 X 0 Bangu;20230924;1;1;0
Fluminense 0 X 0 Botafogo;20230918;1;1;0
Fluminense 0 X 0 Bragantino;20230920;1;1;1
Fluminense 0 X 0 CRB;20230920;1;1;1
Fluminense 0 X 0 CRB;20230923;1;1;1
Fluminense 0 X 0 Ceara;20230924;1;1;0
Fluminense 0 X 0 Flamengo;20230918;1;1;0
Fluminense 0 X 0 Flamengo;20230921;1;1;0
Fluminense 0 X 0 Flamengo;20230923;1;1;0
Fluminense 0 X 0 Internacional;20230923;1;1;0
Fluminense 0 X 0 Olaria;20230921;1;1;0
Fluminense 0 X 0 Olaria;20230923;1;1;0
Fluminense 0 X 0 Santos;20230921;1;1;0
Fluminense 0 X 0 Sport;20230924;1;1;0
Fluminense 0 X 0 Sao Cristovao;20230921;1;1;0
Fluminense 0 X 0 Sao Cristovao;20230922;1;1;0
Fluminense 0 X 0 Sao Cristovao;20230923;1;1;0
Fluminense 0 X 0 Sao Cristovao;20230924;1;1;0
Fluminense 0 X 0 Union Santa Fe;20230921;1;1;0
Fluminense 0 X 0 Vasco;20230918;1;1;0
Fluminense 0 X 0 Vasco;20230924;1;1;0
Fluminense 0 X 1 America;20230919;1;1;0
Fluminense 0 X 1 America;20230921;1;1;0
Fluminense 0 X 1 Athletico PR;20230922;1;1;0
Fluminense 0 X 1 Athletico PR;20230924;1;1;0
Fluminense 0 X 1 Bangu;20230921;1;1;0
Fluminense 0 X 1 Bangu;20230923;1;1;0
Fluminense 0 X 1 Carioca;20230924;1;1;0
Fluminense 0 X 1 Flamengo;20230919;1;1;0
Fluminense 0 X 1 Flamengo;20230920;1;1;0
Fluminense 0 X 1 Flamengo;20230923;1;1;0
Fluminense 0 X 1 Internacional;20230919;1;1;0
Fluminense 0 X 1 Internacional;20230921;1;1;0
Fluminense 0 X 1 Sao Paulo;20230923;1;1;0
Fluminense 0 X 1 Vasco;20230918;1;1;0
Fluminense 0 X 2 America MG;20230921;1;1;0
Fluminense 0 X 2 Athletico PR;20230924;1;1;0
Fluminense 0 X 2 Atletico GO;20230921;1;1;0
Fluminense 0 X 2 Bangu;20230923;1;1;0
Fluminense 0 X 2 Fortaleza;20230921;1;1;0
Fluminense 0 X 2 Internacional;20230919;1;1;0
Fluminense 0 X 3 Botafogo;20230921;1;1;0
Fluminense 0 X 3 Gremio;20230920;1;1;0
Fluminense 0 X 3 Palmeiras;20230922;1;1;0
Fluminense 0 X 3 Paulistano;20230922;1;1;0
Fluminense 0 X 3 Sao Cristovao;20230921;1;1;0
Fluminense 0 X 3 Volta Redonda;20230918;1;1;0
Fluminense 1 X 0 America MG;20230921;1;1;0
Fluminense 1 X 0 America MG;20230924;1;1;0
Fluminense 1 X 0 Atlanta;20230921;1;1;0
Fluminense 1 X 0 Atletico MG;20230924;1;1;0
Fluminense 1 X 0 Audax;20230921;1;1;0
Fluminense 1 X 0 Bahia;20230918;1;1;0
Fluminense 1 X 0 Bahia;20230920;1;1;0
