Titulo da pagina e nome da tela;Data;Sessoes;Usuarios;Novos usuarios
Botafogo 2 X 2 Fluminense;20230921;4;2;0
Camisa;20230923;4;4;0
Campeonatos;20230919;4;4;0
Campeonatos;20230922;4;4;0
Campeonatos;20230923;4;4;0
Costa Santos 1911;20230922;4;3;0
Dario Herrera;20230923;4;2;0
Especiais Adversarios;20230918;4;4;0
Especiais Estadios;20230921;4;4;0
Especiais Gerais;20230920;4;4;0
Especiais Jogadores;20230920;4;4;0
Fluminense 1 X 0 Cruzeiro;20230923;4;4;0
Fluminense 1 X 0 Fortaleza;20230923;4;4;0
Fluminense 2 X 3 ABC;20230922;4;4;4
Fluminense 4 X 1 Flamengo;20230924;4;1;0
Fluminense x Botafogo-RJ;20230918;4;4;0
Fabio 2023;20230923;4;3;0
Informacoes Gerais;20230922;4;4;0
Keno 2023;20230920;4;3;0
Mais jogos no elenco atual;20230921;4;4;0
Ranking de gols por tipo;20230923;4;4;0
Arbitros;20230923;4;4;0
(not set);20230921;3;3;0
Alexsander 2023;20230923;3;2;0
Andre 2023;20230920;3;2;0
Andre 2023;20230923;3;3;0
Athletico PR 2 X 2 Fluminense;20230921;3;2;0
Botafogo 2 X 2 Fluminense;20230923;3;1;0
Campeonatos;20230921;3;3;0
Conca 2015;20230921;3;2;0
Cruzeiro 0 X 2 Fluminense;20230921;3;2;0
Curiosidades e Titulos;20230919;3;3;0
Curiosidades e Titulos;20230923;3;3;0
Especiais Adversarios;20230920;3;3;0
Especiais Adversarios;20230922;3;3;0
Especiais Adversarios;20230924;3;3;0
Especiais Jogadores;20230924;3;3;0
Especiais Resultados;20230920;3;2;0
Especiais Resultados;20230921;3;3;0
Especiais Sequencias;20230920;3;2;0
Estadios;20230921;3;3;0
Felipe Melo 2023;20230923;3;2;0
Fluminense 1 X 1 Flamengo;20230921;3;3;0
Fluminense 2 X 1 Germania;20230918;3;3;0
Fluminense 2 X 1 Internacional;20230922;3;3;0
Fluminense 2 X 1 Vitoria BA;20230919;3;0;0
Fluminense 2 X 3 ABC;20230918;3;3;2
Fluminense 2 X 3 ABC;20230921;3;3;3
Fluminense 3 X 0 A. A. Palmeiras;20230920;3;3;0
Fluminense 4 X 1 Flamengo;20230918;3;1;0
Fluminense 5 X 1 Cruzeiro;20230919;3;1;0
Fluminense 5 X 2 Coritiba;20230921;3;3;0
Fluminense 9 X 0 Bangu;20230924;3;3;0
Fluminense x A. A. Internacional-RJ;20230919;3;3;0
Fluminense x Atletico MG-MG;20230919;3;3;0
Fluminense x Botafogo-RJ;20230919;3;3;0
Fluminense x Brighton-Inglaterra;20230924;3;2;1
Fluminense x Corinthians-SP;20230918;3;3;0
Fluminense x Corinthians-SP;20230921;3;3;0
Fluminense x Cruzeiro-MG;20230922;3;3;0
Fluminense x Flamengo-RJ;20230918;3;3;0
Fluminense x Flamengo-RJ;20230921;3;3;0
Fluminense x Gremio-RS;20230919;3;3;0
Fluminense x Gremio-RS;20230921;3;3;0
Fluminense x Palmeiras-SP;20230920;3;3;0
Fluminense x Sao Cristovao-RJ;20230921;3;2;1
Fluminense x Universidad de Quito-Equador;20230922;3;1;0
Fluminense x Vasco-RJ;20230918;3;3;0
Fabio 2023;20230922;3;2;0
German Cano 2023;20230923;3;3;0
Goleiros com mais jogos;20230921;3;3;0
Gols do Nene;20230921;3;2;0
