Data;Visualizações;Usuários;Novos Usuarios;Endereço;Página;Código
14/08/2023;8;7;0;tecnico;tecnico;#N/D
16/08/2023;7;7;0;adversario;adversario;#N/D
13/08/2023;7;7;1;arbitro;arbitro;#N/D
10/08/2023;7;7;1;campeonato;campeonato;#N/D
12/08/2023;7;4;0;campeonato;campeonato;#N/D
03/08/2023;7;4;0;consulta_especial_adversario;consulta_especial_adversario;#N/D
06/08/2023;7;5;0;consulta_especial_adversario;consulta_especial_adversario;#N/D
09/08/2023;7;7;0;consulta_especial_adversario;consulta_especial_adversario;#N/D
14/08/2023;7;4;0;consulta_especial_brasileiro;consulta_especial_brasileiro;#N/D
07/08/2023;7;5;0;consulta_especial_estadio;consulta_especial_estadio;#N/D
05/08/2023;7;7;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
11/08/2023;7;7;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
12/08/2023;7;5;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
15/08/2023;7;6;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
18/08/2023;7;6;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
10/08/2023;7;3;0;consulta_especial_sequencia;consulta_especial_sequencia;#N/D
09/08/2023;7;5;0;estadio;estadio;#N/D
10/08/2023;7;7;0;geral;geral;#N/D
12/08/2023;7;6;0;jogo;jogo;#N/D
15/08/2023;7;6;5;link_jogo/2934;link_jogo;2934
09/08/2023;7;7;7;link_jogo/7137;link_jogo;7137
09/08/2023;7;7;0;link_jogo/8726;link_jogo;8726
15/08/2023;7;6;0;mostra_adversario;mostra_adversario;#N/D
13/08/2023;7;6;0;mostra_arbitro;mostra_arbitro;#N/D
03/08/2023;7;7;0;mostra_campeonato;mostra_campeonato;#N/D
11/08/2023;7;6;0;mostra_campeonato;mostra_campeonato;#N/D
12/08/2023;7;4;0;mostra_campeonato;mostra_campeonato;#N/D
11/08/2023;7;4;0;mostra_especial_jogo;mostra_especial_jogo;#N/D
08/08/2023;7;6;0;mostra_jogo;mostra_jogo;#N/D
03/08/2023;7;7;1;tecnico;tecnico;#N/D
13/08/2023;7;6;0;tecnico;tecnico;#N/D
10/08/2023;6;6;0;arbitro;arbitro;#N/D
13/08/2023;6;5;0;camisa;camisa;#N/D
14/08/2023;6;5;0;camisa;camisa;#N/D
11/08/2023;6;6;0;campeonato;campeonato;#N/D
15/08/2023;6;5;0;campeonato;campeonato;#N/D
17/08/2023;6;4;0;campeonato;campeonato;#N/D
06/08/2023;6;4;0;consulta_especial/100999000;consulta_especial;100999000
03/08/2023;6;4;2;consulta_especial_gerais;consulta_especial_gerais;#N/D
05/08/2023;6;5;0;consulta_especial_jogos;consulta_especial_jogos;#N/D
04/08/2023;6;6;0;curiosidade;curiosidade;#N/D
07/08/2023;6;6;0;curiosidade;curiosidade;#N/D
09/08/2023;6;6;0;curiosidade;curiosidade;#N/D
11/08/2023;6;6;0;link_adversario/741;link_adversario;741
04/08/2023;6;4;4;link_jogo/3574;link_jogo;3574
08/08/2023;6;5;0;link_jogo/8726;link_jogo;8726
06/08/2023;6;5;0;mostra_campeonato;mostra_campeonato;#N/D
08/08/2023;6;6;0;mostra_campeonato;mostra_campeonato;#N/D
10/08/2023;6;6;0;mostra_campeonato;mostra_campeonato;#N/D
03/08/2023;6;2;0;mostra_especial/;mostra_especial;
06/08/2023;6;2;0;mostra_especial/;mostra_especial;
09/08/2023;6;5;0;mostra_especial/;mostra_especial;
09/08/2023;6;5;0;mostra_estadio;mostra_estadio;#N/D
09/08/2023;6;4;0;mostra_rkg/;mostra_rkg;
10/08/2023;6;6;0;mostra_rkg/;mostra_rkg;
13/08/2023;6;5;0;mostra_tecnico;mostra_tecnico;#N/D
04/08/2023;5;5;0;campeonato;campeonato;#N/D
13/08/2023;5;4;0;campeonato;campeonato;#N/D
10/08/2023;5;4;0;consulta_especial/104103000;consulta_especial;104103000
07/08/2023;5;5;0;consulta_especial_adversario;consulta_especial_adversario;#N/D
13/08/2023;5;3;0;consulta_especial_adversario;consulta_especial_adversario;#N/D
15/08/2023;5;4;0;consulta_especial_adversario;consulta_especial_adversario;#N/D
07/08/2023;5;5;0;consulta_especial_campeonato;consulta_especial_campeonato;#N/D
08/08/2023;5;5;0;consulta_especial_campeonato;consulta_especial_campeonato;#N/D
09/08/2023;5;4;0;consulta_especial_campeonato;consulta_especial_campeonato;#N/D
14/08/2023;5;4;0;consulta_especial_campeonato;consulta_especial_campeonato;#N/D
06/08/2023;5;5;0;consulta_especial_estadio;consulta_especial_estadio;#N/D
09/08/2023;5;5;0;consulta_especial_estadio;consulta_especial_estadio;#N/D
09/08/2023;5;5;0;consulta_especial_gerais;consulta_especial_gerais;#N/D
13/08/2023;5;3;0;consulta_especial_gerais;consulta_especial_gerais;#N/D
03/08/2023;5;5;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
04/08/2023;5;5;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
16/08/2023;5;4;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
17/08/2023;5;5;0;consulta_especial_jogador;consulta_especial_jogador;#N/D
08/08/2023;5;3;0;consulta_especial_jogos;consulta_especial_jogos;#N/D
09/08/2023;5;5;0;consulta_especial_jogos;consulta_especial_jogos;#N/D
14/08/2023;5;3;0;consulta_especial_jogos;consulta_especial_jogos;#N/D
15/08/2023;5;5;0;curiosidade;curiosidade;#N/D
13/08/2023;5;5;0;estadio;estadio;#N/D
16/08/2023;5;5;0;estadio;estadio;#N/D
09/08/2023;5;4;0;estadio_todos;estadio_todos;#N/D
03/08/2023;5;5;0;geral;geral;#N/D
05/08/2023;5;4;0;geral;geral;#N/D
07/08/2023;5;5;0;geral;geral;#N/D
03/08/2023;5;5;0;grafico;grafico;#N/D
09/08/2023;5;5;0;grafico;grafico;#N/D
08/08/2023;5;5;0;link_adversario/432;link_adversario;432
13/08/2023;5;3;0;link_camisa/112;link_camisa;112
14/08/2023;5;1;0;link_camisa/112;link_camisa;112
16/08/2023;5;5;5;link_jogador/507;link_jogador;507
13/08/2023;5;4;3;link_jogador/628;link_jogador;628
06/08/2023;5;4;4;link_jogo/2934;link_jogo;2934
10/08/2023;5;5;4;link_jogo/4990;link_jogo;4990
16/08/2023;5;5;5;link_jogo/4990;link_jogo;4990
07/08/2023;5;5;2;link_jogo/7137;link_jogo;7137
04/08/2023;5;2;2;link_jogo/7328;link_jogo;7328
12/08/2023;5;3;0;link_jogo/8259;link_jogo;8259
13/08/2023;5;4;0;link_jogo/8721;link_jogo;8721
16/08/2023;5;5;0;mostra_adversario;mostra_adversario;#N/D
08/08/2023;5;2;0;mostra_arbitro;mostra_arbitro;#N/D
10/08/2023;5;5;0;mostra_arbitro;mostra_arbitro;#N/D
04/08/2023;5;5;0;mostra_campeonato;mostra_campeonato;#N/D
15/08/2023;5;4;0;mostra_campeonato;mostra_campeonato;#N/D
17/08/2023;5;3;0;mostra_campeonato;mostra_campeonato;#N/D
07/08/2023;5;4;0;mostra_especial/;mostra_especial;
15/08/2023;5;4;0;mostra_especial/;mostra_especial;
12/08/2023;5;2;0;mostra_especial_jogo;mostra_especial_jogo;#N/D
14/08/2023;5;3;0;mostra_especial_jogo;mostra_especial_jogo;#N/D
13/08/2023;5;5;0;mostra_estadio;mostra_estadio;#N/D
16/08/2023;5;5;0;mostra_estadio;mostra_estadio;#N/D
06/08/2023;5;5;0;mostra_ranking/801000000000;mostra_ranking;8,01E+11
08/08/2023;5;4;0;mostra_ranking/801000000000;mostra_ranking;8,01E+11
09/08/2023;5;3;0;mostra_ranking/801000000000;mostra_ranking;8,01E+11
11/08/2023;5;5;0;mostra_rkg/;mostra_rkg;
14/08/2023;5;3;0;mostra_rkg/;mostra_rkg;
16/08/2023;5;4;0;mostra_rkg/;mostra_rkg;
14/08/2023;5;5;0;mostra_tecnico;mostra_tecnico;#N/D
06/08/2023;5;4;0;mostra_todos;mostra_todos;#N/D
11/08/2023;5;4;0;proximos_jogos;proximos_jogos;#N/D
14/08/2023;5;3;0;ranking_turno;ranking_turno;#N/D
04/08/2023;4;3;0;arbitro;arbitro;#N/D
07/08/2023;4;4;0;arbitro;arbitro;#N/D
08/08/2023;4;3;1;arbitro;arbitro;#N/D
16/08/2023;4;3;0;campeonato;campeonato;#N/D
07/08/2023;4;4;0;consulta_campeonato/103999000;consulta_campeonato;103999000
09/08/2023;4;3;0;consulta_campeonato/103999000;consulta_campeonato;103999000
06/08/2023;4;2;0;consulta_especial/100103000;consulta_especial;100103000
04/08/2023;4;4;0;consulta_especial_adversario;consulta_especial_adversario;#N/D
08/08/2023;4;4;0;consulta_especial_adversario;consulta_especial_adversario;#N/D
03/08/2023;4;3;0;consulta_especial_campeonato;consulta_especial_campeonato;#N/D
