Regiao;Data;Usuario;Primeira Visita;Total;Usuarios;DT
Bahia;20230808;1;1;2;2;2023-08-08
Bahia;20230810;1;3;4;4;2023-08-10
Bahia;20230811;1;1;2;2;2023-08-11
Bahia;20230817;1;1;2;2;2023-08-17
Bahia;20230818;1;0;1;1;2023-08-18
Bahia;20230819;1;3;4;4;2023-08-19
Bahia;20230822;1;2;3;3;2023-08-22
Bahia;20230823;1;2;3;3;2023-08-23
Bahia;20230824;1;2;3;3;2023-08-24
Bahia;20230825;1;0;1;1;2023-08-25
Bahia;20230826;1;1;2;2;2023-08-26
Bahia;20230828;1;1;2;2;2023-08-28
Bahia;20230831;1;0;2;1;2023-08-31
Bahia;20230901;1;0;1;1;2023-09-01
Bahia;20230909;1;1;2;2;2023-09-09
Bahia;20230910;1;0;1;1;2023-09-10
Bahia;20230911;1;0;1;1;2023-09-11
Bahia;20230912;1;1;2;2;2023-09-12
Bahia;20230913;1;2;3;3;2023-09-13
Ceara;20230803;1;2;2;2;2023-08-03
Ceara;20230805;1;3;4;4;2023-08-05
Ceara;20230807;1;0;1;1;2023-08-07
Ceara;20230808;1;1;2;2;2023-08-08
Ceara;20230809;1;1;2;2;2023-08-09
Ceara;20230814;1;0;1;1;2023-08-14
Ceara;20230815;1;0;3;1;2023-08-15
Ceara;20230816;1;1;2;2;2023-08-16
Ceara;20230819;1;0;1;1;2023-08-19
Ceara;20230824;1;0;1;1;2023-08-24
Ceara;20230828;1;2;3;3;2023-08-28
Ceara;20230831;1;3;4;4;2023-08-31
Ceara;20230901;1;1;2;2;2023-09-01
Ceara;20230902;1;1;2;2;2023-09-02
Ceara;20230905;1;1;2;2;2023-09-05
Ceara;20230906;1;0;1;1;2023-09-06
Ceara;20230907;1;2;4;4;2023-09-07
Ceara;20230910;1;1;2;2;2023-09-10
Ceara;20230915;1;0;1;1;2023-09-15
Espirito Santo;20230806;1;0;1;1;2023-08-06
Espirito Santo;20230807;1;1;2;2;2023-08-07
Espirito Santo;20230811;1;1;2;2;2023-08-11
Espirito Santo;20230812;1;0;1;1;2023-08-12
Espirito Santo;20230813;1;0;1;1;2023-08-13
Espirito Santo;20230817;1;0;1;1;2023-08-17
Espirito Santo;20230821;1;1;2;2;2023-08-21
Espirito Santo;20230823;1;1;2;2;2023-08-23
Espirito Santo;20230826;1;3;4;4;2023-08-26
Espirito Santo;20230827;1;1;2;2;2023-08-27
Espirito Santo;20230829;1;0;1;1;2023-08-29
Espirito Santo;20230830;1;1;2;2;2023-08-30
Espirito Santo;20230831;1;2;3;3;2023-08-31
Espirito Santo;20230902;1;1;2;2;2023-09-02
Espirito Santo;20230904;1;1;2;2;2023-09-04
Espirito Santo;20230905;1;0;1;1;2023-09-05
Espirito Santo;20230915;1;3;3;3;2023-09-15
Espirito Santo;20230916;1;4;5;5;2023-09-16
Espirito Santo;20230917;1;0;2;1;2023-09-17
Goias;20230804;1;2;3;3;2023-08-04
Goias;20230810;1;0;1;1;2023-08-10
Goias;20230811;1;1;2;2;2023-08-11
Goias;20230813;1;0;1;1;2023-08-13
