Cidade;Data;Usuarios;Novos usuarios;Total;DT
Brasilia;20230803;2;2;4;2023-08-03
Brasilia;20230812;2;0;2;2023-08-12
Brasilia;20230909;2;1;3;2023-09-09
Brasilia;20230910;2;0;2;2023-09-10
Brasilia;20230913;2;1;3;2023-09-13
Cabo Frio;20230825;2;2;4;2023-08-25
Cabo Frio;20230903;2;1;3;2023-09-03
Campinas;20230812;2;2;4;2023-08-12
Campinas;20230905;2;1;3;2023-09-05
Campo Grande;20230908;2;0;2;2023-09-08
Campo Grande;20230916;2;1;3;2023-09-16
Campos dos Goytacazes;20230803;2;2;4;2023-08-03
Columbus;20230824;2;2;4;2023-08-24
Cuiaba;20230824;2;2;4;2023-08-24
Curitiba;20230803;2;2;4;2023-08-03
Curitiba;20230807;2;1;3;2023-08-07
Curitiba;20230812;2;2;4;2023-08-12
Curitiba;20230816;2;2;4;2023-08-16
Curitiba;20230827;2;1;3;2023-08-27
Curitiba;20230902;2;1;3;2023-09-02
Curitiba;20230905;2;1;3;2023-09-05
Curitiba;20230912;2;2;4;2023-09-12
Duque de Caxias;20230805;2;1;3;2023-08-05
Duque de Caxias;20230821;2;2;4;2023-08-21
Duque de Caxias;20230830;2;2;4;2023-08-30
Duque de Caxias;20230906;2;1;3;2023-09-06
Feira de Santana;20230803;2;2;4;2023-08-03
Feira de Santana;20230813;2;2;4;2023-08-13
Florianopolis;20230804;2;2;4;2023-08-04
Florianopolis;20230810;2;2;4;2023-08-10
Fortaleza;20230803;2;2;4;2023-08-03
Fortaleza;20230806;2;0;2;2023-08-06
Fortaleza;20230809;2;1;3;2023-08-09
Fortaleza;20230812;2;1;3;2023-08-12
Fortaleza;20230816;2;1;3;2023-08-16
Fortaleza;20230817;2;2;4;2023-08-17
Fortaleza;20230828;2;1;3;2023-08-28
Fortaleza;20230901;2;1;3;2023-09-01
Fortaleza;20230902;2;1;3;2023-09-02
Fortaleza;20230907;2;1;3;2023-09-07
Fortaleza;20230910;2;1;3;2023-09-10
Fortaleza;20230916;2;0;2;2023-09-16
Goiania;20230803;2;2;4;2023-08-03
Goiania;20230804;2;1;3;2023-08-04
Goiania;20230811;2;1;3;2023-08-11
Goiania;20230901;2;1;3;2023-09-01
Goiania;20230904;2;1;3;2023-09-04
Goiania;20230917;2;2;4;2023-09-17
Guarapari;20230815;2;0;2;2023-08-15
Guarapari;20230903;2;2;4;2023-09-03
Ilhabela;20230826;2;1;3;2023-08-26
Itabuna;20230821;2;2;4;2023-08-21
Itauna;20230805;2;0;2;2023-08-05
Joao Pessoa;20230804;2;2;4;2023-08-04
Joao Pessoa;20230816;2;2;4;2023-08-16
Joao Pessoa;20230825;2;0;2;2023-08-25
Joao Pessoa;20230830;2;1;3;2023-08-30
Juiz de Fora;20230817;2;0;2;2023-08-17
Juiz de Fora;20230823;2;1;3;2023-08-23
Juiz de Fora;20230825;2;0;2;2023-08-25
Juiz de Fora;20230829;2;0;2;2023-08-29
Juiz de Fora;20230830;2;0;2;2023-08-30
Juiz de Fora;20230901;2;0;2;2023-09-01
Juiz de Fora;20230903;2;0;2;2023-09-03
Juiz de Fora;20230904;2;0;2;2023-09-04
Juiz de Fora;20230911;2;0;2;2023-09-11
Juiz de Fora;20230914;2;1;3;2023-09-14
Macae;20230814;2;2;4;2023-08-14
Macae;20230819;2;1;3;2023-08-19
Maceio;20230821;2;1;3;2023-08-21
Maceio;20230902;2;0;2;2023-09-02
Maceio;20230903;2;1;3;2023-09-03
Maceio;20230911;2;1;3;2023-09-11
Mage;20230915;2;2;4;2023-09-15
Manaus;20230806;2;2;4;2023-08-06
Manaus;20230808;2;2;4;2023-08-08
Manaus;20230811;2;2;4;2023-08-11
Manaus;20230823;2;1;3;2023-08-23
Manaus;20230904;2;0;2;2023-09-04
Manaus;20230906;2;1;3;2023-09-06
Manaus;20230913;2;0;2;2023-09-13
Manaus;20230914;2;1;3;2023-09-14
Manaus;20230918;2;1;3;2023-09-18
Marica;20230810;2;2;4;2023-08-10
Marica;20230818;2;0;2;2023-08-18
Marica;20230826;2;0;2;2023-08-26
Marica;20230916;2;0;2;2023-09-16
Natal;20230824;2;2;4;2023-08-24
Natal;20230825;2;1;3;2023-08-25
Natal;20230831;2;2;4;2023-08-31
Natal;20230907;2;2;4;2023-09-07
Niteroi;20230810;2;1;3;2023-08-10
Niteroi;20230814;2;0;2;2023-08-14
Niteroi;20230815;2;1;3;2023-08-15
Niteroi;20230823;2;1;3;2023-08-23
Niteroi;20230827;2;1;3;2023-08-27
