Título;Extenso;Sessões;Usuários;Novos usuários;Data
Fluminense 0 X 1 America;20230830;1;1;0;30/08/2023
Fluminense 0 X 1 Athletico PR;20230828;1;1;0;28/08/2023
Fluminense 0 X 1 Avai;20230828;1;1;0;28/08/2023
Fluminense 0 X 1 Bangu;20230830;1;1;0;30/08/2023
Fluminense 0 X 1 Botafogo;20230829;1;1;0;29/08/2023
Fluminense 0 X 1 Botafogo;20230901;1;1;0;01/09/2023
Fluminense 0 X 1 CSA;20230828;1;1;0;28/08/2023
Fluminense 0 X 1 Deportivo Italia;20230901;1;1;0;01/09/2023
Fluminense 0 X 1 Flamengo;20230826;1;1;0;26/08/2023
Fluminense 0 X 1 Flamengo;20230901;1;1;0;01/09/2023
Fluminense 0 X 1 Goias;20230828;1;1;0;28/08/2023
Fluminense 0 X 1 Goias;20230829;1;1;0;29/08/2023
Fluminense 0 X 1 Gremio;20230831;1;1;0;31/08/2023
Fluminense 0 X 1 Internacional;20230829;1;1;0;29/08/2023
Fluminense 0 X 1 Internacional;20230831;1;1;0;31/08/2023
Fluminense 0 X 1 Parana;20230902;1;1;0;02/09/2023
Fluminense 0 X 1 Santo Andre;20230828;1;1;0;28/08/2023
Fluminense 0 X 1 Santos;20230828;1;1;0;28/08/2023
Fluminense 0 X 1 Santos;20230830;1;1;0;30/08/2023
Fluminense 0 X 1 Santos;20230902;1;1;0;02/09/2023
Fluminense 0 X 1 Sao Caetano;20230828;1;1;0;28/08/2023
Fluminense 0 X 1 Vasco;20230830;1;1;0;30/08/2023
Fluminense 0 X 2 America;20230826;1;1;0;26/08/2023
Fluminense 0 X 2 America;20230828;1;1;0;28/08/2023
Fluminense 0 X 2 America MG;20230828;1;1;0;28/08/2023
Fluminense 0 X 2 America MG;20230830;1;1;0;30/08/2023
Fluminense 0 X 2 Athletico PR;20230828;1;1;0;28/08/2023
Fluminense 0 X 2 Atletico GO;20230828;1;1;0;28/08/2023
Fluminense 0 X 2 Atletico GO;20230831;1;1;0;31/08/2023
Fluminense 0 X 2 Atletico GO;20230901;1;1;0;01/09/2023
Fluminense 0 X 2 Atletico MG;20230902;1;1;0;02/09/2023
Fluminense 0 X 2 Bangu;20230829;1;1;0;29/08/2023
Fluminense 0 X 2 Botafogo;20230830;1;1;0;30/08/2023
Fluminense 0 X 2 Corinthians;20230902;1;1;0;02/09/2023
Fluminense 0 X 2 Flamengo;20230828;1;1;0;28/08/2023
Fluminense 0 X 2 Flamengo;20230830;1;1;0;30/08/2023
Fluminense 0 X 2 Fortaleza;20230828;1;1;0;28/08/2023
Fluminense 0 X 2 Fortaleza;20230829;1;1;0;29/08/2023
Fluminense 0 X 2 Gremio;20230827;1;1;1;27/08/2023
Fluminense 0 X 2 Gremio;20230828;1;1;0;28/08/2023
Fluminense 0 X 2 Nautico;20230828;1;1;0;28/08/2023
Fluminense 0 X 2 Palmeiras;20230828;1;1;0;28/08/2023
Fluminense 0 X 2 Parana;20230829;1;1;1;29/08/2023
Fluminense 0 X 2 Santos;20230826;1;1;0;26/08/2023
Fluminense 0 X 2 Santos;20230828;1;1;0;28/08/2023
Fluminense 0 X 2 Sao Paulo;20230827;1;1;0;27/08/2023
Fluminense 0 X 3 Botafogo;20230830;1;1;0;30/08/2023
Fluminense 0 X 3 Cruzeiro;20230828;1;1;0;28/08/2023
Fluminense 0 X 3 Internacional;20230828;1;1;0;28/08/2023
Fluminense 0 X 3 Portuguesa;20230830;1;1;0;30/08/2023
Fluminense 0 X 3 Portuguesa;20230901;1;1;0;01/09/2023
Fluminense 0 X 3 Santos;20230831;1;1;0;31/08/2023
Fluminense 0 X 3 Sao Cristovao;20230826;1;1;0;26/08/2023
Fluminense 0 X 3 Volta Redonda;20230830;1;1;0;30/08/2023
Fluminense 1 X 0 A. A. Internacional;20230831;1;1;0;31/08/2023
Fluminense 1 X 0 A. A. Internacional;20230902;1;1;0;02/09/2023
Fluminense 1 X 0 A. C. Internacional;20230829;1;1;0;29/08/2023
Fluminense 1 X 0 A. C. Internacional;20230831;1;1;0;31/08/2023
Fluminense 1 X 0 ABC;20230902;1;1;0;02/09/2023
Fluminense 1 X 0 Americano;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Americano;20230830;1;1;0;30/08/2023
Fluminense 1 X 0 America;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 America;20230829;1;1;0;29/08/2023
Fluminense 1 X 0 America;20230831;1;1;0;31/08/2023
Fluminense 1 X 0 America MG;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Anapolina;20230827;1;1;0;27/08/2023
Fluminense 1 X 0 Anapolina;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Atletico Nacional;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Atletico Nacional;20230830;1;1;0;30/08/2023
Fluminense 1 X 0 Avai;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Bahia;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Bahia;20230830;1;1;0;30/08/2023
Fluminense 1 X 0 Bangu;20230826;1;1;0;26/08/2023
Fluminense 1 X 0 Bangu;20230827;1;1;0;27/08/2023
Fluminense 1 X 0 Bangu;20230831;1;1;0;31/08/2023
Fluminense 1 X 0 Bangu;20230901;1;1;0;01/09/2023
Fluminense 1 X 0 Bayern de Munique;20230831;1;1;0;31/08/2023
Fluminense 1 X 0 CRB;20230830;1;1;0;30/08/2023
Fluminense 1 X 0 Caracas;20230827;1;1;0;27/08/2023
Fluminense 1 X 0 Caracas;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Cerro Portenho;20230826;1;1;0;26/08/2023
Fluminense 1 X 0 Confianca;20230902;1;1;0;02/09/2023
Fluminense 1 X 0 Corinthians;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Cruzeiro;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Cuiaba;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Cuiaba;20230830;1;1;0;30/08/2023
Fluminense 1 X 0 Dom Pedro II;20230827;1;1;0;27/08/2023
Fluminense 1 X 0 Figueirense;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Flamengo;20230829;1;1;1;29/08/2023
Fluminense 1 X 0 Goias;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Grasshopper;20230826;1;1;0;26/08/2023
Fluminense 1 X 0 Grasshopper;20230827;1;1;0;27/08/2023
Fluminense 1 X 0 Gremio;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Guarani;20230827;1;1;0;27/08/2023
Fluminense 1 X 0 Guarani;20230901;1;1;0;01/09/2023
Fluminense 1 X 0 Internacional;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Internacional;20230901;1;1;0;01/09/2023
Fluminense 1 X 0 Macae;20230827;1;1;0;27/08/2023
Fluminense 1 X 0 Macae;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Moto Club;20230827;1;1;0;27/08/2023
Fluminense 1 X 0 Nova Cidade;20230901;1;1;0;01/09/2023
Fluminense 1 X 0 Nova Iguacu;20230901;1;1;0;01/09/2023
Fluminense 1 X 0 Palmeiras;20230901;1;1;0;01/09/2023
Fluminense 1 X 0 Palmeiras;20230902;1;1;0;02/09/2023
Fluminense 1 X 0 Ponte Preta;20230902;1;1;0;02/09/2023
Fluminense 1 X 0 Porto Alegre;20230827;1;1;0;27/08/2023
Fluminense 1 X 0 Portuguesa;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Portuguesa;20230830;1;1;0;30/08/2023
Fluminense 1 X 0 Portuguesa SP;20230901;1;1;0;01/09/2023
Fluminense 1 X 0 Riachuelo;20230831;1;1;0;31/08/2023
Fluminense 1 X 0 Santo Andre;20230901;1;1;0;01/09/2023
Fluminense 1 X 0 Santo Andre;20230902;1;1;0;02/09/2023
Fluminense 1 X 0 Santos;20230826;1;1;0;26/08/2023
Fluminense 1 X 0 Serra;20230827;1;1;0;27/08/2023
Fluminense 1 X 0 Sport;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Sport;20230902;1;1;0;02/09/2023
Fluminense 1 X 0 Sao Caetano;20230902;1;1;0;02/09/2023
Fluminense 1 X 0 Sao Paulo;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Sao Paulo;20230902;1;1;0;02/09/2023
Fluminense 1 X 0 The Strongest;20230828;1;1;0;28/08/2023
Fluminense 1 X 0 Vasco;20230830;1;1;0;30/08/2023
Fluminense 1 X 0 Austria Viena;20230826;1;1;0;26/08/2023
Fluminense 1 X 0 Austria Viena;20230827;1;1;0;27/08/2023
Fluminense 1 X 1 America;20230826;1;1;0;26/08/2023
Fluminense 1 X 1 America;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 America;20230830;1;1;0;30/08/2023
Fluminense 1 X 1 America;20230831;1;1;0;31/08/2023
Fluminense 1 X 1 America;20230901;1;1;0;01/09/2023
Fluminense 1 X 1 Athletico PR;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Atletico MG;20230826;1;1;0;26/08/2023
Fluminense 1 X 1 Atletico MG;20230901;1;1;0;01/09/2023
Fluminense 1 X 1 Boavista;20230827;1;1;0;27/08/2023
Fluminense 1 X 1 Boavista;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Boavista;20230901;1;1;0;01/09/2023
Fluminense 1 X 1 Boca Juniors;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Brasil RS;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Brasiliense;20230902;1;1;0;02/09/2023
Fluminense 1 X 1 CSA;20230830;1;1;0;30/08/2023
Fluminense 1 X 1 Ceara;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Chapecoense;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Corinthians;20230830;1;1;0;30/08/2023
Fluminense 1 X 1 Coritiba;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Flamengo;20230826;1;1;0;26/08/2023
Fluminense 1 X 1 Goias;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Goias;20230830;1;1;0;30/08/2023
Fluminense 1 X 1 Goias;20230902;1;1;0;02/09/2023
Fluminense 1 X 1 Gremio;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Guarani;20230902;1;1;0;02/09/2023
Fluminense 1 X 1 Internacional;20230830;1;1;0;30/08/2023
Fluminense 1 X 1 Internacional;20230902;1;1;0;02/09/2023
Fluminense 1 X 1 Nacional Uruguai;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Nacional Uruguai;20230831;1;1;1;31/08/2023
Fluminense 1 X 1 Nautico;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Palmeiras;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Ponte Preta;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Portuguesa;20230901;1;1;0;01/09/2023
Fluminense 1 X 1 Portuguesa SP;20230829;1;1;0;29/08/2023
Fluminense 1 X 1 Portuguesa SP;20230902;1;1;0;02/09/2023
Fluminense 1 X 1 Resende;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Santos;20230827;1;1;0;27/08/2023
Fluminense 1 X 1 Sport;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Sporting Cristal;20230826;1;1;0;26/08/2023
Fluminense 1 X 1 Sporting Cristal;20230831;1;1;0;31/08/2023
Fluminense 1 X 1 Sao Paulo;20230826;1;1;0;26/08/2023
Fluminense 1 X 1 Vasco;20230829;1;1;0;29/08/2023
Fluminense 1 X 1 Vasco;20230830;1;1;0;30/08/2023
Fluminense 1 X 1 Vitoria BA;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Volta Redonda;20230828;1;1;0;28/08/2023
Fluminense 1 X 1 Ypiranga RS;20230828;1;1;0;28/08/2023
Fluminense 1 X 2 Americano;20230901;1;1;0;01/09/2023
Fluminense 1 X 2 America;20230828;1;1;0;28/08/2023
Fluminense 1 X 2 America;20230830;1;1;0;30/08/2023
Fluminense 1 X 2 Athletico PR;20230828;1;1;0;28/08/2023
Fluminense 1 X 2 Atletico GO;20230902;1;1;0;02/09/2023
Fluminense 1 X 2 Avai;20230828;1;1;0;28/08/2023
Fluminense 1 X 2 Chapecoense;20230828;1;1;0;28/08/2023
Fluminense 1 X 2 Club de Estudantes;20230826;1;1;0;26/08/2023
Fluminense 1 X 2 Flamengo;20230829;1;1;0;29/08/2023
Fluminense 1 X 2 Flamengo;20230830;1;1;0;30/08/2023
Fluminense 1 X 2 Flamengo;20230901;1;1;0;01/09/2023
Fluminense 1 X 2 Gremio;20230902;1;1;0;02/09/2023
Fluminense 1 X 2 Internacional;20230828;1;1;0;28/08/2023
Fluminense 1 X 2 Serra;20230827;1;1;0;27/08/2023
Fluminense 1 X 2 Sport;20230828;1;1;0;28/08/2023
Fluminense 1 X 2 Sao Paulo;20230828;1;1;0;28/08/2023
Fluminense 1 X 2 Vasco;20230827;1;1;0;27/08/2023
Fluminense 1 X 2 Vitoria BA;20230828;1;1;0;28/08/2023
Fluminense 1 X 3 America;20230829;1;1;0;29/08/2023
Fluminense 1 X 3 Botafogo;20230826;1;1;0;26/08/2023
Fluminense 1 X 3 Botafogo;20230830;1;1;0;30/08/2023
Fluminense 1 X 3 Corinthians;20230901;1;1;0;01/09/2023
Fluminense 1 X 3 Coritiba;20230828;1;1;0;28/08/2023
Fluminense 1 X 3 Cruzeiro;20230828;1;1;0;28/08/2023
Fluminense 1 X 3 Flamengo;20230830;1;1;0;30/08/2023
Fluminense 1 X 3 Independente SP;20230826;1;1;0;26/08/2023
Fluminense 1 X 3 Nova Iguacu;20230828;1;1;0;28/08/2023
Fluminense 1 X 3 Palmeiras;20230830;1;1;0;30/08/2023
Fluminense 1 X 3 Palmeiras;20230901;1;1;0;01/09/2023
Fluminense 1 X 3 Vasco;20230828;1;1;0;28/08/2023
Fluminense 1 X 4 Chapecoense;20230828;1;1;0;28/08/2023
Fluminense 1 X 4 Goias;20230828;1;1;0;28/08/2023
Fluminense 1 X 4 Paulistano;20230828;1;1;0;28/08/2023
Fluminense 1 X 4 Santos;20230828;1;1;0;28/08/2023
Fluminense 1 X 5 Sao Cristovao;20230830;1;1;0;30/08/2023
Fluminense 10 X 0 Portuguesa;20230826;1;1;0;26/08/2023
Fluminense 10 X 0 Portuguesa;20230830;1;1;0;30/08/2023
Fluminense 10 X 1 Paysandu Cricket;20230827;1;1;1;27/08/2023
Fluminense 10 X 1 Paysandu Cricket;20230831;1;1;0;31/08/2023
Fluminense 10 X 1 Paysandu Cricket;20230902;1;1;1;02/09/2023
Fluminense 11 X 0 Riachuelo;20230831;1;1;0;31/08/2023
Fluminense 11 X 1 Oceano;20230826;1;1;0;26/08/2023
Fluminense 11 X 1 Oceano;20230830;1;1;0;30/08/2023
Fluminense 2 X 0 Americano;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Americano;20230830;1;1;0;30/08/2023
Fluminense 2 X 0 America;20230827;1;1;0;27/08/2023
Fluminense 2 X 0 America;20230830;1;1;0;30/08/2023
Fluminense 2 X 0 America;20230901;1;1;0;01/09/2023
Fluminense 2 X 0 America MG;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 America RN;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Argentinos Juniors;20230830;1;1;0;30/08/2023
Fluminense 2 X 0 Arsenal;20230827;1;1;0;27/08/2023
Fluminense 2 X 0 Athletico PR;20230826;1;1;0;26/08/2023
Fluminense 2 X 0 Athletico PR;20230901;1;1;0;01/09/2023
Fluminense 2 X 0 Atletico MG;20230830;1;1;0;30/08/2023
Fluminense 2 X 0 Avai;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Avai;20230902;1;1;0;02/09/2023
Fluminense 2 X 0 Bahia;20230830;1;1;0;30/08/2023
Fluminense 2 X 0 Bonsucesso;20230830;1;1;0;30/08/2023
Fluminense 2 X 0 Botafogo;20230827;1;1;0;27/08/2023
Fluminense 2 X 0 Botafogo SP;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Campo Grande;20230830;1;1;0;30/08/2023
Fluminense 2 X 0 Corinthians;20230826;1;1;0;26/08/2023
Fluminense 2 X 0 Corinthians;20230827;1;1;0;27/08/2023
Fluminense 2 X 0 Coritiba;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Criciuma;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Cruzeiro;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Cuiaba;20230826;1;1;0;26/08/2023
Fluminense 2 X 0 Cuiaba;20230831;1;1;0;31/08/2023
Fluminense 2 X 0 Cuiaba;20230901;1;1;0;01/09/2023
Fluminense 2 X 0 Defensor;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Deportivo Cuenca;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Ferroviario;20230902;1;1;0;02/09/2023
Fluminense 2 X 0 Flamengo;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Fortaleza;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Goias;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Goytacas;20230901;1;1;0;01/09/2023
Fluminense 2 X 0 Internacional;20230827;1;1;0;27/08/2023
Fluminense 2 X 0 Internacional;20230829;1;1;0;29/08/2023
Fluminense 2 X 0 Internacional;20230831;1;1;0;31/08/2023
Fluminense 2 X 0 Juventude;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Libertad;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Liverpool URU;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Luverdense;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Luverdense;20230829;1;1;0;29/08/2023
Fluminense 2 X 0 Madureira;20230830;1;1;0;30/08/2023
Fluminense 2 X 0 Milionarios;20230826;1;1;0;26/08/2023
Fluminense 2 X 0 Milionarios;20230829;1;1;0;29/08/2023
Fluminense 2 X 0 Nautico;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Olimpia;20230827;1;1;0;27/08/2023
Fluminense 2 X 0 Operario MS;20230901;1;1;0;01/09/2023
Fluminense 2 X 0 Palmeiras;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Paysandu Cricket;20230829;1;1;0;29/08/2023
Fluminense 2 X 0 Santa Cruz;20230828;1;1;0;28/08/2023
Fluminense 2 X 0 Santa Cruz;20230829;1;1;0;29/08/2023
Fluminense 2 X 0 Sao Raimundo;20230827;1;1;0;27/08/2023
Fluminense 2 X 0 Vasco;20230901;1;1;0;01/09/2023
Fluminense 2 X 0 Vasco;20230902;1;1;0;02/09/2023
Fluminense 2 X 0 Volta Redonda;20230831;1;1;0;31/08/2023
Fluminense 2 X 1 Americano;20230827;1;1;0;27/08/2023
Fluminense 2 X 1 America;20230831;1;1;0;31/08/2023
Fluminense 2 X 1 Bahia;20230826;1;1;0;26/08/2023
Fluminense 2 X 1 Bahia;20230830;1;1;0;30/08/2023
Fluminense 2 X 1 Bahia;20230901;1;1;0;01/09/2023
Fluminense 2 X 1 Bangu;20230827;1;1;0;27/08/2023
Fluminense 2 X 1 Bonsucesso;20230826;1;1;0;26/08/2023
Fluminense 2 X 1 Botafogo;20230828;1;1;0;28/08/2023
Fluminense 2 X 1 Botafogo;20230830;1;1;0;30/08/2023
Fluminense 2 X 1 Bragantino;20230826;1;1;0;26/08/2023
Fluminense 2 X 1 Cabofriense;20230828;1;1;0;28/08/2023
Fluminense 2 X 1 Cabofriense;20230830;1;1;0;30/08/2023
Fluminense 2 X 1 Cabofriense;20230902;1;1;1;02/09/2023
Fluminense 2 X 1 Cachoeiro;20230828;1;1;0;28/08/2023
Fluminense 2 X 1 Cachoeiro;20230831;1;1;0;31/08/2023
Fluminense 2 X 1 Ceara;20230828;1;1;0;28/08/2023
Fluminense 2 X 1 Cerro Portenho;20230828;1;1;0;28/08/2023
Fluminense 2 X 1 Corinthians;20230830;1;1;0;30/08/2023
Fluminense 2 X 1 Cruzeiro;20230828;1;1;0;28/08/2023
Fluminense 2 X 1 Flamengo;20230826;1;1;0;26/08/2023
Fluminense 2 X 1 Flamengo;20230827;1;1;0;27/08/2023
Fluminense 2 X 1 Flamengo;20230901;1;1;0;01/09/2023
Fluminense 2 X 1 Fortaleza;20230828;1;1;0;28/08/2023
Fluminense 2 X 1 Fortaleza;20230901;1;1;0;01/09/2023
Fluminense 2 X 1 Fortaleza;20230902;1;1;0;02/09/2023
Fluminense 2 X 1 Germania;20230831;1;1;0;31/08/2023
Fluminense 2 X 1 Internacional;20230901;1;1;0;01/09/2023
Fluminense 2 X 1 Itabaiana;20230831;1;1;0;31/08/2023
Fluminense 2 X 1 Junior Barranquilla;20230826;1;1;0;26/08/2023
Fluminense 2 X 1 Juventude;20230828;1;1;0;28/08/2023
Fluminense 2 X 1 Moto Club;20230827;1;1;0;27/08/2023
Fluminense 2 X 1 Nova Iguacu;20230828;1;1;0;28/08/2023
Fluminense 2 X 1 Nautico;20230827;1;1;0;27/08/2023
Fluminense 2 X 1 Nautico;20230828;1;1;0;28/08/2023
Fluminense 2 X 1 Nautico;20230902;1;1;0;02/09/2023
Fluminense 2 X 1 Olaria;20230828;1;1;0;28/08/2023
Fluminense 2 X 1 Palmeiras;20230829;1;1;0;29/08/2023
Fluminense 2 X 1 Palmeiras;20230831;1;1;0;31/08/2023
Fluminense 2 X 1 Palmeiras;20230901;1;1;0;01/09/2023
Fluminense 2 X 1 Picos;20230828;1;1;1;28/08/2023
Fluminense 2 X 1 Picos;20230901;1;1;1;01/09/2023
Fluminense 2 X 1 Portsmouth;20230827;1;1;0;27/08/2023
Fluminense 2 X 1 Portuguesa SP;20230830;1;1;0;30/08/2023
Fluminense 2 X 1 Resende;20230902;1;1;0;02/09/2023
Fluminense 2 X 1 S. C. Americano;20230831;1;1;0;31/08/2023
Fluminense 2 X 1 Santos;20230828;1;1;0;28/08/2023
Fluminense 2 X 1 Santos;20230902;1;1;0;02/09/2023
Fluminense 2 X 1 Sergipe;20230830;1;1;0;30/08/2023
Fluminense 2 X 1 Sao Paulo;20230901;1;1;0;01/09/2023
Fluminense 2 X 1 Vasco;20230826;1;1;0;26/08/2023
Fluminense 2 X 1 Vasco;20230830;1;1;0;30/08/2023
Fluminense 2 X 1 Volta Redonda;20230830;1;1;0;30/08/2023
Fluminense 2 X 1 Volta Redonda;20230901;1;1;0;01/09/2023
Fluminense 2 X 2 America;20230830;1;1;0;30/08/2023
Fluminense 2 X 2 America MG;20230826;1;1;0;26/08/2023
Fluminense 2 X 2 Boavista;20230828;1;1;0;28/08/2023
Fluminense 2 X 2 Botafogo;20230827;1;1;0;27/08/2023
Fluminense 2 X 2 Botafogo;20230828;1;1;0;28/08/2023
Fluminense 2 X 2 Botafogo;20230901;1;1;0;01/09/2023
Fluminense 2 X 2 Corinthians;20230826;1;1;0;26/08/2023
Fluminense 2 X 2 Corinthians;20230828;1;1;0;28/08/2023
Fluminense 2 X 2 Coritiba;20230828;1;1;0;28/08/2023
Fluminense 2 X 2 Cruzeiro;20230826;1;1;0;26/08/2023
Fluminense 2 X 2 Flamengo;20230826;1;1;0;26/08/2023
Fluminense 2 X 2 Flamengo;20230828;1;1;0;28/08/2023
Fluminense 2 X 2 Flamengo;20230830;1;1;0;30/08/2023
Fluminense 2 X 2 Friburguense;20230827;1;1;0;27/08/2023
Fluminense 2 X 2 Guarani Paraguai;20230826;1;1;0;26/08/2023
Fluminense 2 X 2 Internacional;20230902;1;1;0;02/09/2023
Fluminense 2 X 2 Macae;20230828;1;1;0;28/08/2023
Fluminense 2 X 2 Portuguesa SP;20230828;1;1;0;28/08/2023
Fluminense 2 X 2 Portuguesa SP;20230830;1;1;0;30/08/2023
Fluminense 2 X 2 Resende;20230828;1;1;0;28/08/2023
Fluminense 2 X 2 Santa Cruz;20230828;1;1;0;28/08/2023
Fluminense 2 X 2 Universidad de Chile;20230828;1;1;0;28/08/2023
Fluminense 2 X 2 Vasco;20230830;1;1;0;30/08/2023
Fluminense 2 X 2 Villa Nova MG;20230826;1;1;0;26/08/2023
Fluminense 2 X 2 Vitoria BA;20230828;1;1;0;28/08/2023
Fluminense 2 X 3 ABC;20230901;1;1;1;01/09/2023
Fluminense 2 X 3 ABC;20230902;1;1;1;02/09/2023
Fluminense 2 X 3 America;20230826;1;1;0;26/08/2023
Fluminense 2 X 3 America;20230828;1;1;0;28/08/2023
Fluminense 2 X 3 Coritiba;20230828;1;1;0;28/08/2023
Fluminense 2 X 3 Flamengo;20230829;1;1;0;29/08/2023
Fluminense 2 X 3 Internacional;20230828;1;1;0;28/08/2023
Fluminense 2 X 3 Vasco;20230828;1;1;0;28/08/2023
Fluminense 2 X 3 Vasco;20230830;1;1;0;30/08/2023
Fluminense 2 X 3 Vitoria BA;20230828;1;1;0;28/08/2023
Fluminense 2 X 3 Volta Redonda;20230829;1;1;0;29/08/2023
Fluminense 2 X 4 Coritiba;20230902;1;1;0;02/09/2023
Fluminense 2 X 4 Flamengo;20230830;1;1;0;30/08/2023
Fluminense 2 X 4 Santos;20230828;1;1;0;28/08/2023
Fluminense 2 X 5 America RN;20230828;1;1;0;28/08/2023
Fluminense 2 X 5 Flamengo;20230830;1;1;0;30/08/2023
Fluminense 2 X 5 Santos;20230830;1;1;0;30/08/2023
Fluminense 3 X 0 A. A. Palmeiras;20230831;1;1;0;31/08/2023
Fluminense 3 X 0 Athletico PR;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Audax;20230901;1;1;0;01/09/2023
Fluminense 3 X 0 Boavista;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Botafogo;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Botafogo;20230831;1;1;0;31/08/2023
Fluminense 3 X 0 Canto do Rio;20230826;1;1;0;26/08/2023
Fluminense 3 X 0 Chapecoense;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Chapecoense;20230830;1;1;0;30/08/2023
Fluminense 3 X 0 Comb. Becar/Varella;20230826;1;1;0;26/08/2023
Fluminense 3 X 0 Comb. Becar/Varella;20230830;1;1;0;30/08/2023
Fluminense 3 X 0 Corinthians;20230830;1;1;0;30/08/2023
Fluminense 3 X 0 Criciuma;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Criciuma;20230830;1;1;0;30/08/2023
Fluminense 3 X 0 Ferroviaria;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Figueirense;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Goias;20230902;1;1;0;02/09/2023
Fluminense 3 X 0 Goiania;20230827;1;1;0;27/08/2023
Fluminense 3 X 0 Goytacas;20230830;1;1;0;30/08/2023
Fluminense 3 X 0 Juventude MT;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 LDU;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Macae;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Nacional PB;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Nacional Potosi;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Nacional Potosi;20230901;1;1;0;01/09/2023
Fluminense 3 X 0 Oriente Petrolero;20230826;1;1;0;26/08/2023
Fluminense 3 X 0 Palmeiras;20230830;1;1;0;30/08/2023
Fluminense 3 X 0 Paysandu;20230901;1;1;0;01/09/2023
Fluminense 3 X 0 Penharol;20230826;1;1;0;26/08/2023
Fluminense 3 X 0 Penharol;20230827;1;1;0;27/08/2023
Fluminense 3 X 0 Portuguesa;20230901;1;1;0;01/09/2023
Fluminense 3 X 0 Resende;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Rio Cricket;20230831;1;1;0;31/08/2023
Fluminense 3 X 0 Vasco;20230828;1;1;0;28/08/2023
Fluminense 3 X 0 Vasco;20230830;1;1;0;30/08/2023
