Título;Extenso;Sessões;Usuários;Novos usuários;Data
Estadios;20230807;4;4;0;07/08/2023
Flamengo 1 X 1 Fluminense;20230804;4;1;0;04/08/2023
Fluminense 1 X 0 Bayern de Munique;20230805;4;3;3;05/08/2023
Fluminense 1 X 0 Flamengo;20230810;4;4;1;10/08/2023
Fluminense 1 X 1 Sporting Cristal;20230809;4;4;0;09/08/2023
Fluminense 2 X 0 America;20230812;4;3;0;12/08/2023
Fluminense 2 X 1 Sao Cristovao;20230812;4;3;0;12/08/2023
Fluminense x Botafogo-RJ;20230806;4;3;0;06/08/2023
Fluminense x Gremio-RS;20230811;4;4;0;11/08/2023
Fluminense x Santos-SP;20230806;4;4;0;06/08/2023
Fabio 2023;20230806;4;3;0;06/08/2023
Fabio 2023;20230809;4;4;0;09/08/2023
German Cano 2023;20230808;4;4;0;08/08/2023
Goleiros com mais jogos;20230808;4;4;0;08/08/2023
Graficos;20230805;4;3;0;05/08/2023
Jhon Arias 2023;20230807;4;3;0;07/08/2023
Luiz Henrique 2022 - Libertadores da America;20230810;4;2;0;10/08/2023
Macale 1993;20230804;4;1;0;04/08/2023
Mackenzie 1 X 0 Fluminense;20230806;4;2;0;06/08/2023
Maior Artilheiro em Campeonato;20230811;4;4;0;11/08/2023
Mais jogos no elenco atual;20230807;4;3;0;07/08/2023
Mais jogos nos Seculos;20230812;4;4;0;12/08/2023
Maracana - Libertadores da America;20230807;4;3;0;07/08/2023
Marcelo Barreto 1993;20230804;4;1;0;04/08/2023
Marlon 2016;20230805;4;3;0;05/08/2023
Mascotes;20230811;4;4;2;11/08/2023
Nei 1995;20230804;4;1;0;04/08/2023
Nelio 1997;20230810;4;4;0;10/08/2023
Paris Saint Germain 0 X 1 Fluminense;20230806;4;1;1;06/08/2023
Ramon Abatti Abel;20230804;4;3;0;04/08/2023
Sergio Manoel 1993;20230804;4;1;0;04/08/2023
Tec - Fernando Diniz;20230806;4;2;1;06/08/2023
Tec - Fernando Diniz;20230808;4;3;0;08/08/2023
Tec - Fernando Diniz;20230809;4;4;0;09/08/2023
Todos os Jogos contra Palmeiras-SP;20230804;4;3;0;04/08/2023
Todos os Jogos contra Palmeiras-SP;20230806;4;4;0;06/08/2023
Todos os jogos em campeonato;20230807;4;4;0;07/08/2023
Todos os jogos em campeonato;20230809;4;3;0;09/08/2023
Tecnico;20230809;4;4;0;09/08/2023
Tecnico;20230810;4;4;0;10/08/2023
Tecnico;20230811;4;4;0;11/08/2023
Tecnico;20230812;4;4;0;12/08/2023
Vasco 0 X 0 Fluminense;20230804;4;1;0;04/08/2023
Wagner 1993;20230804;4;1;0;04/08/2023
Arbitros;20230804;4;3;0;04/08/2023
Arbitros;20230807;4;4;0;07/08/2023
Arbitros;20230808;4;3;1;08/08/2023
(not set);20230803;3;2;0;03/08/2023
(not set);20230809;3;3;0;09/08/2023
(not set);20230811;3;3;0;11/08/2023
Alexis Herrera;20230808;3;2;0;08/08/2023
Americano 0 X 1 Fluminense;20230807;3;2;0;07/08/2023
Arena do Gremio;20230811;3;2;0;11/08/2023
Artilheiros no(a) Libertadores da America;20230808;3;2;0;08/08/2023
Bangu 1 X 0 Fluminense;20230812;3;3;0;12/08/2023
Bonsucesso 0 X 2 Fluminense;20230807;3;2;0;07/08/2023
Bonsucesso 1 X 6 Fluminense;20230812;3;3;0;12/08/2023
Botafogo 1 X 1 Fluminense;20230807;3;2;0;07/08/2023
Botafogo 2 X 2 Fluminense;20230807;3;3;0;07/08/2023
Botafogo SP 1 X 1 Fluminense;20230805;3;3;2;05/08/2023
Botafogo SP 1 X 1 Fluminense;20230811;3;3;3;11/08/2023
Brasileiro 2023;20230807;3;2;0;07/08/2023
Brasileiro 2023;20230809;3;3;0;09/08/2023
Camisa;20230804;3;3;0;04/08/2023
Camisa;20230810;3;3;0;10/08/2023
Carioca 1951;20230812;3;2;0;12/08/2023
Carioca 1995;20230808;3;2;2;08/08/2023
Cerro Portenho 0 X 2 Fluminense;20230811;3;3;0;11/08/2023
Chiquinho 1993;20230804;3;1;0;04/08/2023
Consulta Placar;20230812;3;1;0;12/08/2023
Curiosidades e Titulos;20230806;3;3;0;06/08/2023
Danielzinho 2023;20230805;3;2;0;05/08/2023
Especiais Adversarios;20230811;3;3;0;11/08/2023
Especiais Adversarios;20230812;3;3;0;12/08/2023
Especiais Campeonatos;20230806;3;2;0;06/08/2023
Especiais Campeonatos;20230810;3;3;0;10/08/2023
Especiais Campeonatos;20230811;3;3;0;11/08/2023
Especiais Classicos;20230809;3;3;0;09/08/2023
Especiais Estadios;20230808;3;3;0;08/08/2023
Especiais Estadios;20230810;3;3;0;10/08/2023
Especiais Gerais;20230810;3;3;0;10/08/2023
Especiais Jogos;20230806;3;2;0;06/08/2023
Especiais Jogos;20230807;3;3;0;07/08/2023
Especiais Numeracao Fixa;20230810;3;3;0;10/08/2023
Especiais Sequencias;20230811;3;2;0;11/08/2023
Especiais Tecnico;20230809;3;3;0;09/08/2023
Especiais Tecnico;20230810;3;2;0;10/08/2023
Especiais Tecnico;20230811;3;3;0;11/08/2023
Estadio por tempo determinado;20230810;3;3;0;10/08/2023
Estadio x Campeonato;20230807;3;3;0;07/08/2023
Estadios;20230806;3;3;0;06/08/2023
Estadios;20230808;3;3;0;08/08/2023
Estadios;20230810;3;3;0;10/08/2023
Felipe Melo 2023;20230809;3;3;0;09/08/2023
Flamengo 1 X 1 Fluminense;20230803;3;3;0;03/08/2023
