Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios
/consulta_especial_campeonato;20230824;5;5;0
/consulta_especial_campeonato;20230901;5;3;0
/consulta_especial_estadio;20230904;5;5;0
/consulta_especial_estadio;20230905;5;5;0
/consulta_especial_gerais;20230828;5;3;0
/consulta_especial_gerais;20230903;5;5;0
/consulta_especial_jogador;20230816;5;4;0
/consulta_especial_jogador;20230817;5;5;0
/consulta_especial_jogador;20230829;5;5;0
/consulta_especial_jogos;20230814;5;3;0
/consulta_especial_jogos;20230828;5;4;0
/consulta_especial_jogos;20230901;5;4;0
/consulta_especial_jogos;20230902;5;4;0
/consulta_especial_tecnico;20230901;5;5;0
/consulta_jogador/268106000;20230901;5;4;0
/consulta_ranking/800103000000;20230901;5;4;0
/consulta_ranking/900106000000;20230901;5;4;0
/curiosidade;20230815;5;5;0
/curiosidade;20230820;5;5;0
/curiosidade;20230821;5;4;0
/curiosidade;20230828;5;5;1
/curiosidade;20230905;5;5;0
/especial;20230907;5;4;0
/estadio;20230816;5;5;0
/estadio;20230824;5;5;0
/estadio;20230826;5;4;0
/estadio;20230906;5;5;0
/estadio_todos;20230824;5;5;0
/estadio_todos;20230902;5;2;0
/estadio_todos;20230904;5;3;0
/geral;20230821;5;5;0
/geral;20230827;5;5;0
/grafico;20230821;5;4;0
/grafico;20230825;5;5;0
/grafico;20230901;5;4;0
/grafico_campeonato/203;20230823;5;3;0
/link_arbitro/1518;20230825;5;5;0
/link_camisa/112;20230814;5;1;0
/link_jogador/2421;20230820;5;5;0
/link_jogador/2421;20230825;5;5;1
/link_jogador/2421;20230901;5;5;0
/link_jogador/507;20230816;5;5;5
/link_jogo/4990;20230816;5;5;5
/link_jogo/4996;20230822;5;5;4
/link_jogo/7537;20230826;5;1;0
/link_jogo/8488;20230824;5;4;0
/link_jogo/8490;20230824;5;5;0
/link_jogo/8728;20230819;5;5;0
/mostra_adversario;20230816;5;5;0
/mostra_arbitro;20230828;5;3;0
/mostra_arbitro;20230831;5;4;0
/mostra_campeonato;20230815;5;4;0
/mostra_campeonato;20230817;5;3;0
/mostra_campeonato;20230828;5;4;0
/mostra_campeonato;20230904;5;5;0
/mostra_campeonato;20230908;5;4;0
/mostra_especial/;20230815;5;4;0
