# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20230724
# Data de término: 20230820
Título da página e nome da tela;Data;Sessões;Usuários;Novos usuários;Tempo de engajamento médio por sessão;Conversões;Receita total
Últimos Jogos;20230811;5;3;0;8.2;0;0
(not set);20230814;4;3;0;15;0;0
(not set);20230820;4;4;0;81;0;0
20 Maiores Artilheiros Anuais;20230820;4;4;0;81.25;0;0
Adversário x Campeonato;20230806;4;2;0;19.75;0;0
América 0 X 2 Fluminense;20230807;4;3;0;12.5;0;0
Aproveitamento Técnicos no;20230814;4;2;0;70;0;0
Artilheiros Estrangeiros;20230806;4;4;0;54.5;0;0
Artilheiros Estrangeiros;20230819;4;4;0;37.75;0;0
Artilheiros no(a) Libertadores da América;20230811;4;4;0;29;0;0
Botafogo 1 X 1 Fluminense;20230816;4;2;0;3;0;0
Brunel 1975;20230804;4;4;4;20.25;0;0
Brunel 1975;20230807;4;3;3;16;0;0
Campeonatos;20230816;4;3;0;20.75;0;0
Consulta Turno;20230814;4;3;0;3;0;0
Curiosidades e Títulos;20230803;4;4;0;41;0;0
Curiosidades e Títulos;20230814;4;4;1;2.5;0;0
Danielzinho 2023;20230808;4;4;0;14;0;0
Defensores del Chaco;20230811;4;4;0;33;0;0
Defensores del Chaco;20230812;4;3;0;17;0;0
Especiais Adversários;20230804;4;4;0;26.25;0;0
Especiais Adversários;20230808;4;4;0;23;0;0
Especiais Adversários;20230819;4;4;0;17;0;0
Especiais Adversários;20230820;4;4;0;27;0;0
Especiais Campeonatos;20230803;4;3;0;3.5;0;0
Especiais Estádios;20230804;4;4;0;12.25;0;0
Especiais Gerais;20230807;4;4;0;17;0;0
Especiais Gerais;20230812;4;4;0;38.75;0;0
Especiais Jogos;20230803;4;3;0;12.5;0;0
Especiais Jogos;20230810;4;3;0;11.25;0;0
Especiais Jogos;20230815;4;2;0;7.5;0;0
Especiais Jogos;20230820;4;4;0;3.25;0;0
Especiais Resultados;20230814;4;3;0;38.75;0;0
Especiais Técnico;20230806;4;4;0;3.75;0;0
Especiais Técnico;20230815;4;4;0;14.25;0;0
Estádios;20230803;4;4;0;9.25;0;0
Estádios;20230804;4;4;0;6.75;0;0
Estádios;20230807;4;4;0;22.5;0;0
Flamengo 1 X 1 Fluminense;20230804;4;1;0;11.75;0;0
Flavio Rodrigues de Souza;20230817;4;3;0;5.5;0;0
Fluminense 0 X 0 Rio Cricket;20230817;4;4;0;13.25;0;0
Fluminense 1 X 0 Bayern de Munique;20230805;4;3;3;6.25;0;0
Fluminense 1 X 0 Flamengo;20230810;4;4;1;15.75;0;0
Fluminense 1 X 1 Sporting Cristal;20230809;4;4;0;9;0;0
Fluminense 2 X 0 América;20230812;4;3;0;10;0;0
Fluminense 2 X 1 São Cristovão;20230812;4;3;0;3.75;0;0
Fluminense x América MG-MG;20230820;4;4;0;25.75;0;0
Fluminense x Botafogo-RJ;20230806;4;3;0;22.5;0;0
Fluminense x Corinthians-SP;20230813;4;4;0;34.5;0;0
Fluminense x Grêmio-RS;20230811;4;4;0;23;0;0
Fluminense x Olimpia-Paraguai;20230813;4;2;0;75.5;0;0
Fluminense x Santos-SP;20230806;4;4;0;36.5;0;0
Fábio 2023;20230806;4;3;0;34.25;0;0
Fábio 2023;20230809;4;4;0;30.25;0;0
German Cano 2023;20230808;4;4;0;19;0;0
Goleiros com mais jogos;20230808;4;4;0;42.25;0;0
Goleiros com mais jogos;20230815;4;3;0;22.5;0;0
Gráficos;20230805;4;3;0;30;0;0
Gráficos;20230813;4;4;0;7;0;0
Gráficos;20230818;4;4;0;28.75;0;0
Gráficos;20230819;4;4;0;10.5;0;0
Grêmio 1 X 0 Fluminense;20230813;4;4;0;7.75;0;0
Informações Gerais;20230814;4;4;0;7.75;0;0
Informações Gerais;20230815;4;4;0;9.75;0;0
Jhon Arias 2023;20230807;4;3;0;175.75;0;0
Jhon Arias 2023;20230819;4;4;0;33.75;0;0
Luiz Henrique 2022 - Libertadores da América;20230810;4;2;0;0;0;0
Macalé 1993;20230804;4;1;0;31.5;0;0
Mackenzie 1 X 0 Fluminense;20230806;4;2;0;242.75;0;0
Maior Artilheiro em Campeonato;20230811;4;4;0;14.5;0;0
Maior Artilheiro em Campeonato;20230814;4;1;0;15.75;0;0
Maiores Artilheiros;20230814;4;4;0;53.75;0;0
Mais jogos no elenco atual;20230807;4;3;0;25.75;0;0
Mais jogos no elenco atual;20230820;4;3;0;54.75;0;0
Mais jogos nos Séculos;20230812;4;4;0;78.25;0;0
Maracanã - Libertadores da América;20230807;4;3;0;18;0;0
Marcelo Barreto 1993;20230804;4;1;0;5;0;0
Marlon 2016;20230805;4;3;0;8.25;0;0
Marlon 2023;20230817;4;3;0;17.75;0;0
Mascotes;20230811;4;4;2;5.75;0;0
Nei 1995;20230804;4;1;0;4.25;0;0
Nélio 1997;20230810;4;4;0;7.5;0;0
Paris Saint Germain 0 X 1 Fluminense;20230806;4;1;1;5.75;0;0
Paulo Henrique Ganso 2023;20230819;4;4;0;3.5;0;0
Paulo Henrique Ganso 2023;20230820;4;4;0;158.75;0;0
Paulo Lino 1982;20230813;4;4;4;20.5;0;0
Ramon Abatti Abel;20230804;4;3;0;30.75;0;0
Sérgio Manoel 1993;20230804;4;1;0;15;0;0
Tec - Fernando Diniz;20230806;4;2;1;5;0;0
Tec - Fernando Diniz;20230808;4;3;0;9.75;0;0
Tec - Fernando Diniz;20230809;4;4;0;15.5;0;0
Tec - Fernando Diniz;20230813;4;3;0;24.5;0;0
Tec - Fernando Diniz;20230814;4;4;0;17.25;0;0
Todas as camisas;20230813;4;4;0;28.75;0;0
Todos os Jogos contra Palmeiras-SP;20230804;4;3;0;11.25;0;0
Todos os Jogos contra Palmeiras-SP;20230806;4;4;0;123;0;0
Todos os jogos em campeonato;20230807;4;4;0;8;0;0
Todos os jogos em campeonato;20230809;4;3;0;6.75;0;0
Treinador com mais jogos;20230819;4;4;0;25.25;0;0
Técnico;20230809;4;4;0;8.5;0;0
Técnico;20230810;4;4;0;23.5;0;0
Técnico;20230811;4;4;0;8;0;0
Técnico;20230812;4;4;0;6.5;0;0
Técnico;20230817;4;4;0;7.75;0;0
Vasco 0 X 0 Fluminense;20230804;4;1;0;73.25;0;0
Wágner 1993;20230804;4;1;0;43.25;0;0
Árbitros;20230804;4;3;0;22.5;0;0
Árbitros;20230807;4;4;0;15.5;0;0
Árbitros;20230808;4;3;1;10;0;0
Árbitros;20230819;4;4;0;9.75;0;0
(not set);20230803;3;2;0;3;0;0
(not set);20230809;3;3;0;18.666666666666668;0;0
(not set);20230811;3;3;0;9;0;0
Adversário x Campeonato;20230813;3;2;0;33.666666666666664;0;0
Alexis Herrera;20230808;3;2;0;4.333333333333333;0;0
Americano 0 X 1 Fluminense;20230807;3;2;0;3.6666666666666665;0;0
América 0 X 1 Fluminense;20230816;3;1;0;29.333333333333332;0;0
Antônio Hora Filho;20230820;3;1;0;8;0;0
Arena do Gremio;20230811;3;2;0;1.3333333333333333;0;0
Argentino Juniors 1 X 1 Fluminense;20230802;3;3;0;20.666666666666668;0;0
Artilheiros Estrangeiros;20230820;3;3;0;60;0;0
Artilheiros dos Séculos;20230820;3;3;0;9;0;0
Artilheiros em 2023;20230819;3;3;0;23.333333333333332;0;0
Artilheiros em jogos oficiais;20230820;3;3;0;47.666666666666664;0;0
Artilheiros no(a) Brasileiro;20230814;3;1;0;7.666666666666667;0;0
Artilheiros no(a) Libertadores da América;20230808;3;2;0;9.666666666666666;0;0
Artilheiros no(a) Maracanã;20230819;3;3;0;42.333333333333336;0;0
Artilheiros no(a) Maracanã;20230820;3;3;0;46;0;0
Assistências em Ano;20230816;3;2;0;25;0;0
Bangu 1 X 0 Fluminense;20230812;3;3;0;3;0;0
Bonsucesso 0 X 2 Fluminense;20230807;3;2;0;3;0;0
Bonsucesso 1 X 6 Fluminense;20230812;3;3;0;10.666666666666666;0;0
Botafogo 1 X 1 Fluminense;20230807;3;2;0;24.333333333333332;0;0
Botafogo 2 X 2 Fluminense;20230807;3;3;0;15.666666666666666;0;0
Botafogo SP 1 X 1 Fluminense;20230805;3;3;2;20.666666666666668;0;0
Botafogo SP 1 X 1 Fluminense;20230811;3;3;3;53.666666666666664;0;0
Brasileiro - 1º Turno 2023;20230814;3;2;0;1;0;0
