# ----------------------------------------
# Exportacao do CSV de relatorio
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuarios
# Data de inicio: 20230821
# Data de termino: 20230917
Caminho da pagina e classe da tela;Data;Sessoes;Usuarios;Novos usuarios;Tempo de engajamento medio por sessao;Conversoes;Receita total
/estadio_todos;20230914;5;4;0;23;0;0
/geral;20230821;5;5;0;28;0;0
/geral;20230827;5;5;0;78.8;0;0
/grafico;20230821;5;4;0;24.4;0;0
/grafico;20230825;5;5;0;6.4;0;0
/grafico;20230901;5;4;0;13.2;0;0
/grafico_campeonato/203;20230823;5;3;0;3;0;0
/link_arbitro/1518;20230825;5;5;0;12.6;0;0
/link_jogador/2421;20230825;5;5;1;18.2;0;0
/link_jogador/2421;20230901;5;5;0;10.8;0;0
/link_jogador/744;20230916;5;5;5;63.2;0;0
/link_jogo/4996;20230822;5;5;4;28.2;0;0
/link_jogo/4996;20230912;5;5;4;42.8;0;0
/link_jogo/7537;20230826;5;1;0;0;0;0
/link_jogo/8488;20230824;5;4;0;14.8;0;0
/link_jogo/8490;20230824;5;5;0;43;0;0
/link_todos/62/100;20230914;5;3;0;48.6;0;0
/mostra_arbitro;20230828;5;3;0;36;0;0
/mostra_arbitro;20230831;5;4;0;42.2;0;0
/mostra_campeonato;20230828;5;4;0;20.8;0;0
/mostra_campeonato;20230904;5;5;0;40.2;0;0
/mostra_campeonato;20230908;5;4;0;8.4;0;0
/mostra_campeonato;20230916;5;5;0;38.6;0;0
/mostra_especial_jogo;20230826;5;5;0;45.8;0;0
/mostra_estadio;20230829;5;4;0;27.4;0;0
/mostra_estadio;20230902;5;5;0;35.2;0;0
/mostra_estadio;20230904;5;4;0;11.4;0;0
/mostra_estadio;20230913;5;4;0;27.4;0;0
/mostra_estadiomais;20230904;5;3;0;134.6;0;0
/mostra_jogo;20230902;5;5;0;32.6;0;0
/mostra_ranking/800000000000;20230823;5;2;0;11.6;0;0
/mostra_ranking/900000000000;20230831;5;6;0;108;0;0
/mostra_tecnico;20230825;5;5;0;18.4;0;0
/mostra_tecnico;20230828;5;5;0;59.2;0;0
/mostra_tecnico;20230916;5;2;0;17.6;0;0
/mostra_todos;20230915;5;2;0;68.8;0;0
/mostra_todos_jogador;20230913;5;2;0;8.4;0;0
/tecnico;20230825;5;5;0;11.8;0;0
/tecnico;20230828;5;5;0;7.6;0;0
/tecnico;20230915;5;5;1;10;0;0
/todas_camisas/400000000;20230915;5;5;0;35.4;0;0
