# ----------------------------------------
# Exportação do CSV de relatório
# Conta: Rodrigo_fluzao
# Propriedade: RodrigoFlu
# ----------------------------------------
# 
# Todos os usuários
# Data de início: 20230724
# Data de término: 20230820
Caminho da página e classe da tela;Data;Sessões;Usuários;Novos usuários;Tempo de engajamento médio por sessão;Conversões;Receita total
/consulta_especial_jogador;20230803;5;5;0;10.6;0;0
/consulta_especial_jogador;20230804;5;5;0;74.4;0;0
/consulta_especial_jogador;20230816;5;4;0;24.8;0;0
/consulta_especial_jogador;20230817;5;5;0;31.8;0;0
/consulta_especial_jogos;20230808;5;3;0;10.8;0;0
/consulta_especial_jogos;20230809;5;5;0;9.2;0;0
/consulta_especial_jogos;20230814;5;3;0;26.8;0;0
/curiosidade;20230815;5;5;0;50;0;0
/curiosidade;20230820;5;5;0;21.8;0;0
/estadio;20230813;5;5;0;33.6;0;0
/estadio;20230816;5;5;0;10.6;0;0
/estadio_todos;20230809;5;4;0;103.6;0;0
/geral;20230803;5;5;0;33.4;0;0
/geral;20230805;5;4;0;6;0;0
/geral;20230807;5;5;0;6.8;0;0
/grafico;20230803;5;5;0;10;0;0
/grafico;20230809;5;5;0;14.8;0;0
/jogo;20230802;5;5;0;39;0;0
/link_adversario/432;20230808;5;5;0;28.8;0;0
/link_camisa/112;20230813;5;3;0;4.8;0;0
/link_camisa/112;20230814;5;1;0;1.8;0;0
/link_jogador/2421;20230820;5;5;0;25.8;0;0
/link_jogador/507;20230816;5;5;5;182.4;0;0
/link_jogador/628;20230813;5;4;3;7.2;0;0
/link_jogo/2934;20230806;5;4;4;11.2;0;0
/link_jogo/4990;20230810;5;5;4;23.4;0;0
/link_jogo/4990;20230816;5;5;5;20.4;0;0
/link_jogo/7137;20230807;5;5;2;24.4;0;0
/link_jogo/7328;20230804;5;2;2;34.4;0;0
/link_jogo/8259;20230812;5;3;0;16;0;0
/link_jogo/8721;20230813;5;4;0;8.2;0;0
/link_jogo/8728;20230819;5;5;0;17;0;0
/mostra_adversario;20230816;5;5;0;35.8;0;0
/mostra_arbitro;20230808;5;2;0;6.8;0;0
/mostra_arbitro;20230810;5;5;0;19.2;0;0
/mostra_campeonato;20230804;5;5;0;81.4;0;0
/mostra_campeonato;20230815;5;4;0;70.4;0;0
/mostra_campeonato;20230817;5;3;0;25.8;0;0
/mostra_especial/;20230807;5;4;0;142.4;0;0
/mostra_especial/;20230815;5;4;0;21.2;0;0
/mostra_especial/;20230819;5;4;0;16.2;0;0
/mostra_especial_jogo;20230812;5;2;0;9.6;0;0
/mostra_especial_jogo;20230814;5;3;0;101;0;0
/mostra_especial_jogo;20230820;5;4;0;14.6;0;0
/mostra_estadio;20230813;5;5;0;93.8;0;0
/mostra_estadio;20230816;5;5;0;89.2;0;0
/mostra_ranking/290000000;20230820;5;5;0;43.8;0;0
/mostra_ranking/801000000000;20230806;5;5;0;56.2;0;0
/mostra_ranking/801000000000;20230808;5;4;0;83.2;0;0
/mostra_ranking/801000000000;20230809;5;3;0;49.8;0;0
/mostra_ranking/801000000000;20230819;5;4;0;25.2;0;0
/mostra_rkg/;20230811;5;5;0;83.8;0;0
/mostra_rkg/;20230814;5;3;0;68.8;0;0
/mostra_rkg/;20230816;5;4;0;75.8;0;0
/mostra_tecnico;20230814;5;5;0;16.4;0;0
/mostra_todos;20230806;5;4;0;190;0;0
/proximos_jogos;20230811;5;4;0;41.8;0;0
/ranking_turno;20230814;5;3;0;25.4;0;0
/arbitro;20230804;4;3;0;22.5;0;0
/arbitro;20230807;4;4;0;15.5;0;0
/arbitro;20230808;4;3;1;10;0;0
/arbitro;20230819;4;4;0;9.75;0;0
/campeonato;20230816;4;3;0;20.75;0;0
/consulta_campeonato/103999000;20230807;4;4;0;8;0;0
/consulta_campeonato/103999000;20230809;4;3;0;6.75;0;0
/consulta_especial/100103000;20230806;4;2;0;19.75;0;0
/consulta_especial_adversario;20230804;4;4;0;26.25;0;0
/consulta_especial_adversario;20230808;4;4;0;23;0;0
/consulta_especial_adversario;20230819;4;4;0;17;0;0
/consulta_especial_adversario;20230820;4;4;0;27;0;0
/consulta_especial_campeonato;20230803;4;3;0;3.5;0;0
/consulta_especial_estadio;20230804;4;4;0;12.25;0;0
/consulta_especial_gerais;20230807;4;4;0;17;0;0
/consulta_especial_gerais;20230812;4;4;0;38.75;0;0
/consulta_especial_jogos;20230803;4;3;0;12.5;0;0
/consulta_especial_jogos;20230810;4;3;0;11.25;0;0
/consulta_especial_jogos;20230815;4;2;0;7.5;0;0
/consulta_especial_jogos;20230820;4;4;0;3.25;0;0
/consulta_especial_resultados;20230814;4;3;0;38.75;0;0
/consulta_especial_tecnico;20230806;4;4;0;3.75;0;0
/consulta_especial_tecnico;20230815;4;4;0;14.25;0;0
/consulta_ranking/900103000000;20230811;4;4;0;14.5;0;0
/consulta_ranking/900103000000;20230814;4;1;0;15.75;0;0
/consulta_turno;20230814;4;3;0;3;0;0
/curiosidade;20230803;4;4;0;41;0;0
/curiosidade;20230814;4;4;1;2.5;0;0
/estadio;20230803;4;4;0;9.25;0;0
/estadio;20230804;4;4;0;6.75;0;0
/estadio;20230807;4;4;0;22.5;0;0
/estadio_todos;20230806;4;4;0;194;0;0
/geral;20230814;4;4;0;7.75;0;0
/geral;20230815;4;4;0;9.75;0;0
/grafico;20230805;4;3;0;30;0;0
/grafico;20230813;4;4;0;7;0;0
/grafico;20230818;4;4;0;28.75;0;0
/grafico;20230819;4;4;0;10.5;0;0
/grafico_artilheiro/500;20230803;4;4;0;53.75;0;0
/link_adversario/62;20230804;4;2;0;6.25;0;0
/link_adversario/656;20230802;4;4;4;34;0;0
/link_jogador/1006;20230813;4;4;4;20.5;0;0
/link_jogador/1105;20230804;4;1;0;5;0;0
/link_jogador/1136;20230804;4;1;0;43.25;0;0
/link_jogador/1154;20230804;4;1;0;15;0;0
/link_jogador/1165;20230804;4;1;0;31.5;0;0
/link_jogador/1170;20230804;4;1;0;4.25;0;0
/link_jogador/1283;20230810;4;4;0;7.5;0;0
/link_jogador/2367;20230806;4;4;0;9;0;0
/link_jogador/2367;20230809;4;3;0;12;0;0
/link_jogador/2415;20230820;4;4;0;19.5;0;0
/link_jogador/667;20230804;4;4;4;20.25;0;0
/link_jogador/667;20230807;4;3;3;16;0;0
/link_jogo/2934;20230805;4;3;3;6.25;0;0
/link_jogo/4326;20230806;4;1;1;5.75;0;0
/link_jogo/4687;20230804;4;1;0;73.25;0;0
/link_jogo/8716;20230809;4;4;0;9;0;0
/link_jogo/8722;20230808;4;2;0;5;0;0
/link_jogo/8727;20230814;4;4;0;13.75;0;0
/link_mascote/166;20230808;4;4;4;6.5;0;0
/link_tecnico/118;20230806;4;2;1;5;0;0
/mostra_arbitro;20230804;4;3;0;30.75;0;0
/mostra_arbitro;20230806;4;3;1;24.75;0;0
/mostra_arbitro;20230807;4;4;0;32.75;0;0
/mostra_arbitro;20230817;4;3;0;5.5;0;0
/mostra_arbitro;20230818;4;4;0;12;0;0
/mostra_espadv2;20230807;4;4;0;78.25;0;0
/mostra_especial/;20230811;4;4;0;73.75;0;0
/mostra_especial/;20230813;4;2;0;29.75;0;0
/mostra_especial_jogo;20230805;4;3;0;35.5;0;0
/mostra_especial_jogo;20230815;4;2;0;12;0;0
/mostra_especial_jogo;20230817;4;2;0;15.75;0;0
/mostra_jogo;20230802;4;4;1;209.25;0;0
/mostra_jogo;20230805;4;4;0;311;0;0
/mostra_jogo;20230812;4;3;0;54.75;0;0
/mostra_ranking/800801000000;20230806;4;4;0;54.5;0;0
/mostra_ranking/800801000000;20230819;4;4;0;37.75;0;0
/mostra_ranking/800805000000;20230808;4;4;0;42.25;0;0
/mostra_ranking/800805000000;20230815;4;3;0;22.5;0;0
/mostra_ranking/800900000000;20230812;4;4;0;78.25;0;0
/mostra_ranking/801000000000;20230807;4;3;0;25.75;0;0
/mostra_ranking/801000000000;20230820;4;3;0;54.75;0;0
/mostra_ranking/867000000000;20230819;4;4;0;25.25;0;0
/mostra_ranking/900000000000;20230813;4;4;0;20.5;0;0
/mostra_ranking/900000000000;20230814;4;4;0;53.75;0;0
/mostra_ranking/900000000000;20230818;4;4;0;98;0;0
/mostra_ranking/903000000000;20230820;4;4;0;81.25;0;0
/mostra_rkg/;20230807;4;4;0;73;0;0
/mostra_tecnico;20230807;4;3;0;54.25;0;0
/mostra_tecnico;20230809;4;4;0;15.5;0;0
/mostra_tecnico;20230817;4;4;0;19.75;0;0
/tecnico;20230809;4;4;0;8.5;0;0
/tecnico;20230810;4;4;0;23.5;0;0
/tecnico;20230811;4;4;0;8;0;0
/tecnico;20230812;4;4;0;6.5;0;0
/tecnico;20230817;4;4;0;7.75;0;0
/todas_camisas/400000000;20230813;4;4;0;28.75;0;0
/trabalhos_longos/105492000;20230814;4;2;0;70;0;0
/arbitro;20230806;3;3;0;14;0;0
/arbitro;20230811;3;3;0;19;0;0
/arbitro;20230814;3;2;0;20.333333333333332;0;0
/arbitro;20230815;3;3;0;32;0;0
/arbitro;20230817;3;3;0;14.666666666666666;0;0
/arbitro;20230820;3;3;0;19.666666666666668;0;0
/camisa;20230804;3;3;0;16.333333333333332;0;0
/camisa;20230810;3;3;0;2.3333333333333335;0;0
/campeonato;20230802;3;3;0;16.333333333333332;0;0
/consulta_campeonato/103999000;20230803;3;3;0;8.666666666666666;0;0
/consulta_campeonato/103999000;20230808;3;3;0;18.333333333333332;0;0
/consulta_campeonato/103999000;20230811;3;3;0;5.333333333333333;0;0
/consulta_especial/100103000;20230813;3;2;0;33.666666666666664;0;0
/consulta_especial/102103000;20230807;3;3;0;53.333333333333336;0;0
/consulta_especial_adversario;20230811;3;3;0;15.333333333333334;0;0
/consulta_especial_adversario;20230812;3;3;0;18.333333333333332;0;0
/consulta_especial_adversario;20230817;3;2;0;1.3333333333333333;0;0
/consulta_especial_adversario;20230818;3;3;0;3.3333333333333335;0;0
/consulta_especial_campeonato;20230806;3;2;0;5;0;0
/consulta_especial_campeonato;20230810;3;3;0;3;0;0
/consulta_especial_campeonato;20230811;3;3;0;9.333333333333334;0;0
/consulta_especial_campeonato;20230813;3;2;0;7.666666666666667;0;0
/consulta_especial_campeonato;20230815;3;2;0;13.666666666666666;0;0
/consulta_especial_campeonato;20230819;3;3;0;3.6666666666666665;0;0
/consulta_especial_campeonato;20230820;3;3;0;19;0;0
/consulta_especial_classico;20230809;3;3;0;50.666666666666664;0;0
/consulta_especial_estadio;20230808;3;3;0;2.3333333333333335;0;0
/consulta_especial_estadio;20230810;3;3;0;19;0;0
/consulta_especial_estadio;20230819;3;3;0;7.666666666666667;0;0
/consulta_especial_gerais;20230810;3;3;0;15;0;0
/consulta_especial_gerais;20230814;3;3;0;45;0;0
